VALEUR,#lelie,#mascarille,#celie,#trufaldin,#anselme,#pandolfe,#hippolite,#leandre,#le-courrier,#ergaste,#andres
Fréquences (scènes),0.5531914893617021,0.7446808510638298,0.14893617021276595,0.2765957446808511,0.1702127659574468,0.06382978723404255,0.10638297872340426,0.1702127659574468,0.02127659574468085,0.0851063829787234,0.14893617021276595
Fréquences(répliques),0.19416187527642637,0.48429898275099514,0.033171163202122954,0.0508624502432552,0.0800530738611234,0.018575851393188854,0.0291906236178682,0.05749668288367979,0.0013268465280849183,0.01680672268907563,0.034055727554179564
Confrontation,0.205607476635514,0.2616822429906542,0.07009345794392523,0.14485981308411214,0.06542056074766354,0.03271028037383177,0.04672897196261682,0.07009345794392523,0.009345794392523364,0.018691588785046728,0.07476635514018691
Déviations,#lelie,#mascarille,#celie,#trufaldin,#anselme,#pandolfe,#hippolite,#leandre,#le-courrier,#ergaste,#andres
#lelie,9.382978723404255,0.021042787000233914,0.9053074584989479,0.45480297116958335,0.04091653027823244,0.2621385706492089,2.765957446808511,0.4591857610474633,0.5531914893617021,0.6646890343698856,0.0042085574000467595
#mascarille,0.021042787000233678,3.063829787234043,0.2821537125488492,0.010521393500116839,0.15387537993920963,0.024518743667679796,0.14054711246200605,0.6431610942249238,0.08753799392097267,0.00015197568389057952,0.2821537125488492
#celie,0.9053074584989479,0.2821537125488492,34.04255319148937,0.5845218611176057,1.1914893617021276,0.44680851063829785,6.830395136778115,0.030775075987841925,0.14893617021276595,0.5957446808510638,0.8792878853669132
#trufaldin,0.45480297116958335,0.010521393500116957,0.5845218611176057,24.595744680851062,0.6646890343698856,0.03491543917075833,0.10605564648117843,0.2800736497545007,1.8919803600654659,1.1063829787234043,0.0021042787000233798
#anselme,0.04091653027823244,0.15387537993920963,1.1914893617021276,0.6646890343698856,32.361702127659576,4.343971631205674,0.8510638297872339,0.09607712765957445,0.1702127659574468,0.6808510638297872,0.030775075987841925
#pandolfe,0.26213857064920876,0.024518743667679796,0.44680851063829774,0.03491543917075838,4.343971631205674,41.19148936170214,0.3191489361702127,0.5106382978723404,0.06382978723404255,0.2553191489361702,0.6849037487335364
#hippolite,2.765957446808511,0.14054711246200605,6.830395136778115,0.10605564648117843,0.8510638297872339,0.3191489361702127,37.53191489361703,1.5510638297872341,0.10638297872340424,0.42553191489361697,0.08753799392097267
#leandre,0.4591857610474633,0.6431610942249238,0.030775075987841925,0.2800736497545007,0.09607712765957445,0.5106382978723404,1.5510638297872341,32.361702127659576,0.1702127659574468,0.6808510638297872,0.030775075987841925
#le-courrier,0.5531914893617021,0.08753799392097267,0.14893617021276595,1.8919803600654659,0.1702127659574468,0.06382978723404255,0.10638297872340424,0.1702127659574468,45.02127659574468,0.0851063829787234,0.14893617021276595
#ergaste,0.6646890343698856,0.00015197568389057952,0.5957446808510638,1.1063829787234043,0.6808510638297872,0.2553191489361702,0.42553191489361697,0.6808510638297872,0.0851063829787234,39.340425531914896,0.5957446808510638
#andres,0.0042085574000467595,0.2821537125488492,0.8792878853669132,0.0021042787000233798,0.030775075987841925,0.6849037487335361,0.08753799392097267,0.030775075987841925,0.14893617021276595,0.5957446808510638,34.04255319148937
Successions,#lelie,#mascarille,#celie,#trufaldin,#anselme,#pandolfe,#hippolite,#leandre,#le-courrier,#ergaste,#andres
#lelie,0.005319148936170213,0.6808510638297872,0.010638297872340425,0.07446808510638298,0.06382978723404255,0.0,0.005319148936170213,0.09574468085106383,0.0,0.005319148936170213,0.05851063829787234
#mascarille,0.503731343283582,0.014925373134328358,0.048507462686567165,0.09328358208955224,0.10820895522388059,0.041044776119402986,0.033582089552238806,0.09328358208955224,0.0,0.022388059701492536,0.041044776119402986
#celie,0.047619047619047616,0.5238095238095238,0.0,0.23809523809523808,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523
#trufaldin,0.2857142857142857,0.5714285714285714,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.061224489795918366,0.0,0.0
#anselme,0.16,0.66,0.0,0.0,0.02,0.14,0.0,0.02,0.0,0.0,0.0
#pandolfe,0.0,0.5789473684210527,0.0,0.05263157894736842,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0
#hippolite,0.0,0.6875,0.1875,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
#leandre,0.3958333333333333,0.5,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.0,0.0,0.0,0.0
#le-courrier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ergaste,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#andres,0.4,0.44,0.04,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04
