VALEUR,#corneille,#thomas,#mademoiselle-corneille,#madame-corneille,#moliere,#fontenelle,#valere,#boileau,#racine,#la-fontaine,#le-page
Fréquences (scènes),0.6428571428571429,0.7142857142857143,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
Fréquences(répliques),0.2819634703196347,0.1461187214611872,0.023972602739726026,0.0319634703196347,0.2602739726027397,0.0502283105022831,0.06963470319634703,0.0502283105022831,0.03538812785388128,0.04452054794520548,0.005707762557077625
Confrontation,0.1511627906976744,0.1686046511627907,0.06976744186046512,0.11627906976744186,0.14534883720930233,0.05232558139534884,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.040697674418604654
Déviations,#corneille,#thomas,#mademoiselle-corneille,#madame-corneille,#moliere,#fontenelle,#valere,#boileau,#racine,#la-fontaine,#le-page
#corneille,1.7857142857142847,0.028571428571428602,0.12698412698412687,0.19206349206349202,0.00529100529100532,0.9603174603174602,0.12698412698412687,0.396825396825397,0.396825396825397,0.396825396825397,0.1984126984126985
#thomas,0.028571428571428602,1.1428571428571426,0.007142857142857182,0.05142857142857138,0.11904761904761911,0.25714285714285695,0.25714285714285695,0.22857142857142873,0.22857142857142873,0.22857142857142873,0.11428571428571437
#mademoiselle-corneille,0.12698412698412706,0.007142857142857136,7.142857142857143,1.7285714285714284,0.04761904761904765,0.017857142857142842,0.017857142857142842,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857
#madame-corneille,0.19206349206349202,0.05142857142857138,1.7285714285714293,5.785714285714286,1.6095238095238096,0.12857142857142848,1.4285714285714284,0.11428571428571437,0.11428571428571437,0.11428571428571437,1.1571428571428575
#moliere,0.005291005291005253,0.11904761904761911,0.04761904761904765,1.6095238095238096,4.571428571428573,0.04761904761904765,0.29761904761904756,1.5238095238095237,1.5238095238095237,1.5238095238095237,0.7619047619047619
#fontenelle,0.9603174603174606,0.2571428571428572,0.017857142857142842,0.1285714285714286,0.04761904761904765,7.142857142857143,0.642857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857
#valere,0.12698412698412706,0.2571428571428572,0.017857142857142842,1.4285714285714286,0.29761904761904756,0.642857142857143,7.142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857
#boileau,0.3968253968253967,0.22857142857142854,0.5714285714285714,0.11428571428571427,1.5238095238095237,0.5714285714285714,0.5714285714285714,10.285714285714288,10.285714285714288,10.285714285714288,5.142857142857144
#boileau,0.3968253968253967,0.22857142857142854,0.5714285714285714,0.11428571428571427,1.5238095238095237,0.5714285714285714,0.5714285714285714,10.285714285714288,10.285714285714288,10.285714285714288,5.142857142857144
#boileau,0.3968253968253967,0.22857142857142854,0.5714285714285714,0.11428571428571427,1.5238095238095237,0.5714285714285714,0.5714285714285714,10.285714285714288,10.285714285714288,10.285714285714288,5.142857142857144
#le-page,0.19841269841269835,0.11428571428571427,0.2857142857142857,1.1571428571428568,0.7619047619047619,0.2857142857142857,0.2857142857142857,5.142857142857144,5.142857142857144,5.142857142857144,12.071428571428573
Successions,#corneille,#thomas,#mademoiselle-corneille,#madame-corneille,#moliere,#fontenelle,#valere,#boileau,#racine,#la-fontaine,#le-page
#corneille,0.0136986301369863,0.2328767123287671,0.0684931506849315,0.0410958904109589,0.273972602739726,0.0273972602739726,0.1780821917808219,0.0958904109589041,0.0410958904109589,0.0273972602739726,0.0
#thomas,0.36,0.0,0.0,0.14,0.2,0.16,0.06,0.02,0.02,0.0,0.04
#mademoiselle-corneille,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0
#madame-corneille,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
#moliere,0.38596491228070173,0.21052631578947367,0.017543859649122806,0.07017543859649122,0.0,0.017543859649122806,0.14035087719298245,0.07017543859649122,0.05263157894736842,0.03508771929824561,0.0
#fontenelle,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#valere,0.42424242424242425,0.030303030303030304,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
#boileau,0.037037037037037035,0.037037037037037035,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.3333333333333333,0.25925925925925924,0.037037037037037035
#racine,0.21052631578947367,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.5263157894736842,0.0,0.10526315789473684,0.05263157894736842
#la-fontaine,0.07692307692307693,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077,0.23076923076923078,0.0,0.0
#le-page,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
