VALEUR,#saint-castin,#ouzaby,#duo,#azakia,#ouzaby #saint-castin,#ouzabys,#azakia #saint-castin,#zika,#zika #azakia,#azakia #zika,#premier-huron,#deuxieme-huron,#huron-3e,#quatuor
Fréquences (scènes),0.7,0.3,0.1,0.8,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.11891891891891893,0.1945945945945946,0.043243243243243246,0.22702702702702704,0.06486486486486487,0.0,0.05945945945945946,0.20540540540540542,0.010810810810810811,0.043243243243243246,0.0,0.0,0.0,0.032432432432432434
Confrontation,0.19811320754716982,0.09433962264150944,0.018867924528301886,0.19811320754716982,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.14150943396226415,0.03773584905660377,0.03773584905660377,0.04716981132075472,0.04716981132075472,0.04716981132075472,0.03773584905660377
Déviations,#saint-castin,#ouzaby,#duo,#azakia,#ouzaby #saint-castin,#ouzabys,#azakia #saint-castin,#zika,#zika #azakia,#azakia #zika,#premier-huron,#deuxieme-huron,#huron-3e,#quatuor
#saint-castin,0.9000000000000005,0.3857142857142856,0.1285714285714285,0.06428571428571439,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.07142857142857142,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285
#ouzaby,0.38571428571428606,4.9,1.6333333333333329,0.06666666666666678,1.6333333333333329,1.6333333333333329,0.30000000000000004,0.16666666666666666,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,1.6333333333333329
#duo,0.12857142857142861,1.633333333333333,8.1,0.8000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#azakia,0.06428571428571422,0.06666666666666664,0.8000000000000002,0.3999999999999998,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.25,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#ouzaby #saint-castin,0.12857142857142861,1.633333333333333,0.10000000000000002,0.049999999999999975,8.1,8.1,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#ouzaby #saint-castin,0.12857142857142861,1.633333333333333,0.10000000000000002,0.049999999999999975,8.1,8.1,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#azakia #saint-castin,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,8.1,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#zika,0.07142857142857142,0.16666666666666666,0.5,0.25,0.5,0.5,0.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5
#zika #azakia,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,8.1,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#zika #azakia,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,8.1,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#premier-huron,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
#premier-huron,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
#premier-huron,0.12857142857142861,0.3,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
