VALEUR,#mistress-watson,#kilmenie,#jemmy,#la-princesse,#mistress-watson #jemmy,#nicette,#claudine,#nicoline,#la-mere-gervais,#nicoline #claudine,#fanchon,#la-marquise,#tous,#justine,#cecile,#henriette,#josephine,#madame-vingmaille
#mistress-watson #jemmy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicette,0.0,0.05,0.0,0.0,0.0,0.0,0.5,0.1,0.25,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
#claudine,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicoline,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.7058823529411765,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
#la-mere-gervais,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.06976744186046512,0.2558139534883721,0.20930232558139536,0.023255813953488372,0.16279069767441862,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0
#nicoline #claudine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fanchon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#justine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5,0.0,0.0
#cecile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.2,0.3
#henriette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.025,0.025,0.475,0.3
#josephine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.16666666666666666
#madame-vingmaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.6842105263157895,0.15789473684210525,0.0
