VALEUR,#trivelin,#la-fee,#arlequin,#chanteur,#chanteuse,#le-berger,#silvia,#la-cousine,#lutin,#second-lutin,#esprit
Fréquences (scènes),0.36363636363636365,0.5909090909090909,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.17045454545454544,0.2159090909090909,0.23863636363636365,0.045454545454545456,0.045454545454545456,0.011363636363636364,0.19318181818181818,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.022727272727272728
Déviations,#trivelin,#la-fee,#arlequin,#chanteur,#chanteuse,#le-berger,#silvia,#la-cousine,#lutin,#second-lutin,#esprit
#trivelin,8.909090909090908,1.0926573426573423,0.03030303030303025,1.1136363636363635,1.1136363636363635,0.36363636363636365,1.28030303030303,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
#la-fee,1.0926573426573423,3.6818181818181803,0.0011655011655011408,0.2832167832167832,0.2832167832167832,0.5909090909090909,2.3601398601398595,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909
#arlequin,0.03030303030303025,0.0011655011655011859,4.545454545454547,0.3787878787878789,0.3787878787878789,0.5454545454545454,0.03156565656565664,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.3787878787878789
#chanteur,1.1136363636363635,0.2832167832167832,0.3787878787878789,20.045454545454547,20.045454545454547,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
#chanteur,1.1136363636363635,0.2832167832167832,0.3787878787878789,20.045454545454547,20.045454545454547,0.045454545454545456,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
#le-berger,0.36363636363636365,0.5909090909090909,0.5454545454545454,0.045454545454545456,0.045454545454545456,20.045454545454547,0.3787878787878789,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
#silvia,1.28030303030303,2.360139860139861,0.03156565656565664,0.5454545454545454,0.5454545454545454,0.3787878787878789,4.545454545454547,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.3787878787878789
#la-cousine,0.36363636363636365,0.5909090909090909,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.3787878787878789,20.045454545454547,0.045454545454545456,0.045454545454545456,0.045454545454545456
#lutin,0.36363636363636365,0.5909090909090909,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.3787878787878789,0.045454545454545456,20.045454545454547,20.045454545454547,0.045454545454545456
#lutin,0.36363636363636365,0.5909090909090909,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.3787878787878789,0.045454545454545456,20.045454545454547,20.045454545454547,0.045454545454545456
#esprit,0.36363636363636365,0.5909090909090909,0.3787878787878789,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.3787878787878789,0.045454545454545456,0.045454545454545456,0.045454545454545456,20.045454545454547
Successions,#trivelin,#la-fee,#arlequin,#chanteur,#chanteuse,#le-berger,#silvia,#la-cousine,#lutin,#second-lutin,#esprit
#trivelin,0.0,0.7619047619047619,0.19047619047619047,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#la-fee,0.2714285714285714,0.07142857142857142,0.5142857142857142,0.0,0.014285714285714285,0.0,0.11428571428571428,0.0,0.0,0.014285714285714285,0.0
#arlequin,0.020833333333333332,0.40625,0.010416666666666666,0.03125,0.010416666666666666,0.0,0.5208333333333334,0.0,0.0,0.0,0.0
#chanteur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chanteur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-berger,0.0,0.125,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0
#silvia,0.012658227848101266,0.11392405063291139,0.620253164556962,0.0,0.0,0.10126582278481013,0.08860759493670886,0.0379746835443038,0.012658227848101266,0.0,0.012658227848101266
#la-cousine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-cousine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-cousine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-cousine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
