VALEUR,#clearque,#lisandre,#argenie,#armile,#theotime,#archane,#rosemonde,#philise,#melanire,#rutile,#florestor,#anthenor,#ariste
Fréquences (scènes),0.5,0.29411764705882354,0.3235294117647059,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.20588235294117646,0.17647058823529413,0.23529411764705882,0.08823529411764706,0.14705882352941177,0.17647058823529413,0.029411764705882353
Fréquences(répliques),0.423125,0.0925,0.1425,0.001875,0.018125,0.000625,0.081875,0.041875,0.090625,0.011875,0.046875,0.03,0.018125
Confrontation,0.2013888888888889,0.11805555555555555,0.1597222222222222,0.006944444444444444,0.027777777777777776,0.006944444444444444,0.1388888888888889,0.08333333333333333,0.05555555555555555,0.020833333333333332,0.06944444444444445,0.10416666666666667,0.006944444444444444
Déviations,#clearque,#lisandre,#argenie,#armile,#theotime,#archane,#rosemonde,#philise,#melanire,#rutile,#florestor,#anthenor,#ariste
#clearque,8.5,0.2,0.045454545454545456,0.5,0.0,0.5,0.07142857142857142,0.3333333333333333,1.0,0.16666666666666666,0.9,0.3333333333333333,0.5
#lisandre,0.2,16.941176470588232,1.544385026737968,0.29411764705882354,0.28823529411764703,0.29411764705882354,0.0016806722689075512,1.7647058823529413,2.3529411764705883,0.8823529411764707,8.470588235294116,0.031372549019607794,0.29411764705882354
#argenie,0.045454545454545456,1.544385026737968,15.558823529411764,1.414438502673797,0.6470588235294118,0.3235294117647059,1.3296409472880062,8.486631016042779,0.9745989304812834,0.9705882352941178,0.2358288770053476,0.5775401069518714,0.3235294117647059
#armile,0.5,0.29411764705882354,1.414438502673797,32.029411764705884,0.058823529411764705,0.029411764705882353,0.20588235294117646,0.17647058823529413,0.23529411764705882,0.08823529411764706,0.14705882352941177,0.17647058823529413,0.029411764705882353
#theotime,0.0,0.28823529411764703,0.6470588235294118,0.058823529411764705,30.11764705882353,15.058823529411764,0.8403361344537816,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.058823529411764705
#archane,0.5,0.29411764705882354,0.3235294117647059,0.029411764705882353,15.058823529411764,32.029411764705884,0.20588235294117646,0.17647058823529413,0.23529411764705882,0.08823529411764706,0.14705882352941177,0.17647058823529413,0.029411764705882353
#rosemonde,0.07142857142857142,0.0016806722689075764,1.3296409472880062,0.20588235294117646,0.8403361344537816,0.20588235294117646,21.441176470588232,0.04481792717086836,0.07563025210084037,0.6176470588235294,0.0008403361344537882,11.473389355742297,0.20588235294117646
