VALEUR,#ulric,#le-roi,#clotalde,#arlequin,#sigismond,#sophronie,#federic,#roderic
Fréquences (scènes),0.20689655172413793,0.27586206896551724,0.27586206896551724,0.41379310344827586,0.5172413793103449,0.20689655172413793,0.034482758620689655,0.10344827586206896
Fréquences(répliques),0.042523033309709427,0.18001417434443656,0.12331679659815734,0.11693834160170093,0.4153082919914954,0.09922041105598867,0.007087172218284904,0.01559177888022679
Confrontation,0.14102564102564102,0.1282051282051282,0.1282051282051282,0.20512820512820512,0.24358974358974358,0.10256410256410256,0.01282051282051282,0.038461538461538464
Déviations,#ulric,#le-roi,#clotalde,#arlequin,#sigismond,#sophronie,#federic,#roderic
#ulric,18.24137931034483,0.07183908045977012,1.0926724137931034,0.10775862068965514,0.0034482758620689937,1.2413793103448276,0.20689655172413793,0.6206896551724138
#le-roi,0.07183908045977012,15.20689655172414,0.019396551724137925,1.6124281609195403,0.3129310344827587,0.07183908045977012,0.27586206896551724,0.8275862068965517
#clotalde,1.0926724137931034,0.019396551724137925,15.20689655172414,0.5186781609195402,0.3129310344827587,1.6551724137931034,0.27586206896551724,0.8275862068965517
#arlequin,0.10775862068965514,1.6124281609195403,0.5186781609195402,9.96551724137931,0.006896551724137987,0.09386973180076631,0.41379310344827586,0.4636015325670497
#sigismond,0.0034482758620689937,0.3129310344827587,0.3129310344827587,0.006896551724137987,6.75862068965517,0.0034482758620689937,0.4505747126436781,1.5517241379310347
#sophronie,1.2413793103448276,0.07183908045977012,1.6551724137931034,0.09386973180076631,0.0034482758620689937,18.24137931034483,0.20689655172413793,0.23180076628352486
#federic,0.20689655172413793,0.27586206896551724,0.27586206896551724,0.41379310344827586,0.4505747126436781,0.20689655172413793,27.034482758620694,0.10344827586206896
#roderic,0.6206896551724138,0.8275862068965517,0.8275862068965517,0.4636015325670497,1.5517241379310347,0.23180076628352486,0.10344827586206896,23.310344827586206
Successions,#ulric,#le-roi,#clotalde,#arlequin,#sigismond,#sophronie,#federic,#roderic
#ulric,0.0,0.38461538461538464,0.23076923076923078,0.0,0.38461538461538464,0.0,0.0,0.0
#le-roi,0.1935483870967742,0.0,0.06451612903225806,0.06451612903225806,0.5483870967741935,0.06451612903225806,0.03225806451612903,0.03225806451612903
#clotalde,0.09090909090909091,0.12121212121212122,0.0,0.06060606060606061,0.7272727272727273,0.0,0.0,0.0
#arlequin,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.6595744680851063,0.0425531914893617,0.0,0.14893617021276595
#sigismond,0.030612244897959183,0.1836734693877551,0.25510204081632654,0.336734693877551,0.0,0.15306122448979592,0.04081632653061224,0.0
#sophronie,0.0,0.14285714285714285,0.0,0.09523809523809523,0.6666666666666666,0.0,0.0,0.09523809523809523
#federic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#roderic,0.0,0.0,0.0,0.7,0.1,0.2,0.0,0.0
