VALEUR,#choeur,#kerkabon,#mademoiselle-des-guerets,#madame-plougoulin,#mademoiselle-kerkabon,#tous,#mademoiselle-saint-yves,#dumenil,#le-garde,#le-huron,#kebkabon,#le-petit-paysan,#toutes-les-femmes,#kerkabon #mademoiselle-kerkabon
Fréquences (scènes),0.15789473684210525,0.8421052631578947,0.15789473684210525,0.3684210526315789,0.47368421052631576,0.3157894736842105,0.5789473684210527,0.42105263157894735,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
Fréquences(répliques),0.21,0.36,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
Confrontation,0.062162162162162166,0.14864864864864866,0.05945945945945946,0.10810810810810811,0.11621621621621622,0.0945945945945946,0.11621621621621622,0.1,0.013513513513513514,0.10540540540540541,0.005405405405405406,0.008108108108108109,0.03513513513513514,0.02702702702702703
Déviations,#choeur,#kerkabon,#mademoiselle-des-guerets,#madame-plougoulin,#mademoiselle-kerkabon,#tous,#mademoiselle-saint-yves,#dumenil,#le-garde,#le-huron,#kebkabon,#le-petit-paysan,#toutes-les-femmes,#kerkabon #mademoiselle-kerkabon
#choeur,13.473684210526315,0.08881578947368426,4.918128654970761,3.2481203007518804,1.7543859649122808,4.447368421052632,0.0398724082934609,2.3881578947368425,0.15789473684210525,0.11228070175438594,0.15789473684210525,0.15789473684210525,1.4824561403508774,4.491228070175438
#kerkabon,0.08881578947368426,0.4736842105263161,0.08881578947368426,0.0018796992481203126,0.04422514619883035,0.17763157894736853,0.007476076555023944,0.23684210526315805,0.029605263157894756,0.021052631578947323,0.029605263157894756,0.029605263157894756,0.2779605263157894,0.029605263157894756
#mademoiselle-des-guerets,4.918128654970761,0.08881578947368426,13.473684210526315,3.2481203007518804,1.7543859649122808,1.1695906432748542,0.9186602870813396,2.3881578947368425,0.15789473684210525,0.212280701754386,0.15789473684210525,0.15789473684210525,1.4824561403508774,4.491228070175438
#madame-plougoulin,3.2481203007518804,0.0018796992481203126,3.2481203007518804,7.57894736842105,2.1729323308270687,3.520050125313284,0.2214627477785374,1.4295112781954888,1.0827067669172932,0.027067669172932348,0.3684210526315789,0.3684210526315789,0.09398496240601507,1.0827067669172932
#mademoiselle-kerkabon,1.7543859649122808,0.04422514619883035,1.7543859649122808,2.1729323308270687,5.263157894736844,0.4717348927875244,0.6145667198298772,0.011695906432748562,0.5847953216374271,0.014619883040935715,0.47368421052631576,0.47368421052631576,1.1695906432748542,0.5847953216374271
#tous,4.447368421052632,0.17763157894736853,1.1695906432748542,3.520050125313284,0.4717348927875244,8.894736842105264,0.06459330143540673,0.8596491228070178,1.4824561403508774,1.0745614035087718,0.3157894736842105,0.3157894736842105,0.21491228070175444,1.4824561403508774
#mademoiselle-saint-yves,0.03987240829346097,0.007476076555023944,0.91866028708134,0.2214627477785374,0.614566719829878,0.06459330143540662,3.368421052631579,0.02930622009569375,0.5789473684210527,0.10765550239234432,0.5789473684210527,0.30622009569377984,0.6124401913875597,0.30622009569377984
#dumenil,2.3881578947368425,0.23684210526315805,2.3881578947368425,1.4295112781954888,0.011695906432748562,0.8596491228070178,0.02930622009569375,6.36842105263158,0.42105263157894735,0.3480263157894735,0.42105263157894735,0.42105263157894735,0.029605263157894756,0.7960526315789475
#le-garde,0.15789473684210525,0.029605263157894756,0.15789473684210525,1.0827067669172932,0.5847953216374271,1.4824561403508774,0.5789473684210527,0.42105263157894735,17.05263157894737,0.42631578947368426,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
#le-huron,0.11228070175438594,0.021052631578947323,0.212280701754386,0.027067669172932348,0.014619883040935715,1.0745614035087718,0.10765550239234456,0.3480263157894735,0.42631578947368426,4.263157894736843,0.42631578947368426,0.42631578947368426,0.8526315789473685,0.42631578947368426
#kebkabon,0.15789473684210525,0.029605263157894756,0.15789473684210525,0.3684210526315789,0.47368421052631576,0.3157894736842105,0.5789473684210527,0.42105263157894735,0.05263157894736842,0.42631578947368426,17.05263157894737,0.05263157894736842,0.10526315789473684,0.05263157894736842
