VALEUR,#choeur-general,#giroux,#tous,#un-soldat,#mariotte,#belrose,#choeur,#madame-gregoire,#luquet,#d-esparville,#d-auberval,#ensemble,#fanchette,#benoit,#manon-giroux,#les-hommes,#les-femmes,#luquet #d-auberval #d-esparville,#belrose #la-garde,#tous-deux,#d-auberval #d-esparville,#madame-gregoire #d-auberval,#tous-trois,#fanchette #madame-gregoire,#une-voix,#le-caporal,#le-choeur,#le-falot,#mademoiselle-dubois
Fréquences (scènes),0.07692307692307693,0.11538461538461539,0.23076923076923078,0.038461538461538464,0.07692307692307693,0.46153846153846156,0.11538461538461539,0.8076923076923077,0.5,0.34615384615384615,0.3076923076923077,0.07692307692307693,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.024456521739130436,0.01358695652173913,0.06793478260869565,0.008152173913043478,0.0,0.06521739130434782,0.04891304347826087,0.34782608695652173,0.14673913043478262,0.10597826086956522,0.024456521739130436,0.02717391304347826,0.0,0.0,0.005434782608695652,0.016304347826086956,0.002717391304347826,0.035326086956521736,0.01358695652173913,0.0,0.0,0.0,0.016304347826086956,0.016304347826086956,0.0,0.0,0.01358695652173913,0.0,0.0
Confrontation,0.010526315789473684,0.028070175438596492,0.07719298245614035,0.007017543859649123,0.012280701754385965,0.06140350877192982,0.031578947368421054,0.1280701754385965,0.10175438596491228,0.09649122807017543,0.0912280701754386,0.008771929824561403,0.03508771929824561,0.0035087719298245615,0.03333333333333333,0.015789473684210527,0.015789473684210527,0.02982456140350877,0.014035087719298246,0.02280701754385965,0.02280701754385965,0.02280701754385965,0.02280701754385965,0.02280701754385965,0.02280701754385965,0.03684210526315789,0.010526315789473684,0.0035087719298245615,0.010526315789473684
Déviations,#choeur-general,#giroux,#tous,#un-soldat,#mariotte,#belrose,#choeur,#madame-gregoire,#luquet,#d-esparville,#d-auberval,#ensemble,#fanchette,#benoit,#manon-giroux,#les-hommes,#les-femmes,#luquet #d-auberval #d-esparville,#belrose #la-garde,#tous-deux,#d-auberval #d-esparville,#madame-gregoire #d-auberval,#tous-trois,#fanchette #madame-gregoire,#une-voix,#le-caporal,#le-choeur,#le-falot,#mademoiselle-dubois
#choeur-general,22.153846153846157,2.5641025641025634,0.6282051282051281,11.076923076923078,4.653846153846153,0.9230769230769231,0.23076923076923078,0.23443223443223446,1.0,0.6923076923076923,0.6153846153846154,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,2.5641025641025634,0.07692307692307693,0.07692307692307693,0.07692307692307693
#giroux,2.5641025641025634,20.346153846153843,2.47008547008547,6.782051282051281,13.564102564102562,0.10683760683760682,1.235042735042735,0.8357753357753359,0.16666666666666666,0.0014245014245014146,0.006410256410256401,0.23076923076923078,0.576923076923077,0.11538461538461539,1.235042735042735,6.782051282051281,6.782051282051281,2.5641025641025634,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539
#tous,0.6282051282051281,2.47008547008547,15.384615384615381,2.5641025641025634,0.6282051282051281,0.21367521367521364,0.13675213675213677,0.004884004884004849,1.3333333333333333,4.113960113960116,5.387820512820512,0.46153846153846156,0.020512820512820544,0.23076923076923078,2.47008547008547,2.5641025641025634,2.5641025641025634,5.128205128205127,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,0.13675213675213677,0.23076923076923078,0.23076923076923078,2.5641025641025634
#un-soldat,11.076923076923078,6.782051282051281,2.5641025641025634,24.038461538461537,11.076923076923078,0.46153846153846156,0.11538461538461539,0.8076923076923077,0.5,0.34615384615384615,0.3076923076923077,0.07692307692307693,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464
#mariotte,4.653846153846153,13.564102564102562,0.6282051282051281,11.076923076923078,22.153846153846157,0.006410256410256401,2.5641025641025634,1.6153846153846154,1.0,0.6923076923076923,0.6153846153846154,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
#belrose,0.9230769230769231,0.10683760683760682,0.21367521367521364,0.46153846153846156,0.006410256410256401,7.538461538461539,0.10683760683760682,0.2954822954822958,0.16666666666666666,0.005698005698005658,0.025641025641025605,0.9230769230769231,2.307692307692308,0.46153846153846156,0.10683760683760682,0.46153846153846156,0.46153846153846156,0.006410256410256401,0.6282051282051281,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.10683760683760682,0.6282051282051281,0.6282051282051281,0.6282051282051281
