VALEUR,#le-roi,#celidor,#agarite,#le-flamand,#medon,#phenice,#amelise,#exempt,#lyzene,#policaste,#corintie,#le-cocher,#lizene,#premier-pecheur,#second-pecheur,#le-pecheur,#l-exempt
Fréquences (scènes),0.38095238095238093,0.47619047619047616,0.47619047619047616,0.047619047619047616,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616
Fréquences(répliques),0.22679200940070504,0.1392479435957697,0.14042303172737955,0.0023501762632197414,0.07579318448883667,0.03936545240893067,0.013513513513513514,0.0011750881316098707,0.021151586368977675,0.1809635722679201,0.1045828437132785,0.0017626321974148062,0.020564042303172738,0.015863689776733254,0.011750881316098707,0.002937720329024677,0.0017626321974148062
Confrontation,0.10064935064935066,0.11363636363636363,0.11038961038961038,0.00974025974025974,0.1266233766233766,0.1038961038961039,0.05194805194805195,0.016233766233766232,0.025974025974025976,0.08441558441558442,0.08766233766233766,0.006493506493506494,0.01948051948051948,0.032467532467532464,0.032467532467532464,0.05194805194805195,0.025974025974025976
Déviations,#le-roi,#celidor,#agarite,#le-flamand,#medon,#phenice,#amelise,#exempt,#lyzene,#policaste,#corintie,#le-cocher,#lizene,#premier-pecheur,#second-pecheur,#le-pecheur,#l-exempt
#le-roi,8.04761904761905,1.2595238095238097,0.8595238095238094,0.38095238095238093,0.7202380952380955,3.2232142857142865,0.642857142857143,1.0059523809523812,1.1428571428571428,0.1666666666666666,0.1666666666666666,0.38095238095238093,0.7619047619047619,0.07440476190476193,0.07440476190476193,3.0178571428571432,1.0059523809523812
#celidor,1.2595238095238097,5.761904761904762,0.6519047619047619,0.5761904761904763,0.11904761904761911,0.45714285714285746,0.22857142857142873,0.5761904761904763,0.12857142857142848,0.5333333333333331,0.8333333333333336,0.47619047619047616,0.9523809523809523,0.0023809523809523864,0.0023809523809523864,0.22857142857142873,0.5761904761904763
#agarite,0.8595238095238094,0.6519047619047619,5.761904761904762,0.5761904761904763,0.11904761904761911,0.007142857142857182,0.22857142857142873,0.47619047619047616,0.22857142857142873,4.033333333333334,0.03333333333333328,0.5761904761904763,0.0023809523809523864,0.0023809523809523864,0.0023809523809523864,0.12857142857142848,0.5761904761904763
#le-flamand,0.38095238095238093,0.5761904761904763,0.5761904761904763,19.047619047619047,0.7619047619047619,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616
#medon,0.7202380952380955,0.11904761904761911,0.11904761904761911,0.7619047619047619,6.857142857142859,2.2936507936507944,0.396825396825397,0.7619047619047619,0.06349206349206343,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.5238095238095237,0.023809523809523826,0.023809523809523826,2.2857142857142865,0.7619047619047619
#phenice,3.2232142857142865,0.45714285714285746,0.007142857142857182,0.2857142857142857,2.2936507936507944,10.714285714285714,5.357142857142857,1.7857142857142858,0.8571428571428571,0.5,0.0,0.2857142857142857,0.5714285714285714,0.3214285714285715,0.3214285714285715,5.357142857142857,1.7857142857142858
#amelise,0.642857142857143,0.22857142857142873,0.22857142857142873,0.14285714285714285,0.396825396825397,5.357142857142857,15.428571428571432,5.142857142857144,0.42857142857142855,1.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,5.142857142857144
#exempt,1.0059523809523812,0.5761904761904763,0.47619047619047616,0.047619047619047616,0.7619047619047619,1.7857142857142858,5.142857142857144,19.047619047619047,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616
#lyzene,1.1428571428571428,0.12857142857142848,0.22857142857142873,0.14285714285714285,0.06349206349206343,0.8571428571428571,0.42857142857142855,0.14285714285714285,15.428571428571432,0.0,1.0,0.14285714285714285,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285
#policaste,0.1666666666666666,0.5333333333333331,4.033333333333334,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,9.333333333333336,0.04761904761904754,1.3333333333333337,0.6666666666666666,0.1666666666666667,0.1666666666666667,0.0,1.3333333333333337
#corintie,0.1666666666666666,0.8333333333333336,0.03333333333333328,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.04761904761904754,9.333333333333336,0.3333333333333333,2.6666666666666674,0.1666666666666667,0.1666666666666667,0.0,1.3333333333333337
#le-cocher,0.38095238095238093,0.47619047619047616,0.5761904761904763,0.047619047619047616,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.14285714285714285,1.3333333333333337,0.3333333333333333,19.047619047619047,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.047619047619047616
#lizene,0.7619047619047619,0.9523809523809523,0.0023809523809523864,0.09523809523809523,1.5238095238095237,0.5714285714285714,0.2857142857142857,0.09523809523809523,1.7857142857142858,0.6666666666666666,2.6666666666666674,0.09523809523809523,17.190476190476193,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.09523809523809523
#premier-pecheur,0.07440476190476193,0.0023809523809523864,0.0023809523809523864,0.09523809523809523,0.023809523809523826,0.3214285714285715,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.1666666666666667,0.1666666666666667,0.09523809523809523,0.19047619047619047,17.190476190476193,17.190476190476193,1.7857142857142858,0.09523809523809523
#premier-pecheur,0.07440476190476193,0.0023809523809523864,0.0023809523809523864,0.09523809523809523,0.023809523809523826,0.3214285714285715,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.1666666666666667,0.1666666666666667,0.09523809523809523,0.19047619047619047,17.190476190476193,17.190476190476193,1.7857142857142858,0.09523809523809523
#le-pecheur,3.0178571428571432,0.22857142857142873,0.12857142857142848,0.14285714285714285,2.2857142857142865,5.357142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.2857142857142857,1.7857142857142858,1.7857142857142858,15.428571428571432,0.14285714285714285
#l-exempt,1.0059523809523812,0.5761904761904763,0.5761904761904763,0.047619047619047616,0.7619047619047619,1.7857142857142858,5.142857142857144,0.047619047619047616,0.14285714285714285,1.3333333333333337,1.3333333333333337,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,19.047619047619047
Successions,#le-roi,#celidor,#agarite,#le-flamand,#medon,#phenice,#amelise,#exempt,#lyzene,#policaste,#corintie,#le-cocher,#lizene,#premier-pecheur,#second-pecheur,#le-pecheur,#l-exempt
#le-roi,0.0,0.3,0.04,0.0,0.16,0.18,0.04,0.02,0.0,0.14,0.08,0.0,0.0,0.02,0.0,0.02,0.0
#celidor,0.23943661971830985,0.0,0.16901408450704225,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.5492957746478874,0.0,0.0,0.0,0.0,0.0,0.014084507042253521
#agarite,0.03571428571428571,0.13095238095238096,0.0,0.011904761904761904,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.6547619047619048,0.0,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0
#le-flamand,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#medon,0.24324324324324326,0.10810810810810811,0.1891891891891892,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.2702702702702703,0.0,0.10810810810810811,0.0,0.0,0.02702702702702703,0.0
#phenice,0.3125,0.0625,0.0,0.0,0.125,0.0,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
#amelise,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#exempt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lyzene,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#policaste,0.09722222222222222,0.013888888888888888,0.7777777777777778,0.0,0.041666666666666664,0.027777777777777776,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
