VALEUR,#memnon,#hippodamas,#hersile,#penthesilee,#ajax,#arcas,#ulysse,#agamemnon,#antenor,#eurybate
Fréquences (scènes),0.06666666666666667,0.03333333333333333,0.13333333333333333,0.43333333333333335,0.4,0.13333333333333333,0.16666666666666666,0.3,0.13333333333333333,0.06666666666666667
Fréquences(répliques),0.03362944162436548,0.01967005076142132,0.048223350253807105,0.27284263959390864,0.2785532994923858,0.028553299492385786,0.1548223350253807,0.10469543147208121,0.04758883248730964,0.011421319796954314
Confrontation,0.04838709677419355,0.016129032258064516,0.08064516129032258,0.20967741935483872,0.1774193548387097,0.08064516129032258,0.0967741935483871,0.14516129032258066,0.11290322580645161,0.03225806451612903
Déviations,#memnon,#hippodamas,#hersile,#penthesilee,#ajax,#arcas,#ulysse,#agamemnon,#antenor,#eurybate
#memnon,26.133333333333336,13.066666666666668,0.26666666666666666,0.020512820512820502,0.8000000000000002,0.26666666666666666,0.3333333333333333,0.6,2.016666666666667,0.13333333333333333
#hippodamas,13.066666666666668,28.03333333333333,0.13333333333333333,0.43333333333333335,0.4000000000000001,0.13333333333333333,0.16666666666666666,0.3,0.13333333333333333,0.06666666666666667
#hersile,0.26666666666666666,0.13333333333333333,22.533333333333335,2.964102564102564,1.6000000000000003,0.5333333333333333,0.6666666666666666,1.2,0.4083333333333334,0.26666666666666666
#penthesilee,0.020512820512820502,0.43333333333333335,2.964102564102564,9.633333333333331,0.9307692307692309,0.3102564102564103,2.1666666666666665,2.1564102564102563,0.9256410256410256,0.8666666666666667
#ajax,0.8000000000000002,0.4000000000000001,1.6000000000000003,0.9307692307692309,10.799999999999995,3.5999999999999996,0.0,0.7111111111111108,1.6000000000000003,0.8000000000000002
#arcas,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.3102564102564103,3.5999999999999996,22.533333333333335,0.6666666666666666,1.2,0.5333333333333333,0.26666666666666666
#ulysse,0.3333333333333333,0.16666666666666666,0.6666666666666666,2.166666666666667,0.0,0.6666666666666666,20.83333333333334,1.5,0.1666666666666667,0.3333333333333333
#agamemnon,0.6,0.3,1.2,2.1564102564102567,0.7111111111111112,1.2,1.5,14.700000000000006,0.03333333333333332,3.266666666666666
#antenor,2.016666666666667,0.13333333333333333,0.4083333333333334,0.9256410256410256,1.6000000000000003,0.5333333333333333,0.1666666666666667,0.03333333333333332,22.533333333333335,0.26666666666666666
#eurybate,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.8666666666666667,0.8000000000000002,0.26666666666666666,0.3333333333333333,3.266666666666666,0.26666666666666666,26.133333333333336
Successions,#memnon,#hippodamas,#hersile,#penthesilee,#ajax,#arcas,#ulysse,#agamemnon,#antenor,#eurybate
#memnon,0.0,0.47058823529411764,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.11764705882352941,0.0
#hippodamas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hersile,0.0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0
#penthesilee,0.1,0.0,0.2714285714285714,0.05714285714285714,0.38571428571428573,0.014285714285714285,0.0,0.05714285714285714,0.11428571428571428,0.0
#ajax,0.0,0.0,0.0,0.5918367346938775,0.04081632653061224,0.1836734693877551,0.10204081632653061,0.08163265306122448,0.0,0.0
#arcas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#ulysse,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.4375,0.125,0.0
#agamemnon,0.0,0.0,0.0,0.15789473684210525,0.10526315789473684,0.0,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684
#antenor,0.15384615384615385,0.0,0.0,0.6153846153846154,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0
#eurybate,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
