VALEUR,#lisette,#turlupin,#clidamant,#le-marquis,#uranie,#cleonice,#un-laquais,#polixene,#valere
Fréquences (scènes),0.7142857142857143,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285
Fréquences(répliques),0.12579617834394904,0.15445859872611464,0.1321656050955414,0.24363057324840764,0.1305732484076433,0.01751592356687898,0.0015923566878980893,0.09713375796178345,0.09713375796178345
Confrontation,0.16666666666666666,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.15151515151515152,0.12121212121212122,0.045454545454545456,0.06818181818181818,0.03787878787878788
Déviations,#lisette,#turlupin,#clidamant,#le-marquis,#uranie,#cleonice,#un-laquais,#polixene,#valere
#lisette,0.5714285714285713,0.05142857142857138,0.019047619047619032,0.007142857142857182,0.45714285714285746,0.3428571428571429,0.11428571428571437,0.22857142857142873,0.11428571428571437
#turlupin,0.05142857142857138,0.5714285714285713,0.019047619047619032,0.25714285714285695,0.007142857142857182,0.009523809523809516,0.11428571428571437,0.12857142857142848,0.11428571428571437
#clidamant,0.019047619047619032,0.019047619047619032,0.14285714285714304,0.05357142857142853,0.05357142857142853,0.07142857142857152,0.023809523809523826,0.29761904761904756,0.023809523809523826
#le-marquis,0.007142857142857136,0.2571428571428572,0.05357142857142853,1.285714285714286,0.22321428571428584,0.04761904761904765,0.3214285714285715,0.642857142857143,0.5714285714285714
#uranie,0.4571428571428571,0.007142857142857136,0.05357142857142853,0.22321428571428584,1.285714285714286,0.9642857142857145,0.3214285714285715,0.642857142857143,0.3214285714285715
#cleonice,0.3428571428571429,0.009523809523809516,0.07142857142857152,0.04761904761904765,0.9642857142857145,2.2857142857142865,0.7619047619047619,0.023809523809523826,0.7619047619047619
#un-laquais,0.11428571428571427,0.11428571428571427,0.023809523809523826,0.3214285714285715,0.3214285714285715,0.7619047619047619,5.142857142857144,0.2857142857142857,0.14285714285714285
#polixene,0.22857142857142854,0.1285714285714286,0.29761904761904756,0.642857142857143,0.642857142857143,0.023809523809523826,0.2857142857142857,3.5714285714285716,0.2857142857142857
#valere,0.11428571428571427,0.11428571428571427,0.023809523809523826,0.5714285714285714,0.3214285714285715,0.7619047619047619,0.14285714285714285,0.2857142857142857,5.142857142857144
Successions,#lisette,#turlupin,#clidamant,#le-marquis,#uranie,#cleonice,#un-laquais,#polixene,#valere
#lisette,0.0,0.45,0.4,0.0,0.1,0.05,0.0,0.0,0.0
#turlupin,0.5,0.0,0.3,0.1,0.05,0.0,0.0,0.05,0.0
#clidamant,0.17142857142857143,0.22857142857142856,0.08571428571428572,0.2857142857142857,0.11428571428571428,0.08571428571428572,0.0,0.0,0.02857142857142857
#le-marquis,0.0,0.043478260869565216,0.5217391304347826,0.0,0.30434782608695654,0.0,0.0,0.13043478260869565,0.0
#uranie,0.0,0.03125,0.0625,0.21875,0.03125,0.03125,0.03125,0.5,0.09375
#cleonice,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
#un-laquais,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#polixene,0.15,0.0,0.0,0.2,0.65,0.0,0.0,0.0,0.0
#valere,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0
