VALEUR,#florimonde,#nerine,#lidamant,#leandre,#julie,#orasie,#tomire,#fabrice,#lisis,#un-valet
Fréquences (scènes),0.4418604651162791,0.23255813953488372,0.4186046511627907,0.5116279069767442,0.2558139534883721,0.4186046511627907,0.16279069767441862,0.23255813953488372,0.046511627906976744,0.023255813953488372
Fréquences(répliques),0.15937803692905733,0.028182701652089408,0.1924198250728863,0.3138969873663751,0.034013605442176874,0.1933916423712342,0.025267249757045675,0.043731778425655975,0.008746355685131196,0.0009718172983479105
Confrontation,0.15037593984962405,0.08270676691729323,0.17293233082706766,0.17293233082706766,0.09398496240601503,0.13157894736842105,0.07518796992481203,0.08646616541353383,0.015037593984962405,0.018796992481203006
Déviations,#florimonde,#nerine,#lidamant,#leandre,#julie,#orasie,#tomire,#fabrice,#lisis,#un-valet
#florimonde,13.3953488372093,2.9028151774785806,0.00027199782401739843,0.7616000890174695,0.004005786135529112,0.11430708554331584,0.38625633852072055,1.3238678090575273,0.8837209302325582,0.7050183598531212
#nerine,2.9028151774785806,25.32558139534883,0.15826873385012907,0.875369978858351,2.558139534883721,0.3360465116279071,0.24219269102990046,0.7555813953488373,0.46511627906976744,2.532558139534884
#lidamant,0.00027199782401740884,0.15826873385012907,14.534883720930234,0.06788818416725387,0.033944092083626934,1.6583405110536893,0.0016611295681062967,5.536046511627906,0.031653746770025866,0.8074935400516797
#leandre,0.7616000890174695,0.875369978858351,0.06788818416725387,10.25581395348837,0.024601191620219075,0.06788818416725387,0.048927816369676795,0.002642706131078233,1.0232558139534884,0.4661733615221987
#julie,0.004005786135529112,2.558139534883721,0.033944092083626934,0.024601191620219075,23.813953488372093,0.033944092083626934,0.024463908184838398,0.12177589852008461,0.5116279069767442,0.2558139534883721
#orasie,0.11430708554331563,0.3360465116279071,1.6583405110536893,0.06788818416725387,0.033944092083626934,14.534883720930234,0.39055001845699494,2.4249354005167962,0.8372093023255813,0.8074935400516797
#tomire,0.3862563385207208,0.24219269102990046,0.0016611295681062967,0.04892781636967669,0.024463908184838346,0.39055001845699494,30.13953488372092,0.08504983388704308,8.61129568106312,0.16279069767441862
#fabrice,1.3238678090575273,0.7555813953488373,5.536046511627906,0.002642706131078233,0.12177589852008461,2.4249354005167962,0.08504983388704308,25.32558139534883,0.6151162790697676,0.23255813953488372
#lisis,0.8837209302325582,0.46511627906976744,0.031653746770025824,1.0232558139534884,0.5116279069767442,0.8372093023255814,8.61129568106312,0.6151162790697676,39.093023255813954,0.04651162790697674
#un-valet,0.7050183598531212,2.532558139534884,0.8074935400516793,0.4661733615221987,0.2558139534883721,0.8074935400516793,0.16279069767441862,0.23255813953488372,0.04651162790697674,41.02325581395348
Successions,#florimonde,#nerine,#lidamant,#leandre,#julie,#orasie,#tomire,#fabrice,#lisis,#un-valet
#florimonde,0.010869565217391304,0.1956521739130435,0.18478260869565216,0.20652173913043478,0.03260869565217391,0.30434782608695654,0.021739130434782608,0.03260869565217391,0.0,0.010869565217391304
#nerine,0.64,0.0,0.16,0.0,0.0,0.16,0.0,0.04,0.0,0.0
#lidamant,0.17857142857142858,0.026785714285714284,0.008928571428571428,0.44642857142857145,0.09821428571428571,0.017857142857142856,0.026785714285714284,0.19642857142857142,0.0,0.0
#leandre,0.10857142857142857,0.005714285714285714,0.3142857142857143,0.005714285714285714,0.08,0.4057142857142857,0.03428571428571429,0.03428571428571429,0.005714285714285714,0.005714285714285714
#julie,0.08333333333333333,0.0,0.19444444444444445,0.3888888888888889,0.0,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0
#orasie,0.2459016393442623,0.00819672131147541,0.03278688524590164,0.5983606557377049,0.06557377049180328,0.00819672131147541,0.040983606557377046,0.0,0.0,0.0
#tomire,0.08823529411764706,0.0,0.058823529411764705,0.17647058823529413,0.0,0.14705882352941177,0.029411764705882353,0.3235294117647059,0.17647058823529413,0.0
#fabrice,0.022727272727272728,0.045454545454545456,0.5,0.20454545454545456,0.0,0.022727272727272728,0.18181818181818182,0.0,0.022727272727272728,0.0
#lisis,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0
#un-valet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
