VALEUR,#justinian,#amalazonthe,#vitiges,#theodore,#sophie,#narses,#belisaire,#iskirion,#diophante,#doristel,#vitigez,#pirandre
Fréquences (scènes),0.1111111111111111,0.1388888888888889,0.027777777777777776,0.3888888888888889,0.3333333333333333,0.1388888888888889,0.5,0.2777777777777778,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.027777777777777776
Fréquences(répliques),0.06798245614035088,0.0805921052631579,0.020285087719298246,0.1962719298245614,0.12719298245614036,0.048793859649122806,0.26480263157894735,0.1162280701754386,0.006030701754385965,0.0268640350877193,0.04331140350877193,0.001644736842105263
Confrontation,0.08928571428571429,0.09523809523809523,0.03571428571428571,0.15476190476190477,0.16666666666666666,0.06547619047619048,0.17261904761904762,0.1130952380952381,0.02976190476190476,0.017857142857142856,0.05357142857142857,0.005952380952380952
Déviations,#justinian,#amalazonthe,#vitiges,#theodore,#sophie,#narses,#belisaire,#iskirion,#diophante,#doristel,#vitigez,#pirandre
#justinian,28.444444444444443,10.755555555555556,7.111111111111111,1.3412698412698412,0.3333333333333334,0.3555555555555555,0.0,0.01111111111111112,0.3333333333333333,0.3333333333333333,8.333333333333336,0.1111111111111111
#amalazonthe,10.755555555555556,26.694444444444443,5.3388888888888895,0.0015873015873015888,0.06666666666666674,0.13444444444444448,0.1,0.10888888888888885,0.41666666666666663,0.41666666666666663,16.01666666666667,0.1388888888888889
#vitiges,7.111111111111111,5.3388888888888895,34.02777777777778,0.9603174603174605,1.3333333333333337,5.3388888888888895,0.5,0.2777777777777778,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.027777777777777776
#theodore,1.3412698412698416,0.0015873015873015758,0.9603174603174606,13.444444444444445,1.1666666666666674,0.0015873015873015758,1.2857142857142858,0.0031746031746031516,0.02380952380952377,0.02380952380952377,0.02380952380952377,0.3888888888888888
#sophie,0.3333333333333334,0.06666666666666664,1.3333333333333337,1.1666666666666663,16.0,1.0666666666666667,0.0,0.13333333333333328,0.0,1.0,0.0,1.3333333333333337
#narses,0.3555555555555555,0.13444444444444448,5.3388888888888895,0.0015873015873015888,1.0666666666666669,26.694444444444443,0.1,0.10888888888888885,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.1388888888888889
#belisaire,0.0,0.1,0.5,1.2857142857142858,0.0,0.1,9.0,0.2,1.5,0.16666666666666666,0.16666666666666666,0.5
#iskirion,0.01111111111111112,0.10888888888888885,0.2777777777777778,0.0031746031746031776,0.13333333333333347,0.10888888888888885,0.2,18.77777777777778,0.8333333333333333,0.03333333333333337,0.03333333333333337,0.2777777777777778
#diophante,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.02380952380952383,0.0,0.4166666666666667,1.5,0.8333333333333334,30.25,0.25,0.25,0.08333333333333333
#doristel,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.02380952380952383,1.0,0.4166666666666667,0.16666666666666666,0.03333333333333332,0.25,30.25,0.25,0.08333333333333333
#vitigez,8.333333333333336,16.016666666666666,0.08333333333333333,0.02380952380952383,0.0,0.4166666666666667,0.16666666666666666,0.03333333333333332,0.25,0.25,30.25,0.08333333333333333
#pirandre,0.1111111111111111,0.1388888888888889,0.027777777777777776,0.3888888888888889,1.3333333333333337,0.1388888888888889,0.5,0.2777777777777778,0.08333333333333333,0.08333333333333333,0.08333333333333333,34.02777777777778
Successions,#justinian,#amalazonthe,#vitiges,#theodore,#sophie,#narses,#belisaire,#iskirion,#diophante,#doristel,#vitigez,#pirandre
#justinian,0.0,0.23076923076923078,0.038461538461538464,0.4230769230769231,0.0,0.0,0.07692307692307693,0.11538461538461539,0.0,0.0,0.11538461538461539,0.0
#amalazonthe,0.18181818181818182,0.0,0.045454545454545456,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.45454545454545453,0.0
#vitiges,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#theodore,0.26,0.0,0.02,0.0,0.32,0.04,0.16,0.12,0.04,0.04,0.0,0.0
#sophie,0.038461538461538464,0.0,0.0,0.34615384615384615,0.019230769230769232,0.07692307692307693,0.40384615384615385,0.057692307692307696,0.0,0.0,0.019230769230769232,0.038461538461538464
#narses,0.0,0.0,0.0,0.21428571428571427,0.35714285714285715,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0
#belisaire,0.014285714285714285,0.08571428571428572,0.0,0.05714285714285714,0.34285714285714286,0.08571428571428572,0.04285714285714286,0.22857142857142856,0.11428571428571428,0.02857142857142857,0.0,0.0
#iskirion,0.0625,0.0,0.0,0.28125,0.0625,0.0625,0.4375,0.03125,0.0,0.03125,0.0,0.03125
#diophante,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
#doristel,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
#vitigez,0.21428571428571427,0.5714285714285714,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#pirandre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
