VALEUR,#silvandre,#coridon,#silvandre #coridon,#lycas,#iris #caliste,#lycas #le-choeur,#menalque,#menalque #coridon,#daphnis,#daphnis #le-choeur,#iris,#l-echo
Fréquences (scènes),0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Fréquences(répliques),0.04201680672268908,0.06722689075630252,0.01680672268907563,0.058823529411764705,0.23529411764705882,0.008403361344537815,0.03361344537815126,0.13445378151260504,0.06722689075630252,0.06722689075630252,0.16806722689075632,0.10084033613445378
Confrontation,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
Déviations,#silvandre,#coridon,#silvandre #coridon,#lycas,#iris #caliste,#lycas #le-choeur,#menalque,#menalque #coridon,#daphnis,#daphnis #le-choeur,#iris,#l-echo
#silvandre,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
#silvandre,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
#silvandre,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#silvandre,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
#silvandre,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Successions,#silvandre,#coridon,#silvandre #coridon,#lycas,#iris #caliste,#lycas #le-choeur,#menalque,#menalque #coridon,#daphnis,#daphnis #le-choeur,#iris,#l-echo
#silvandre,,,,,,,,,,,,
#coridon,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
#silvandre #coridon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iris #caliste,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#lycas #le-choeur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#menalque,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
#silvandre #coridon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#daphnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#daphnis #le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#iris,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143
#l-echo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
