VALEUR,#brutus,#valerius,#arons,#albin,#messala,#titus,#tullie,#algine,#proculus,#senateur
Fréquences (scènes),0.47058823529411764,0.11764705882352941,0.29411764705882354,0.08823529411764706,0.35294117647058826,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.14705882352941177,0.029411764705882353
Fréquences(répliques),0.2658064516129032,0.05548387096774193,0.18387096774193548,0.00903225806451613,0.1625806451612903,0.21483870967741936,0.09419354838709677,0.001935483870967742,0.01096774193548387,0.0012903225806451613
Confrontation,0.20930232558139536,0.046511627906976744,0.13953488372093023,0.046511627906976744,0.16279069767441862,0.22093023255813954,0.05813953488372093,0.03488372093023256,0.06976744186046512,0.011627906976744186
Déviations,#brutus,#valerius,#arons,#albin,#messala,#titus,#tullie,#algine,#proculus,#senateur
#brutus,9.529411764705884,2.382352941176471,0.6183823529411765,1.411764705882353,2.355392156862745,1.9543067226890753,1.8823529411764706,0.9411764705882353,2.977941176470588,0.5955882352941178
#valerius,2.382352941176471,26.470588235294116,1.1764705882352942,0.35294117647058826,1.411764705882353,1.6470588235294117,0.47058823529411764,0.23529411764705882,0.5882352941176471,0.11764705882352941
#arons,0.6183823529411765,1.1764705882352942,16.941176470588232,1.4156862745098038,0.07941176470588245,0.30336134453781494,0.026470588235294128,0.5882352941176471,1.470588235294118,0.29411764705882354
#albin,1.4117647058823528,0.3529411764705882,1.415686274509804,28.264705882352942,0.0032679738562091517,0.04481792717086836,0.3529411764705882,0.1764705882352941,0.4411764705882353,0.08823529411764705
#messala,2.3553921568627447,1.4117647058823528,0.07941176470588233,0.0032679738562091517,14.235294117647058,1.8935574229691874,1.4117647058823528,0.7058823529411764,1.7647058823529411,0.3529411764705882
#titus,1.9543067226890753,1.6470588235294117,0.3033613445378154,0.04481792717086836,1.8935574229691874,11.764705882352938,0.07563025210084037,0.037815126050420186,0.5445378151260506,0.4117647058823529
#tullie,1.8823529411764706,0.47058823529411764,0.026470588235294128,0.35294117647058826,1.411764705882353,0.07563025210084037,26.470588235294116,13.235294117647058,0.5882352941176471,0.11764705882352941
#algine,0.9411764705882353,0.23529411764705882,0.5882352941176471,0.17647058823529413,0.7058823529411765,0.037815126050420186,13.235294117647058,30.11764705882353,0.29411764705882354,0.058823529411764705
#proculus,2.977941176470588,0.5882352941176471,1.470588235294118,0.44117647058823534,1.7647058823529413,0.5445378151260503,0.5882352941176471,0.29411764705882354,24.735294117647058,0.14705882352941177
#senateur,0.5955882352941178,0.11764705882352941,0.29411764705882354,0.08823529411764706,0.35294117647058826,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.14705882352941177,32.029411764705884
Successions,#brutus,#valerius,#arons,#albin,#messala,#titus,#tullie,#algine,#proculus,#senateur
#brutus,0.05555555555555555,0.37037037037037035,0.1111111111111111,0.0,0.14814814814814814,0.14814814814814814,0.018518518518518517,0.0,0.1111111111111111,0.037037037037037035
#valerius,0.9523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#arons,0.16666666666666666,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.3611111111111111,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0
#albin,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
#messala,0.14,0.0,0.28,0.0,0.0,0.58,0.0,0.0,0.0,0.0
#titus,0.14492753623188406,0.0,0.10144927536231885,0.014492753623188406,0.42028985507246375,0.028985507246376812,0.2753623188405797,0.0,0.014492753623188406,0.0
#tullie,0.0,0.0,0.13043478260869565,0.0,0.0,0.782608695652174,0.0,0.08695652173913043,0.0,0.0
#algine,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
#proculus,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#senateur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
