VALEUR,#noricus,#sunnon,#spartacus,#albin,#le-tribun,#sabine,#emilie,#messala,#crassus
Fréquences (scènes),0.2413793103448276,0.10344827586206896,0.7586206896551724,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.3448275862068966,0.06896551724137931,0.1724137931034483
Fréquences(répliques),0.14173228346456693,0.03650680028632784,0.42018611309949894,0.023622047244094488,0.0014316392269148174,0.021474588403722263,0.25053686471009307,0.04509663564781675,0.05941302791696493
Confrontation,0.125,0.0625,0.328125,0.109375,0.03125,0.015625,0.1875,0.046875,0.09375
Déviations,#noricus,#sunnon,#spartacus,#albin,#le-tribun,#sabine,#emilie,#messala,#crassus
#noricus,16.68965517241379,7.152709359605912,0.3233318405732197,1.206896551724138,2.38423645320197,0.24137931034482757,2.413793103448276,0.48275862068965514,1.206896551724138
#sunnon,7.152709359605912,23.310344827586206,0.7152560083594564,0.5172413793103449,0.10344827586206896,0.10344827586206896,1.0344827586206897,0.20689655172413793,0.5172413793103449
#spartacus,0.32333184057322006,0.7152560083594568,1.689655172413793,0.38401253918495293,0.07680250783699062,0.7586206896551724,0.3316614420062696,0.1763322884012539,0.1658307210031348
#albin,1.206896551724138,0.5172413793103449,0.38401253918495293,19.862068965517242,0.1724137931034483,0.1724137931034483,0.04413793103448272,0.3448275862068966,0.8620689655172414
#le-tribun,2.38423645320197,0.10344827586206896,0.07680250783699062,0.1724137931034483,27.034482758620694,0.034482758620689655,0.3448275862068966,0.06896551724137931,0.1724137931034483
#sabine,0.2413793103448276,0.10344827586206896,0.7586206896551724,0.1724137931034483,0.034482758620689655,27.034482758620694,1.2448275862068965,0.06896551724137931,0.1724137931034483
#emilie,2.413793103448276,1.0344827586206897,0.3316614420062696,0.04413793103448272,0.3448275862068966,1.2448275862068965,12.44827586206896,0.13965517241379305,0.04413793103448272
#messala,0.4827586206896552,0.20689655172413793,0.1763322884012539,0.3448275862068966,0.06896551724137931,0.06896551724137931,0.13965517241379305,25.137931034482758,1.2448275862068965
#crassus,1.206896551724138,0.5172413793103449,0.1658307210031348,0.8620689655172414,0.1724137931034483,0.1724137931034483,0.04413793103448272,1.2448275862068965,19.862068965517242
Successions,#noricus,#sunnon,#spartacus,#albin,#le-tribun,#sabine,#emilie,#messala,#crassus
#noricus,0.0,0.36,0.64,0.0,0.0,0.0,0.0,0.0,0.0
#sunnon,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#spartacus,0.17142857142857143,0.009523809523809525,0.047619047619047616,0.13333333333333333,0.009523809523809525,0.0,0.37142857142857144,0.09523809523809523,0.1619047619047619
#albin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#albin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#sabine,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.9285714285714286,0.0,0.0
#emilie,0.0,0.0,0.6724137931034483,0.0,0.0,0.2413793103448276,0.0,0.034482758620689655,0.05172413793103448
#messala,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385
#crassus,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0.21739130434782608,0.043478260869565216,0.043478260869565216
