VALEUR,#sosarme,#orphise,#ctesiphonte,#ninus,#semiramis,#barsine,#menon,#orante,#cambise,#orondate,#phorbas
Fréquences (scènes),0.42857142857142855,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.42857142857142855,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.14309670206819453,0.02850754611514813,0.12017887087758525,0.276690888764673,0.31078814980436,0.011738401341531582,0.08160983789826719,0.003912800447177194,0.010620458356623811,0.003912800447177194,0.008943543879262158
Confrontation,0.14864864864864866,0.0945945945945946,0.13513513513513514,0.21621621621621623,0.1891891891891892,0.013513513513513514,0.06756756756756757,0.013513513513513514,0.013513513513513514,0.05405405405405406,0.05405405405405406
Déviations,#sosarme,#orphise,#ctesiphonte,#ninus,#semiramis,#barsine,#menon,#orante,#cambise,#orondate,#phorbas
#sosarme,6.857142857142859,3.0476190476190474,0.009523809523809516,0.3857142857142856,2.1164021164021163,0.42857142857142855,0.6095238095238095,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
#orphise,3.0476190476190474,13.761904761904763,0.0023809523809523864,0.4297619047619047,0.29761904761904756,0.19047619047619047,0.9523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
#ctesiphonte,0.009523809523809516,0.0023809523809523864,12.19047619047619,0.060952380952380945,0.3428571428571429,0.23809523809523808,1.1904761904761905,0.23809523809523808,0.23809523809523808,2.438095238095238,2.438095238095238
#ninus,0.3857142857142856,0.4297619047619047,0.060952380952380945,5.761904761904762,0.019047619047619032,0.47619047619047616,0.16095238095238096,0.47619047619047616,0.5761904761904763,0.5761904761904763,0.5761904761904763
#semiramis,2.1164021164021163,0.29761904761904756,0.3428571428571429,0.019047619047619032,6.857142857142859,0.7619047619047619,0.6095238095238095,0.7619047619047619,0.42857142857142855,0.7619047619047619,0.7619047619047619
#barsine,0.42857142857142855,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.7619047619047619,19.047619047619047,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
#menon,0.6095238095238095,0.9523809523809523,1.1904761904761905,0.16095238095238096,0.6095238095238095,0.23809523809523808,12.19047619047619,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
#orante,0.42857142857142855,0.19047619047619047,0.23809523809523808,0.47619047619047616,0.7619047619047619,0.047619047619047616,0.23809523809523808,19.047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616
#cambise,0.42857142857142855,0.19047619047619047,0.23809523809523808,0.5761904761904763,0.42857142857142855,0.047619047619047616,0.23809523809523808,0.047619047619047616,19.047619047619047,0.047619047619047616,0.047619047619047616
#orondate,0.42857142857142855,0.19047619047619047,2.438095238095238,0.5761904761904763,0.7619047619047619,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,19.047619047619047,19.047619047619047
#orondate,0.42857142857142855,0.19047619047619047,2.438095238095238,0.5761904761904763,0.7619047619047619,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,19.047619047619047,19.047619047619047
Successions,#sosarme,#orphise,#ctesiphonte,#ninus,#semiramis,#barsine,#menon,#orante,#cambise,#orondate,#phorbas
#sosarme,0.022222222222222223,0.26666666666666666,0.044444444444444446,0.4,0.08888888888888889,0.0,0.17777777777777778,0.0,0.0,0.0,0.0
#orphise,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ctesiphonte,0.10526315789473684,0.0,0.0,0.10526315789473684,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0
#ninus,0.2535211267605634,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.3380281690140845,0.0,0.23943661971830985,0.0,0.11267605633802817,0.0,0.0
#semiramis,0.04918032786885246,0.01639344262295082,0.22950819672131148,0.39344262295081966,0.01639344262295082,0.06557377049180328,0.11475409836065574,0.06557377049180328,0.0,0.01639344262295082,0.03278688524590164
#barsine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#menon,0.28125,0.0,0.0,0.53125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
#barsine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#cambise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orondate,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#phorbas,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
