VALEUR,#menelaüs,#alcime,#salmone,#maccabee,#antiochus,#zoraïde,#elise,#phoedime,#achas,#phostime,#azaël
Fréquences (scènes),0.07692307692307693,0.05128205128205128,0.23076923076923078,0.20512820512820512,0.6410256410256411,0.38461538461538464,0.02564102564102564,0.02564102564102564,0.15384615384615385,0.05128205128205128,0.05128205128205128
Fréquences(répliques),0.0710560625814863,0.022816166883963495,0.15514993481095177,0.11603650586701435,0.30182529335071706,0.1727509778357236,0.00847457627118644,0.00847457627118644,0.037157757496740544,0.0560625814863103,0.050195567144719684
Confrontation,0.03571428571428571,0.023809523809523808,0.14285714285714285,0.15476190476190477,0.27380952380952384,0.17857142857142858,0.023809523809523808,0.011904761904761904,0.09523809523809523,0.023809523809523808,0.03571428571428571
Déviations,#menelaüs,#alcime,#salmone,#maccabee,#antiochus,#zoraïde,#elise,#phoedime,#achas,#phostime,#azaël
#menelaüs,33.230769230769226,4.653846153846153,0.6923076923076923,0.6153846153846154,0.003076923076923055,1.153846153846154,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.15384615384615385
#alcime,4.653846153846153,35.1025641025641,0.46153846153846156,0.41025641025641024,0.06205128205128209,0.7692307692307693,0.05128205128205128,0.05128205128205128,0.3076923076923077,0.10256410256410256,0.10256410256410256
#salmone,0.6923076923076923,0.4615384615384615,23.076923076923077,2.5128205128205137,1.3292307692307699,0.6170940170940172,2.5641025641025643,0.23076923076923075,0.10683760683760682,0.4615384615384615,0.6282051282051284
#maccabee,0.6153846153846154,0.41025641025641024,2.5128205128205123,24.641025641025642,0.8832051282051284,0.2769230769230768,3.0801282051282053,0.20512820512820512,0.04326923076923079,0.41025641025641024,0.41025641025641024
#antiochus,0.003076923076923055,0.06205128205128209,1.3292307692307699,0.8832051282051284,5.02564102564102,1.3593846153846163,0.6410256410256411,0.6410256410256411,0.3461538461538458,0.06205128205128209,0.40205128205128193
#zoraïde,1.153846153846154,0.7692307692307692,0.6170940170940172,0.2769230769230771,1.3593846153846163,14.769230769230766,0.3846153846153846,0.9846153846153848,0.7410256410256412,0.06923076923076928,0.7692307692307692
#elise,0.07692307692307693,0.05128205128205128,2.5641025641025634,3.0801282051282053,0.6410256410256411,0.38461538461538464,37.02564102564103,0.02564102564102564,0.15384615384615385,0.05128205128205128,0.05128205128205128
#phoedime,0.07692307692307693,0.05128205128205128,0.23076923076923078,0.20512820512820512,0.6410256410256411,0.9846153846153847,0.02564102564102564,37.02564102564103,0.15384615384615385,0.05128205128205128,0.05128205128205128
#achas,0.46153846153846156,0.3076923076923077,0.10683760683760682,0.04326923076923079,0.3461538461538458,0.7410256410256412,0.15384615384615385,0.15384615384615385,27.92307692307692,0.3076923076923077,0.3076923076923077
#phostime,0.15384615384615385,0.10256410256410256,0.46153846153846156,0.41025641025641024,0.06205128205128209,0.0692307692307692,0.05128205128205128,0.05128205128205128,0.3076923076923077,35.1025641025641,0.10256410256410256
#azaël,0.15384615384615385,0.10256410256410256,0.6282051282051281,0.41025641025641024,0.40205128205128193,0.7692307692307693,0.05128205128205128,0.05128205128205128,0.3076923076923077,0.10256410256410256,35.1025641025641
Successions,#menelaüs,#alcime,#salmone,#maccabee,#antiochus,#zoraïde,#elise,#phoedime,#achas,#phostime,#azaël
#menelaüs,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
#alcime,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#salmone,0.02702702702702703,0.0,0.0,0.1891891891891892,0.40540540540540543,0.05405405405405406,0.08108108108108109,0.0,0.0,0.0,0.24324324324324326
#maccabee,0.0,0.0,0.25,0.0,0.17857142857142858,0.5357142857142857,0.0,0.0,0.03571428571428571,0.0,0.0
#antiochus,0.05405405405405406,0.02702702702702703,0.20270270270270271,0.08108108108108109,0.0945945945945946,0.22972972972972974,0.0,0.0,0.0945945945945946,0.06756756756756757,0.14864864864864866
#zoraïde,0.0,0.0,0.04878048780487805,0.3170731707317073,0.4878048780487805,0.07317073170731707,0.0,0.04878048780487805,0.0,0.024390243902439025,0.0
#elise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#phoedime,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#achas,0.0,0.0,0.0,0.125,0.625,0.125,0.0,0.0,0.0,0.125,0.0
#phostime,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#azaël,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
