VALEUR,#don-quichotte,#la-niece,#don-lope,#le-barbier,#sanche,#therese,#le-duc,#la-duchesse,#deux-valets,#la-voix,#l-aumonier,#dame-rodrigue,#le-premier-herault,#le-second-herault,#premier-des-herauts,#la-premiere-infante,#la-seconde-infante,#le-herault,#le-diable,#lirgandee,#alquif,#archelaus,#dulcinee,#merlin
Fréquences (scènes),0.7333333333333333,0.1,0.4666666666666667,0.4666666666666667,0.8,0.03333333333333333,0.6,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667
Fréquences(répliques),0.22774133083411435,0.015932521087160263,0.08013120899718838,0.07169634489222118,0.3430178069353327,0.020618556701030927,0.057638238050609185,0.05248359887535145,0.0023430178069353325,0.00046860356138706655,0.017338331771321464,0.008903467666354265,0.0028116213683223993,0.0009372071227741331,0.0032802249297094657,0.011246485473289597,0.016869728209934397,0.00046860356138706655,0.011246485473289597,0.005623242736644799,0.005623242736644799,0.005623242736644799,0.01780693533270853,0.02014995313964386
Confrontation,0.14545454545454545,0.012121212121212121,0.09242424242424242,0.09090909090909091,0.1484848484848485,0.0015151515151515152,0.1303030303030303,0.11969696969696969,0.00909090909090909,0.00909090909090909,0.016666666666666666,0.00909090909090909,0.006060606060606061,0.006060606060606061,0.010606060606060607,0.010606060606060607,0.010606060606060607,0.010606060606060607,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.02727272727272727,0.03787878787878788,0.02727272727272727
Déviations,#don-quichotte,#la-niece,#don-lope,#le-barbier,#sanche,#therese,#le-duc,#la-duchesse,#deux-valets,#la-voix,#l-aumonier,#dame-rodrigue,#le-premier-herault,#le-second-herault,#premier-des-herauts,#la-premiere-infante,#la-seconde-infante,#le-herault,#le-diable,#lirgandee,#alquif,#archelaus,#dulcinee,#merlin
#don-quichotte,2.1333333333333337,0.29090909090909073,0.2926406926406923,0.006926406926406969,0.11136363636363612,0.7333333333333333,0.24545454545454565,0.13674242424242444,0.09696969696969701,0.09696969696969701,0.19393939393939402,0.14848484848484844,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.19393939393939402,0.19393939393939402,0.19393939393939402,0.19393939393939402,0.29090909090909073,0.19393939393939402
#la-niece,0.2909090909090912,24.3,0.25714285714285723,0.25714285714285723,0.816666666666667,0.10000000000000002,1.7999999999999998,1.6000000000000003,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.30000000000000004,0.20000000000000004
#don-lope,0.292640692640693,0.257142857142857,8.533333333333333,4.574149659863946,0.12857142857142878,0.4666666666666667,0.01904761904761908,0.02916666666666668,0.4666666666666667,0.4666666666666667,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.00476190476190476,0.00476190476190476,0.00476190476190476,1.219047619047619,1.828571428571428,1.219047619047619
#le-barbier,0.006926406926406879,0.257142857142857,4.574149659863946,8.533333333333333,0.003571428571428609,0.4666666666666667,0.01904761904761908,0.02916666666666668,0.4666666666666667,0.4666666666666667,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.00476190476190476,0.00476190476190476,0.00476190476190476,1.219047619047619,1.828571428571428,1.219047619047619
#sanche,0.11136363636363672,0.816666666666667,0.12857142857142845,0.003571428571428546,1.1999999999999984,0.049999999999999975,0.17777777777777812,0.37812499999999977,0.049999999999999975,0.049999999999999975,0.09999999999999995,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.09999999999999995,0.09999999999999995,0.09999999999999995,0.09999999999999995,0.1499999999999998,0.09999999999999995
#therese,0.7333333333333333,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,28.03333333333333,0.6,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#le-duc,0.24545454545454565,1.8,0.01904761904761908,0.01904761904761908,0.17777777777777767,0.6,4.8000000000000025,3.0375000000000005,0.2666666666666667,0.2666666666666667,0.5333333333333334,0.03333333333333332,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.5333333333333334,0.5333333333333334,0.5333333333333334,0.5333333333333334,0.7999999999999999,0.5333333333333334
#la-duchesse,0.13674242424242444,1.6000000000000003,0.02916666666666668,0.02916666666666668,0.37812499999999977,0.5333333333333333,3.0375000000000005,6.533333333333334,0.4083333333333334,0.4083333333333334,0.8166666666666668,0.004166666666666665,0.5333333333333333,0.5333333333333333,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.8166666666666668,1.2249999999999999,0.8166666666666668
#deux-valets,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,28.03333333333333,28.03333333333333,13.066666666666668,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#deux-valets,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,28.03333333333333,28.03333333333333,13.066666666666668,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#l-aumonier,0.19393939393939402,0.20000000000000004,0.9333333333333333,0.9333333333333333,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,13.066666666666668,13.066666666666668,26.133333333333336,5.633333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.20000000000000004,0.13333333333333333
#dame-rodrigue,0.14848484848484844,0.20000000000000004,0.9333333333333333,0.9333333333333333,0.09999999999999995,0.06666666666666667,0.03333333333333332,0.004166666666666665,0.06666666666666667,0.06666666666666667,5.633333333333334,26.133333333333336,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.20000000000000004,0.13333333333333333
