VALEUR,#dame-jeanne,#crispin,#beatrix,#miris,#orphise,#alcipe,#lucille,#damis,#clidamis,#le-fripier,#le-tailleur,#le-commissaire
Fréquences (scènes),0.2608695652173913,0.7391304347826086,0.9130434782608695,0.5652173913043478,0.6086956521739131,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.0935672514619883,0.195906432748538,0.3216374269005848,0.1827485380116959,0.07456140350877193,0.013157894736842105,0.021929824561403508,0.011695906432748537,0.033625730994152045,0.033625730994152045,0.014619883040935672,0.0029239766081871343
Confrontation,0.06578947368421052,0.19298245614035087,0.2412280701754386,0.17543859649122806,0.18421052631578946,0.02631578947368421,0.017543859649122806,0.017543859649122806,0.03070175438596491,0.021929824561403508,0.013157894736842105,0.013157894736842105
Déviations,#dame-jeanne,#crispin,#beatrix,#miris,#orphise,#alcipe,#lucille,#damis,#clidamis,#le-fripier,#le-tailleur,#le-commissaire
#dame-jeanne,12.56521739130435,0.04262574595055416,0.39889579020013777,0.04515050167224079,0.11645962732919261,0.5217391304347826,0.2608695652173913,0.2608695652173913,0.060386473429951744,0.5217391304347826,0.2608695652173913,0.2608695652173913
#crispin,0.04262574595055416,1.565217391304348,0.01753744976251362,0.2693291363368087,0.1755571793934969,0.15473145780051145,0.09207161125319697,0.09207161125319697,0.6683716965046889,0.18414322250639395,0.09207161125319697,0.09207161125319697
#beatrix,0.39889579020013777,0.01753744976251362,0.17391304347826142,0.0014333492594362485,0.0036971310263235148,0.01656314699792963,0.008281573498964814,0.008281573498964814,0.024844720496894464,0.01656314699792963,0.008281573498964814,0.008281573498964814
#miris,0.0451505016722407,0.26932913633680816,0.0014333492594362485,4.347826086956526,2.110845676063068,0.6688963210702342,0.3344481605351171,0.3344481605351171,0.28539576365663305,1.1304347826086956,0.5652173913043478,0.5652173913043478
#orphise,0.11645962732919247,0.17555717939349647,0.0036971310263235755,2.110845676063068,3.5217391304347814,0.03881987577639754,0.2515527950310558,0.2515527950310558,0.3737060041407867,1.2173913043478262,0.6086956521739131,0.2515527950310558
#alcipe,0.5217391304347826,0.15473145780051145,0.01656314699792963,0.6688963210702342,0.03881987577639754,19.17391304347826,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.08695652173913043,0.08695652173913043
#lucille,0.2608695652173913,0.09207161125319697,0.008281573498964814,0.3344481605351171,0.2515527950310558,0.08695652173913043,21.043478260869566,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.043478260869565216
#damis,0.2608695652173913,0.09207161125319697,0.008281573498964814,0.3344481605351171,0.2515527950310558,0.08695652173913043,0.043478260869565216,21.043478260869566,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.043478260869565216
#clidamis,0.060386473429951744,0.6683716965046889,0.024844720496894464,0.2853957636566332,0.3737060041407868,0.2608695652173913,0.13043478260869565,0.13043478260869565,17.39130434782609,0.2608695652173913,0.13043478260869565,0.13043478260869565
#le-fripier,0.5217391304347826,0.18414322250639395,0.01656314699792963,1.1304347826086956,1.2173913043478262,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.2608695652173913,19.17391304347826,9.58695652173913,0.08695652173913043
