VALEUR,#arlequin,#colombine,#bagatelle,#pierrot,#isabelle,#octave,#mezzetin,#trafiquet,#le-laquais,#nigaudin,#le-capitaine,#le-sergent,#pasquariel,#mezzetin #pasquariel,#premiere-bohemienne,#seconde-bohemienne,#madame-pindaret,#arelquin,#margot,#le-choeur
Fréquences (scènes),0.26666666666666666,0.6444444444444445,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
Fréquences(répliques),0.26382978723404255,0.14042553191489363,0.0,0.0,0.0,0.0,0.12340425531914893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22127659574468084,0.2127659574468085,0.029787234042553193,0.0,0.0,0.00851063829787234
Confrontation,0.1267605633802817,0.2535211267605634,0.02112676056338028,0.09859154929577464,0.035211267605633804,0.02112676056338028,0.06338028169014084,0.09154929577464789,0.014084507042253521,0.04929577464788732,0.04225352112676056,0.02112676056338028,0.02112676056338028,0.02112676056338028,0.014084507042253521,0.014084507042253521,0.04225352112676056,0.02112676056338028,0.014084507042253521,0.014084507042253521
Déviations,#arlequin,#colombine,#bagatelle,#pierrot,#isabelle,#octave,#mezzetin,#trafiquet,#le-laquais,#nigaudin,#le-capitaine,#le-sergent,#pasquariel,#mezzetin #pasquariel,#premiere-bohemienne,#seconde-bohemienne,#madame-pindaret,#arelquin,#margot,#le-choeur
#arlequin,24.200000000000003,0.38850574712643715,0.5333333333333333,0.1666666666666666,0.8000000000000002,0.26666666666666666,0.8166666666666668,0.1666666666666666,1.3333333333333333,1.0666666666666667,0.8000000000000002,0.26666666666666666,0.26666666666666666,0.26666666666666666,2.016666666666667,2.016666666666667,0.004166666666666665,2.016666666666667,2.016666666666667,2.016666666666667
#colombine,0.38850574712643715,5.688888888888882,0.3923371647509574,0.9272030651340997,0.5885057471264364,0.1961685823754787,0.1295019157088125,0.9272030651340997,1.5325670498084292,0.06915708812260515,0.002298850574712627,0.1961685823754787,0.1961685823754787,0.1961685823754787,0.6444444444444446,0.6444444444444446,0.06915708812260515,0.1961685823754787,0.1961685823754787,0.6444444444444446
#bagatelle,0.5333333333333333,0.39233716475095776,41.08888888888889,0.6944444444444445,0.13333333333333333,0.044444444444444446,0.17777777777777778,0.4444444444444444,0.2222222222222222,0.17777777777777778,0.13333333333333333,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.17777777777777778,0.044444444444444446,0.044444444444444446,0.044444444444444446
#pierrot,0.1666666666666666,0.9272030651340997,0.6944444444444445,27.222222222222218,0.6666666666666666,0.22222222222222224,0.888888888888889,10.27222222222222,1.1111111111111112,0.888888888888889,0.6666666666666666,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.888888888888889,0.22222222222222224,0.22222222222222224,0.22222222222222224
#isabelle,0.8000000000000002,0.5885057471264364,0.13333333333333333,0.6666666666666666,39.199999999999996,13.066666666666668,2.016666666666667,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#octave,0.26666666666666666,0.19616858237547888,0.044444444444444446,0.2222222222222222,13.066666666666668,43.02222222222222,9.338888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
