VALEUR,#acanthe,#erato,#uranie,#apollon,#polymnie,#euterpe,#terpsichore,#melpomene,#thalie,#climene,#clio,#calliope
Fréquences (scènes),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fréquences(répliques),0.33383458646616543,0.06015037593984962,0.02706766917293233,0.24962406015037594,0.019548872180451128,0.03609022556390978,0.039097744360902256,0.031578947368421054,0.01804511278195489,0.1548872180451128,0.013533834586466165,0.016541353383458645
Confrontation,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Déviations,#acanthe,#erato,#uranie,#apollon,#polymnie,#euterpe,#terpsichore,#melpomene,#thalie,#climene,#clio,#calliope
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acanthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#acanthe,#erato,#uranie,#apollon,#polymnie,#euterpe,#terpsichore,#melpomene,#thalie,#climene,#clio,#calliope
#acanthe,0.0,0.15555555555555556,0.0,0.08888888888888889,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.7111111111111111,0.0,0.0
#erato,0.3076923076923077,0.0,0.0,0.6153846153846154,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
#uranie,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#apollon,0.0851063829787234,0.3404255319148936,0.0425531914893617,0.0,0.0851063829787234,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.06382978723404255,0.0425531914893617,0.0851063829787234,0.0851063829787234
#polymnie,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#euterpe,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
#terpsichore,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
#melpomene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#climene,0.9705882352941176,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clio,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#calliope,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
