VALEUR,#boileau,#chapelle,#la-fontaine,#moliere,#mauvillain,#lulli,#un-laquais,#boileau #lulli
Fréquences (scènes),0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.12349397590361445,0.14457831325301204,0.0572289156626506,0.3147590361445783,0.26957831325301207,0.0858433734939759,0.0030120481927710845,0.0015060240963855422
Confrontation,0.1724137931034483,0.1724137931034483,0.15517241379310345,0.12643678160919541,0.14367816091954022,0.14942528735632185,0.040229885057471264,0.040229885057471264
Déviations,#boileau,#chapelle,#la-fontaine,#moliere,#mauvillain,#lulli,#un-laquais,#boileau #lulli
#boileau,0.4444444444444443,0.4444444444444443,0.3809523809523814,0.09523809523809508,0.03628117913832203,0.3809523809523814,0.06349206349206356,0.06349206349206356
#boileau,0.4444444444444443,0.4444444444444443,0.3809523809523814,0.09523809523809508,0.03628117913832203,0.3809523809523814,0.06349206349206356,0.06349206349206356
#la-fontaine,0.38095238095238076,0.38095238095238076,1.0,0.0,0.09523809523809532,0.25,0.1666666666666667,0.1666666666666667
#moliere,0.09523809523809532,0.09523809523809532,0.0,1.0,0.023809523809523767,0.25,0.1666666666666667,0.1666666666666667
#mauvillain,0.03628117913832203,0.03628117913832203,0.09523809523809508,0.0238095238095239,0.4444444444444443,0.09523809523809508,0.06349206349206356,0.06349206349206356
#lulli,0.38095238095238076,0.38095238095238076,0.25,0.25,0.09523809523809532,1.0,0.1666666666666667,0.1666666666666667
#un-laquais,0.06349206349206349,0.06349206349206349,0.1666666666666667,0.1666666666666667,0.06349206349206349,0.1666666666666667,7.111111111111111,7.111111111111111
#un-laquais,0.06349206349206349,0.06349206349206349,0.1666666666666667,0.1666666666666667,0.06349206349206349,0.1666666666666667,7.111111111111111,7.111111111111111
Successions,#boileau,#chapelle,#la-fontaine,#moliere,#mauvillain,#lulli,#un-laquais,#boileau #lulli
#boileau,0.0,0.2830188679245283,0.11320754716981132,0.33962264150943394,0.11320754716981132,0.1509433962264151,0.0,0.0
#chapelle,0.3114754098360656,0.01639344262295082,0.16393442622950818,0.2459016393442623,0.14754098360655737,0.11475409836065574,0.0,0.0
#la-fontaine,0.19230769230769232,0.2692307692307692,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.0
#moliere,0.16455696202531644,0.26582278481012656,0.06329113924050633,0.0,0.3924050632911392,0.11392405063291139,0.0,0.0
#mauvillain,0.14814814814814814,0.14814814814814814,0.018518518518518517,0.5555555555555556,0.018518518518518517,0.09259259259259259,0.0,0.018518518518518517
#lulli,0.24242424242424243,0.24242424242424243,0.12121212121212122,0.2727272727272727,0.09090909090909091,0.0,0.030303030303030304,0.0
#un-laquais,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#boileau #lulli,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
