VALEUR,#phenice,#lucinde,#fripesauces,#le-capitan,#cascaret,#lisandre,#periante,#manille,#lucile,#alcidor
Fréquences (scènes),0.41935483870967744,0.25806451612903225,0.6129032258064516,0.3548387096774194,0.22580645161290322,0.3548387096774194,0.06451612903225806,0.16129032258064516,0.1935483870967742,0.25806451612903225
Fréquences(répliques),0.12775782452539763,0.023088763468445357,0.2539763981528989,0.15700359158542843,0.05489994869163674,0.12827090815802974,0.0323242688558235,0.08004104669061057,0.07234479220112879,0.07029245767060031
Confrontation,0.14957264957264957,0.1111111111111111,0.18803418803418803,0.10256410256410256,0.07264957264957266,0.09829059829059829,0.01282051282051282,0.07692307692307693,0.0641025641025641,0.12393162393162394
Déviations,#phenice,#lucinde,#fripesauces,#le-capitan,#cascaret,#lisandre,#periante,#manille,#lucile,#alcidor
#phenice,10.451612903225804,3.960607940446651,0.00013059945148230354,0.08143469433792024,0.2981212336051046,0.5639521768554029,0.8387096774193548,0.3890818858560795,0.09305210918114144,0.8067617866004967
#lucinde,3.9606079404466494,17.06451612903226,0.0019100169779286895,0.247800586510264,1.8064516129032258,0.009164222873900276,0.5161290322580645,2.265322580645161,0.1317204301075269,1.8145161290322582
#fripesauces,0.00013059945148230354,0.0019100169779286895,4.645161290322582,0.45006945516283386,0.019645888915837947,0.009878067603025141,0.041595925297113756,0.28556876061120545,0.12478777589134121,0.8966468590831917
#le-capitan,0.08143469433792024,0.247800586510264,0.45006945516283386,12.903225806451612,8.21114369501466,2.159424153559051,0.7096774193548389,0.3378299120234604,0.5987292277614857,0.009164222873900276
#cascaret,0.2981212336051046,1.8064516129032258,0.019645888915837947,8.21114369501466,18.580645161290327,0.8864683703393381,0.45161290322580644,1.129032258064516,1.3548387096774193,0.7885944700460831
#lisandre,0.5639521768554029,0.009164222873900276,0.009878067603025141,2.159424153559051,0.8864683703393381,12.903225806451612,2.3460410557184748,0.028739002932551324,0.007820136852394903,0.247800586510264
#periante,0.8387096774193549,0.5161290322580645,0.041595925297113756,0.7096774193548389,0.45161290322580644,2.3460410557184748,27.12903225806452,0.3225806451612903,0.3870967741935484,0.5161290322580645
#manille,0.3890818858560795,2.265322580645161,0.28556876061120545,0.3378299120234605,1.129032258064516,0.028739002932551265,0.3225806451612903,21.806451612903224,1.101075268817204,2.265322580645161
#lucile,0.09305210918114144,0.1317204301075269,0.12478777589134135,0.5987292277614857,1.3548387096774193,0.007820136852394903,0.3870967741935484,1.101075268817204,20.16129032258065,0.1317204301075269
#alcidor,0.8067617866004961,1.8145161290322582,0.8966468590831917,0.009164222873900276,0.7885944700460831,0.247800586510264,0.5161290322580645,2.265322580645161,0.1317204301075269,17.06451612903226
Successions,#phenice,#lucinde,#fripesauces,#le-capitan,#cascaret,#lisandre,#periante,#manille,#lucile,#alcidor
#phenice,0.0,0.11538461538461539,0.41025641025641024,0.0641025641025641,0.01282051282051282,0.05128205128205128,0.0,0.05128205128205128,0.24358974358974358,0.05128205128205128
#lucinde,0.2647058823529412,0.029411764705882353,0.14705882352941177,0.29411764705882354,0.0,0.08823529411764706,0.0,0.029411764705882353,0.0,0.14705882352941177
#fripesauces,0.24342105263157895,0.013157894736842105,0.019736842105263157,0.26973684210526316,0.019736842105263157,0.1513157894736842,0.006578947368421052,0.07894736842105263,0.125,0.07236842105263158
#le-capitan,0.03424657534246575,0.0684931506849315,0.273972602739726,0.0136986301369863,0.3013698630136986,0.0684931506849315,0.0,0.0821917808219178,0.0273972602739726,0.13013698630136986
#cascaret,0.0,0.0,0.10909090909090909,0.7454545454545455,0.0,0.0,0.0,0.0,0.0,0.14545454545454545
#lisandre,0.022988505747126436,0.034482758620689655,0.2413793103448276,0.13793103448275862,0.0,0.0,0.3563218390804598,0.06896551724137931,0.10344827586206896,0.034482758620689655
#periante,0.0,0.0,0.0625,0.0,0.0,0.9375,0.0,0.0,0.0,0.0
#manille,0.0425531914893617,0.0425531914893617,0.2765957446808511,0.23404255319148937,0.0,0.14893617021276595,0.0,0.0,0.0851063829787234,0.1702127659574468
#lucile,0.2878787878787879,0.015151515151515152,0.2878787878787879,0.09090909090909091,0.0,0.12121212121212122,0.0,0.045454545454545456,0.0,0.15151515151515152
#alcidor,0.07246376811594203,0.08695652173913043,0.14492753623188406,0.2608695652173913,0.10144927536231885,0.028985507246376812,0.0,0.13043478260869565,0.15942028985507245,0.014492753623188406
