VALEUR,#eudoxe,#camile,#ispar,#trasimond,#narbal,#sophronie,#justine,#genseric,#huneric,#l-imperatrice,#amilcar
Fréquences (scènes),0.325,0.05,0.175,0.325,0.1,0.25,0.1,0.375,0.125,0.225,0.05
Fréquences(répliques),0.12359550561797752,0.0018726591760299626,0.05493133583021224,0.2215980024968789,0.008114856429463172,0.1766541822721598,0.052434456928838954,0.18601747815230962,0.033083645443196,0.13545568039950062,0.006242197253433208
Confrontation,0.16346153846153846,0.019230769230769232,0.0673076923076923,0.14423076923076922,0.038461538461538464,0.11538461538461539,0.04807692307692308,0.19230769230769232,0.057692307692307696,0.125,0.028846153846153848
Déviations,#eudoxe,#camile,#ispar,#trasimond,#narbal,#sophronie,#justine,#genseric,#huneric,#l-imperatrice,#amilcar
#eudoxe,18.22499999999999,0.18846153846153843,0.7145604395604396,0.14215976331360924,1.3,1.5576923076923077,1.3,0.7211538461538461,1.625,1.4720085470085467,0.18846153846153843
#camile,0.18846153846153843,36.099999999999994,0.35,0.65,0.20000000000000004,0.5,0.20000000000000004,0.75,0.25,0.6722222222222223,0.10000000000000002
#ispar,0.7145604395604396,0.35000000000000003,27.225000000000005,2.275,0.7000000000000001,0.32142857142857145,0.1285714285714285,0.05357142857142857,0.017857142857142856,1.575,0.35000000000000003
#trasimond,0.14215976331360924,0.65,2.275,18.22499999999999,5.607692307692308,0.4807692307692308,1.3,1.6955128205128205,0.2403846153846154,1.266880341880342,0.65
#narbal,1.3,0.20000000000000004,0.7,5.607692307692308,32.4,1.0,0.4000000000000001,1.5,0.5,0.9,0.20000000000000004
#sophronie,1.5576923076923077,0.5,0.32142857142857145,0.4807692307692308,1.0,22.5,4.0,0.15,1.25,0.027777777777777776,0.5
#justine,1.3,0.20000000000000004,0.12857142857142861,1.3,0.4000000000000001,4.0,32.4,0.16666666666666666,0.5,0.9,0.20000000000000004
#genseric,0.7211538461538461,0.75,0.05357142857142857,1.6955128205128205,1.5,0.15,0.16666666666666666,15.625,0.675,0.041666666666666664,2.0833333333333335
#huneric,1.625,0.25,0.017857142857142856,0.2403846153846154,0.5,1.25,0.5,0.675,30.625,0.013888888888888888,0.25
#l-imperatrice,1.4720085470085467,0.6722222222222223,1.575,1.266880341880342,0.9,0.027777777777777776,0.9,0.041666666666666664,0.013888888888888888,24.025,0.45
#amilcar,0.18846153846153843,0.10000000000000002,0.35,0.65,0.20000000000000004,0.5,0.20000000000000004,2.0833333333333335,0.25,0.45,36.099999999999994
Successions,#eudoxe,#camile,#ispar,#trasimond,#narbal,#sophronie,#justine,#genseric,#huneric,#l-imperatrice,#amilcar
#eudoxe,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.022727272727272728,0.0,0.0,0.18181818181818182,0.0,0.25,0.022727272727272728
#camile,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
#ispar,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.0
#trasimond,0.2923076923076923,0.0,0.015384615384615385,0.0,0.06153846153846154,0.2,0.0,0.18461538461538463,0.16923076923076924,0.06153846153846154,0.015384615384615385
#narbal,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#sophronie,0.0,0.0,0.025,0.35,0.025,0.025,0.35,0.1,0.0,0.125,0.0
#justine,0.0625,0.0,0.0625,0.0,0.0,0.8125,0.0,0.0625,0.0,0.0,0.0
#genseric,0.14035087719298245,0.0,0.12280701754385964,0.22807017543859648,0.0,0.08771929824561403,0.03508771929824561,0.03508771929824561,0.10526315789473684,0.19298245614035087,0.05263157894736842
#huneric,0.0,0.0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0
#l-imperatrice,0.3055555555555556,0.027777777777777776,0.0,0.1111111111111111,0.0,0.1388888888888889,0.0,0.3888888888888889,0.0,0.027777777777777776,0.0
#amilcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
