VALEUR,#aman,#cirus,#choeur,#assuerus,#mardochee,#sara,#rachel,#esther,#athac,#arphaxat,#sares,#messager
Fréquences (scènes),0.6,0.2,1.0,0.6,0.4,0.2,0.2,0.6,0.2,0.2,0.2,0.2
Fréquences(répliques),0.27931488801054016,0.05204216073781291,0.03820816864295125,0.17588932806324112,0.2602108036890646,0.010540184453227932,0.007905138339920948,0.1442687747035573,0.01383399209486166,0.001976284584980237,0.00922266139657444,0.006587615283267457
Confrontation,0.10416666666666667,0.020833333333333332,0.1875,0.11458333333333333,0.11458333333333333,0.052083333333333336,0.052083333333333336,0.14583333333333334,0.052083333333333336,0.03125,0.0625,0.0625
Déviations,#aman,#cirus,#choeur,#assuerus,#mardochee,#sara,#rachel,#esther,#athac,#arphaxat,#sares,#messager
#aman,0.8000000000000003,0.2666666666666665,0.0,0.022222222222222265,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.3555555555555554,0.6000000000000001,0.6000000000000001,0.2666666666666665,0.2666666666666665
#cirus,0.2666666666666667,3.2000000000000006,0.0,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#assuerus,0.022222222222222265,0.6000000000000001,0.0,0.8000000000000003,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.022222222222222265,0.6000000000000001,0.2666666666666665,0.2666666666666665,0.2666666666666665
#mardochee,0.03333333333333332,0.4000000000000001,0.0,0.03333333333333332,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.5333333333333334,0.8999999999999999,0.4000000000000001,0.8999999999999999,0.8999999999999999
#sara,0.6,0.20000000000000004,0.0,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#sara,0.6,0.20000000000000004,0.0,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#esther,0.3555555555555554,0.6000000000000001,0.0,0.022222222222222265,0.533333333333333,0.2666666666666665,0.2666666666666665,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#sara,0.6,0.20000000000000004,0.0,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#arphaxat,0.6,0.20000000000000004,0.0,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.2666666666666667,0.20000000000000004,3.2000000000000006,0.20000000000000004,0.20000000000000004
#sares,0.2666666666666667,0.20000000000000004,0.0,0.2666666666666667,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#sares,0.2666666666666667,0.20000000000000004,0.0,0.2666666666666667,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
Successions,#aman,#cirus,#choeur,#assuerus,#mardochee,#sara,#rachel,#esther,#athac,#arphaxat,#sares,#messager
#aman,0.0,0.4444444444444444,0.05555555555555555,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
#cirus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
#assuerus,0.35294117647058826,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.17647058823529413,0.0,0.0
#mardochee,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
#sara,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#rachel,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
#esther,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
#athac,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#arphaxat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cirus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#messager,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
