VALEUR,#phocas,#crispe,#pulcherie,#heraclius,#martian,#leontine,#eudoxe,#page,#exupere,#amyntas
Fréquences (scènes),0.39285714285714285,0.10714285714285714,0.39285714285714285,0.4642857142857143,0.35714285714285715,0.32142857142857145,0.2857142857142857,0.03571428571428571,0.32142857142857145,0.07142857142857142
Fréquences(répliques),0.19471776281719316,0.017607457276022784,0.1879854997410668,0.21128948731227343,0.15846711548420508,0.09476954945624029,0.04298291040911445,0.0005178663904712584,0.07301916105644744,0.018643190056965304
Confrontation,0.13253012048192772,0.04216867469879518,0.13855421686746988,0.18072289156626506,0.13855421686746988,0.1144578313253012,0.0963855421686747,0.012048192771084338,0.12048192771084337,0.024096385542168676
Déviations,#phocas,#crispe,#pulcherie,#heraclius,#martian,#leontine,#eudoxe,#page,#exupere,#amyntas
#phocas,10.321428571428573,2.8149350649350646,0.10655253837072028,0.002247752247752269,0.21948051948051958,1.818542568542569,1.461038961038961,0.39285714285714285,0.06096681096681088,0.7857142857142857
#crispe,2.8149350649350646,22.321428571428577,0.027056277056277066,0.11080586080586079,1.0714285714285714,0.0013227513227513134,0.8571428571428571,0.10714285714285714,0.0013227513227513134,0.21428571428571427
#pulcherie,0.10655253837072028,0.027056277056277066,10.321428571428573,0.7015484515484511,1.0922077922077917,1.818542568542569,1.461038961038961,0.39285714285714285,1.818542568542569,0.058441558441558454
#heraclius,0.002247752247752232,0.11080586080586079,0.7015484515484519,8.035714285714286,0.3967032967032964,0.3324175824175825,0.021978021978022032,0.46428571428571425,0.3324175824175825,0.005494505494505508
#martian,0.21948051948051941,1.0714285714285714,1.0922077922077924,0.3967032967032964,11.571428571428571,0.45873015873015877,1.2071428571428569,0.3571428571428571,0.19206349206349202,0.11428571428571437
#leontine,1.8185425685425682,0.00132275132275133,1.8185425685425682,0.3324175824175825,0.45873015873015877,12.89285714285714,4.571428571428573,1.4325396825396828,0.4237213403880067,0.6428571428571428
#eudoxe,1.461038961038961,0.8571428571428571,1.461038961038961,0.021978021978021955,1.207142857142857,4.57142857142857,14.285714285714286,1.7857142857142858,0.12698412698412706,0.5714285714285714
#page,0.39285714285714285,0.10714285714285714,0.39285714285714285,0.4642857142857143,0.35714285714285715,1.4325396825396826,1.7857142857142858,26.03571428571429,0.32142857142857145,0.07142857142857142
#exupere,0.060966810966811,0.00132275132275133,1.8185425685425682,0.3324175824175825,0.19206349206349202,0.4237213403880067,0.12698412698412687,0.3214285714285714,12.89285714285714,0.1984126984126985
#amyntas,0.7857142857142857,0.21428571428571427,0.058441558441558454,0.005494505494505489,0.11428571428571427,0.6428571428571429,0.5714285714285714,0.07142857142857142,0.19841269841269835,24.142857142857146
Successions,#phocas,#crispe,#pulcherie,#heraclius,#martian,#leontine,#eudoxe,#page,#exupere,#amyntas
#phocas,0.0,0.08450704225352113,0.2112676056338028,0.323943661971831,0.16901408450704225,0.056338028169014086,0.014084507042253521,0.0,0.14084507042253522,0.0
#crispe,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pulcherie,0.41025641025641024,0.0,0.0,0.28205128205128205,0.2564102564102564,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564
#heraclius,0.34328358208955223,0.0,0.14925373134328357,0.014925373134328358,0.19402985074626866,0.05970149253731343,0.1044776119402985,0.0,0.05970149253731343,0.07462686567164178
#martian,0.1956521739130435,0.0,0.1956521739130435,0.30434782608695654,0.0,0.13043478260869565,0.0,0.0,0.10869565217391304,0.06521739130434782
#leontine,0.13513513513513514,0.0,0.05405405405405406,0.1891891891891892,0.13513513513513514,0.02702702702702703,0.16216216216216217,0.02702702702702703,0.2702702702702703,0.0
#eudoxe,0.07142857142857142,0.0,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.0,0.0,0.0
#page,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#exupere,0.43333333333333335,0.0,0.0,0.03333333333333333,0.1,0.4,0.0,0.0,0.0,0.03333333333333333
#amyntas,0.0,0.0,0.2,0.4,0.3,0.0,0.0,0.0,0.1,0.0
