VALEUR,#arlequin,#colombine,#l-epine,#madame-jacquemard,#la-sibylle,#osiris,#monsieur-jacquemard,#le-choeur,#le-limonadier,#mezzetin
Fréquences (scènes),0.6153846153846154,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.45454545454545453,0.22727272727272727,0.0,0.0,0.22727272727272727,0.005681818181818182,0.028409090909090908,0.03409090909090909,0.0,0.022727272727272728
Confrontation,0.21428571428571427,0.12857142857142856,0.04285714285714286,0.15714285714285714,0.1,0.1,0.15714285714285714,0.02857142857142857,0.04285714285714286,0.02857142857142857
Déviations,#arlequin,#colombine,#l-epine,#madame-jacquemard,#la-sibylle,#osiris,#monsieur-jacquemard,#le-choeur,#le-limonadier,#mezzetin
#arlequin,1.9230769230769227,0.11778846153846148,0.04326923076923079,0.7756410256410259,0.08653846153846158,0.38782051282051294,0.11778846153846148,0.24038461538461534,0.24038461538461534,0.24038461538461534
#colombine,0.11778846153846148,6.23076923076923,0.24038461538461534,0.012820512820512803,0.04326923076923079,0.006410256410256401,0.04326923076923079,0.3076923076923077,0.3076923076923077,0.3076923076923077
#l-epine,0.04326923076923079,0.24038461538461534,9.307692307692307,0.006410256410256401,0.6153846153846154,0.46153846153846156,0.6153846153846154,0.15384615384615385,0.15384615384615385,0.15384615384615385
#madame-jacquemard,0.7756410256410259,0.012820512820512803,0.006410256410256401,3.7692307692307696,0.38782051282051294,1.8846153846153848,0.012820512820512803,0.46153846153846156,0.46153846153846156,0.46153846153846156
#la-sibylle,0.08653846153846158,0.04326923076923079,0.6153846153846154,0.38782051282051294,6.23076923076923,0.9230769230769231,0.04326923076923079,0.3076923076923077,1.5576923076923075,1.5576923076923075
#osiris,0.38782051282051294,0.006410256410256401,0.46153846153846156,1.8846153846153848,0.9230769230769231,7.692307692307691,1.2564102564102562,0.23076923076923078,0.23076923076923078,0.23076923076923078
#monsieur-jacquemard,0.11778846153846148,0.04326923076923079,0.6153846153846154,0.012820512820512803,0.04326923076923079,1.2564102564102562,6.23076923076923,1.5576923076923075,1.5576923076923075,0.3076923076923077
#le-choeur,0.24038461538461534,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.5576923076923075,11.076923076923078,0.07692307692307693,0.07692307692307693
#le-limonadier,0.24038461538461534,0.3076923076923077,0.15384615384615385,0.46153846153846156,1.5576923076923075,0.23076923076923078,1.5576923076923075,0.07692307692307693,11.076923076923078,0.07692307692307693
#mezzetin,0.24038461538461534,0.3076923076923077,0.15384615384615385,0.46153846153846156,1.5576923076923075,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,11.076923076923078
Successions,#arlequin,#colombine,#l-epine,#madame-jacquemard,#la-sibylle,#osiris,#monsieur-jacquemard,#le-choeur,#le-limonadier,#mezzetin
#arlequin,0.038461538461538464,0.5192307692307693,0.019230769230769232,0.21153846153846154,0.0,0.019230769230769232,0.09615384615384616,0.038461538461538464,0.038461538461538464,0.019230769230769232
#colombine,0.6222222222222222,0.022222222222222223,0.0,0.35555555555555557,0.0,0.0,0.0,0.0,0.0,0.0
#l-epine,0.125,0.125,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.0
#madame-jacquemard,0.22916666666666666,0.3125,0.125,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.22916666666666666,0.0,0.0,0.0
#la-sibylle,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#osiris,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-jacquemard,0.1875,0.0,0.0,0.6875,0.0625,0.0625,0.0,0.0,0.0,0.0
#le-choeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-limonadier,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#mezzetin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
