VALEUR,#brute,#maxime,#cassie,#porcie,#julie,#philipe,#octave,#valere,#tite
Fréquences (scènes),0.3333333333333333,0.20833333333333334,0.20833333333333334,0.5416666666666666,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664
Fréquences(répliques),0.2359481161210624,0.102532427424336,0.11673872760963558,0.3662754786905497,0.035206917850525016,0.053736874613959235,0.04570722668313774,0.04138357010500309,0.0024706609017912293
Confrontation,0.16666666666666666,0.14583333333333334,0.08333333333333333,0.25,0.10416666666666667,0.0625,0.10416666666666667,0.041666666666666664,0.041666666666666664
Déviations,#brute,#maxime,#cassie,#porcie,#julie,#philipe,#octave,#valere,#tite
#brute,10.66666666666667,0.06666666666666664,0.06666666666666664,0.025641025641025595,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333
#maxime,0.06666666666666674,15.041666666666663,1.0416666666666667,0.03141025641025648,0.8333333333333333,0.41666666666666663,0.0016666666666666724,0.41666666666666663,3.008333333333334
#cassie,0.06666666666666674,1.0416666666666667,15.041666666666663,2.708333333333333,0.03333333333333337,0.8166666666666669,1.0416666666666667,0.41666666666666663,0.20833333333333331
#porcie,0.025641025641025595,0.03141025641025638,2.7083333333333335,5.041666666666669,0.32051282051282065,0.006410256410256399,1.0775641025641027,1.0833333333333333,0.5416666666666666
#julie,1.3333333333333333,0.8333333333333334,0.03333333333333332,0.32051282051282065,16.66666666666667,1.3333333333333337,0.8333333333333334,0.3333333333333333,0.16666666666666666
#philipe,0.6666666666666666,0.4166666666666667,0.8166666666666664,0.006410256410256399,1.3333333333333337,20.166666666666664,0.4166666666666667,0.16666666666666666,0.08333333333333333
#octave,1.6666666666666665,0.0016666666666666724,1.0416666666666667,1.0775641025641023,0.8333333333333333,0.41666666666666663,15.041666666666663,6.016666666666668,3.008333333333334
#valere,0.6666666666666666,0.4166666666666667,0.4166666666666667,1.0833333333333333,0.3333333333333333,0.16666666666666666,6.016666666666666,20.166666666666664,0.08333333333333333
#tite,0.3333333333333333,3.008333333333333,0.20833333333333334,0.5416666666666666,0.16666666666666666,0.08333333333333333,3.008333333333333,0.08333333333333333,22.04166666666667
Successions,#brute,#maxime,#cassie,#porcie,#julie,#philipe,#octave,#valere,#tite
#brute,0.11538461538461539,0.11538461538461539,0.2692307692307692,0.5,0.0,0.0,0.0,0.0,0.0
#maxime,0.21428571428571427,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142
#cassie,0.5,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0
#porcie,0.35,0.2,0.025,0.025,0.2,0.075,0.125,0.0,0.0
#julie,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
#philipe,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
#octave,0.0,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0
#valere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#valere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
