VALEUR,#beatrix,#isabelle,#don-fernand,#guzman,#don-pascal,#don-cesar,#carlin,#enrique,#sganarelle
Fréquences (scènes),0.47058823529411764,0.35294117647058826,0.6470588235294118,0.08823529411764706,0.29411764705882354,0.5294117647058824,0.5,0.23529411764705882,0.058823529411764705
Fréquences(répliques),0.09296947271045329,0.10823311748381129,0.2206290471785384,0.021739130434782608,0.15356151711378355,0.1942645698427382,0.14153561517113783,0.05180388529139685,0.015263644773358002
Confrontation,0.16216216216216217,0.13175675675675674,0.18243243243243243,0.02702702702702703,0.0945945945945946,0.15878378378378377,0.15202702702702703,0.07094594594594594,0.02027027027027027
Déviations,#beatrix,#isabelle,#don-fernand,#guzman,#don-pascal,#don-cesar,#carlin,#enrique,#sganarelle
#beatrix,9.529411764705884,5.074142156862744,0.01203208556149736,0.2450980392156862,0.10588235294117651,0.026143790849673214,0.0,0.15533088235294118,1.1911764705882355
#isabelle,5.074142156862747,14.235294117647058,0.007130124777183549,0.8366013071895425,0.6127450980392158,0.019607843137254957,0.16666666666666666,0.24019607843137245,0.7058823529411764
#don-fernand,0.01203208556149736,0.007130124777183549,4.235294117647057,0.0017825311942958873,0.04331550802139036,0.601604278074866,0.8181818181818182,1.5401069518716575,0.38502673796791437
#guzman,0.2450980392156864,0.8366013071895425,0.0017825311942958873,28.264705882352942,1.415686274509804,1.588235294117647,1.5,0.7058823529411764,0.1764705882352941
#don-pascal,0.10588235294117651,0.6127450980392154,0.04331550802139036,1.4156862745098038,16.941176470588232,0.3163398692810457,0.2,0.052941176470588255,0.5882352941176471
#don-cesar,0.026143790849673214,0.019607843137254957,0.6016042780748668,1.588235294117647,0.3163398692810457,7.529411764705883,5.444444444444445,0.3602941176470588,0.0032679738562091517
#carlin,0.0,0.16666666666666666,0.8181818181818182,1.5,0.2,5.444444444444445,8.5,0.25,0.0
#enrique,0.15533088235294118,0.24019607843137264,1.5401069518716575,0.7058823529411765,0.052941176470588255,0.3602941176470588,0.25,19.88235294117647,0.47058823529411764
#sganarelle,1.1911764705882355,0.7058823529411765,0.38502673796791437,0.17647058823529413,0.5882352941176471,0.0032679738562091517,0.0,0.47058823529411764,30.11764705882353
Successions,#beatrix,#isabelle,#don-fernand,#guzman,#don-pascal,#don-cesar,#carlin,#enrique,#sganarelle
#beatrix,0.0,0.32142857142857145,0.05952380952380952,0.023809523809523808,0.03571428571428571,0.07142857142857142,0.42857142857142855,0.0,0.05952380952380952
#isabelle,0.22448979591836735,0.0,0.16326530612244897,0.0,0.17346938775510204,0.3877551020408163,0.04081632653061224,0.01020408163265306,0.0
#don-fernand,0.05555555555555555,0.06944444444444445,0.018518518518518517,0.027777777777777776,0.2777777777777778,0.18055555555555555,0.12037037037037036,0.18981481481481483,0.06018518518518518
#guzman,0.17647058823529413,0.058823529411764705,0.4117647058823529,0.0,0.35294117647058826,0.0,0.0,0.0,0.0
#don-pascal,0.02631578947368421,0.14912280701754385,0.5175438596491229,0.07894736842105263,0.0,0.15789473684210525,0.02631578947368421,0.043859649122807015,0.0
#don-cesar,0.04,0.19428571428571428,0.26285714285714284,0.0,0.13142857142857142,0.005714285714285714,0.3314285714285714,0.011428571428571429,0.022857142857142857
#carlin,0.25384615384615383,0.023076923076923078,0.2,0.0,0.007692307692307693,0.49230769230769234,0.0,0.007692307692307693,0.015384615384615385
#enrique,0.0,0.02,0.82,0.0,0.08,0.08,0.0,0.0,0.0
#sganarelle,0.20833333333333334,0.0,0.5,0.0,0.0,0.20833333333333334,0.08333333333333333,0.0,0.0
