VALEUR,#matamore,#artotrogue,#phylazie,#palestrion,#perimene,#placide,#sceledre,#artelese,#phydippe
Fréquences (scènes),0.375,0.125,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.4583333333333333,0.3333333333333333,0.16666666666666666,0.20833333333333334
Fréquences(répliques),0.26252408477842004,0.04046242774566474,0.07369942196531792,0.18208092485549132,0.1001926782273603,0.16184971098265896,0.0953757225433526,0.05394990366088632,0.029865125240847785
Confrontation,0.12626262626262627,0.03535353535353535,0.12121212121212122,0.20707070707070707,0.12121212121212122,0.13636363636363635,0.08080808080808081,0.08080808080808081,0.09090909090909091
Déviations,#matamore,#artotrogue,#phylazie,#palestrion,#perimene,#placide,#sceledre,#artelese,#phydippe
#matamore,9.375,3.125,0.3333333333333333,0.16666666666666666,0.8166666666666667,0.3068181818181818,1.3333333333333333,0.16666666666666666,0.675
#artotrogue,3.125,18.375,1.0,0.0,1.25,1.375,1.0,0.5,0.625
#phylazie,0.3333333333333333,1.0,10.66666666666667,0.5208333333333335,0.5333333333333334,0.03030303030303033,0.041666666666666706,0.0833333333333333,0.2666666666666667
#palestrion,0.16666666666666666,0.0,0.5208333333333335,2.6666666666666674,0.41666666666666674,0.015151515151515124,0.3333333333333332,0.6666666666666669,0.8333333333333331
#perimene,0.8166666666666667,1.25,0.5333333333333331,0.4166666666666664,8.166666666666664,1.2742424242424246,0.13333333333333347,0.06666666666666674,0.003333333333333345
#placide,0.3068181818181818,1.375,0.03030303030303033,0.015151515151515124,1.2742424242424235,7.04166666666667,0.7575757575757575,0.015151515151515166,0.037121212121212194
#sceledre,1.3333333333333333,1.0,0.041666666666666706,0.3333333333333332,0.13333333333333328,0.7575757575757575,10.66666666666667,0.0833333333333333,0.2666666666666667
#artelese,0.16666666666666666,0.5,0.0833333333333333,0.6666666666666669,0.06666666666666664,0.015151515151515166,0.0833333333333333,16.66666666666667,12.033333333333331
#phydippe,0.675,0.625,0.26666666666666655,0.8333333333333336,0.003333333333333345,0.03712121212121209,0.26666666666666655,12.033333333333337,15.041666666666663
Successions,#matamore,#artotrogue,#phylazie,#palestrion,#perimene,#placide,#sceledre,#artelese,#phydippe
#matamore,0.0,0.20673076923076922,0.057692307692307696,0.3701923076923077,0.04326923076923077,0.16346153846153846,0.019230769230769232,0.07692307692307693,0.0625
#artotrogue,0.9545454545454546,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
#phylazie,0.21666666666666667,0.016666666666666666,0.0,0.26666666666666666,0.05,0.16666666666666666,0.2833333333333333,0.0,0.0
#palestrion,0.34615384615384615,0.0,0.057692307692307696,0.0,0.1346153846153846,0.15384615384615385,0.20673076923076922,0.0625,0.038461538461538464
#perimene,0.14444444444444443,0.0,0.044444444444444446,0.2111111111111111,0.011111111111111112,0.3,0.26666666666666666,0.011111111111111112,0.011111111111111112
#placide,0.2956521739130435,0.0,0.09565217391304348,0.26956521739130435,0.25217391304347825,0.0,0.06956521739130435,0.017391304347826087,0.0
#sceledre,0.07291666666666667,0.0,0.19791666666666666,0.4375,0.19791666666666666,0.09375,0.0,0.0,0.0
#artelese,0.3181818181818182,0.0,0.022727272727272728,0.36363636363636365,0.022727272727272728,0.045454545454545456,0.0,0.0,0.22727272727272727
#phydippe,0.40625,0.0,0.0,0.1875,0.0,0.03125,0.0,0.375,0.0
