VALEUR,#voix-du-monologue,#aglante,#asphalte,#cleonice,#orphise,#melinde,#megate,#philene,#echo,#arbaze,#florine,#un-des-braves,#nerice,#orphise #nerice,#janot,#le-gardeur-des-lions,#toinet
Fréquences (scènes),0.034482758620689655,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.3103448275862069,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.3793103448275862,0.1724137931034483,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.06896551724137931
Fréquences(répliques),0.10140845070422536,0.24084507042253522,0.07793427230046948,0.12441314553990611,0.07042253521126761,0.024413145539906103,0.06995305164319249,0.06807511737089202,0.0028169014084507044,0.07276995305164319,0.06056338028169014,0.0018779342723004694,0.0323943661971831,0.00046948356807511736,0.025821596244131457,0.02488262910798122,0.0009389671361502347
Confrontation,0.0,0.12162162162162163,0.12612612612612611,0.11261261261261261,0.12162162162162163,0.07207207207207207,0.04054054054054054,0.04054054054054054,0.013513513513513514,0.11711711711711711,0.06306306306306306,0.0045045045045045045,0.08558558558558559,0.018018018018018018,0.02702702702702703,0.013513513513513514,0.02252252252252252
Déviations,#voix-du-monologue,#aglante,#asphalte,#cleonice,#orphise,#melinde,#megate,#philene,#echo,#arbaze,#florine,#un-des-braves,#nerice,#orphise #nerice,#janot,#le-gardeur-des-lions,#toinet
#voix-du-monologue,27.034482758620694,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.3103448275862069,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.3793103448275862,0.1724137931034483,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.06896551724137931
#aglante,0.41379310344827586,9.96551724137931,0.06687565308254947,3.604597701149425,0.14080459770114956,0.5522988505747127,1.2413793103448276,1.2413793103448276,0.41379310344827586,0.06687565308254947,0.41896551724137915,0.41379310344827586,0.0022988505747126528,0.41379310344827586,0.03591954022988506,0.8304597701149428,0.8275862068965517
#asphalte,0.3793103448275862,0.06687565308254968,11.172413793103448,0.1658307210031348,0.7370254266805992,0.005642633228840123,0.01671891327063742,0.01671891327063742,0.3793103448275862,0.16414933029353085,0.005642633228840123,0.3793103448275862,0.6420062695924764,1.0156739811912228,0.7586206896551724,0.3793103448275862,0.07680250783699062
#cleonice,0.3448275862068966,3.604597701149425,0.1658307210031348,12.44827586206896,0.25900383141762456,0.04413793103448272,1.0344827586206897,1.0344827586206897,0.3448275862068966,0.8476489028213167,0.04413793103448272,0.3448275862068966,0.04413793103448272,0.3448275862068966,0.13965517241379305,1.2448275862068965,0.6896551724137931
#orphise,0.3103448275862069,0.1408045977011494,0.7370254266805992,0.25900383141762423,13.793103448275863,1.3517241379310339,1.2273307790549173,1.2273307790549173,0.3103448275862069,0.5855102751654475,1.3517241379310339,0.3103448275862069,0.12950191570881212,1.5325670498084292,0.6206896551724138,0.3103448275862069,0.6206896551724138
#melinde,0.1724137931034483,0.5522988505747127,0.005642633228840123,0.04413793103448272,1.3517241379310347,19.862068965517242,4.250574712643678,4.250574712643678,3.9724137931034478,0.42382445141065833,0.02206896551724136,0.1724137931034483,0.02206896551724136,0.1724137931034483,0.3448275862068966,0.1724137931034483,0.3448275862068966
