VALEUR,#babochet,#vachonnet,#celine,#brossard,#benoit,#malvoisie,#pontbedouin,#benoit #pontbedouin,#benoit #malvoisie,#benoit #brossard,#tous,#le-choeur
Fréquences (scènes),0.4444444444444444,0.16666666666666666,0.3888888888888889,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.0,0.0,0.08163265306122448,0.40816326530612246,0.14285714285714285,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.20408163265306123
Confrontation,0.11235955056179775,0.05056179775280899,0.10112359550561797,0.20224719101123595,0.1853932584269663,0.16853932584269662,0.028089887640449437,0.028089887640449437,0.02247191011235955,0.033707865168539325,0.033707865168539325,0.033707865168539325
Déviations,#babochet,#vachonnet,#celine,#brossard,#benoit,#malvoisie,#pontbedouin,#benoit #pontbedouin,#benoit #malvoisie,#benoit #brossard,#tous,#le-choeur
#babochet,5.555555555555556,0.3333333333333334,0.25396825396825395,0.10470085470085466,1.020833333333333,0.16161616161616174,0.6944444444444445,0.6944444444444445,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
#vachonnet,0.3333333333333334,12.5,1.1666666666666667,0.6282051282051281,0.0,0.37878787878787884,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668,4.166666666666668
#celine,0.25396825396825423,1.1666666666666665,6.722222222222222,0.17643467643467653,0.09523809523809508,0.38167388167388205,0.3888888888888888,0.3888888888888888,0.9603174603174606,0.3888888888888888,0.3888888888888888,0.3888888888888888
#brossard,0.10470085470085466,0.6282051282051281,0.17643467643467653,1.3888888888888884,0.20512820512820534,0.00038850038850038574,0.10683760683760685,0.10683760683760685,0.10683760683760685,0.10683760683760685,0.10683760683760685,0.10683760683760685
#benoit,1.020833333333333,0.0,0.09523809523809532,0.20512820512820534,2.0,0.06060606060606049,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667
#malvoisie,0.16161616161616144,0.37878787878787873,0.3816738816738816,0.00038850038850038574,0.06060606060606066,2.722222222222221,0.2474747474747476,0.2474747474747476,0.2474747474747476,0.2474747474747476,0.2474747474747476,0.2474747474747476
#pontbedouin,0.6944444444444445,0.16666666666666666,0.3888888888888889,0.10683760683760685,0.1666666666666667,0.24747474747474738,16.055555555555557,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#pontbedouin,0.6944444444444445,0.16666666666666666,0.3888888888888889,0.10683760683760685,0.1666666666666667,0.24747474747474738,16.055555555555557,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#benoit #malvoisie,0.4444444444444444,0.16666666666666666,0.9603174603174605,0.10683760683760685,0.1666666666666667,0.24747474747474738,0.05555555555555555,0.05555555555555555,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555
#benoit #brossard,0.4444444444444444,4.166666666666668,0.3888888888888889,0.10683760683760685,0.1666666666666667,0.24747474747474738,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557,16.055555555555557
#benoit #brossard,0.4444444444444444,4.166666666666668,0.3888888888888889,0.10683760683760685,0.1666666666666667,0.24747474747474738,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557,16.055555555555557
#benoit #brossard,0.4444444444444444,4.166666666666668,0.3888888888888889,0.10683760683760685,0.1666666666666667,0.24747474747474738,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557,16.055555555555557
Successions,#babochet,#vachonnet,#celine,#brossard,#benoit,#malvoisie,#pontbedouin,#benoit #pontbedouin,#benoit #malvoisie,#benoit #brossard,#tous,#le-choeur
#babochet,0.014492753623188406,0.4492753623188406,0.2608695652173913,0.14492753623188406,0.07246376811594203,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.0,0.0
#vachonnet,0.6666666666666666,0.0,0.0,0.0,0.28888888888888886,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0
#celine,0.5277777777777778,0.0,0.0,0.3333333333333333,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#brossard,0.08163265306122448,0.0,0.06802721088435375,0.02040816326530612,0.5306122448979592,0.2108843537414966,0.08163265306122448,0.0,0.006802721088435374,0.0,0.0,0.0
#benoit,0.03355704697986577,0.0738255033557047,0.026845637583892617,0.5100671140939598,0.013422818791946308,0.30201342281879195,0.03355704697986577,0.0,0.0,0.0,0.006711409395973154,0.0
#malvoisie,0.022988505747126436,0.011494252873563218,0.04597701149425287,0.367816091954023,0.4942528735632184,0.0,0.034482758620689655,0.011494252873563218,0.0,0.011494252873563218,0.0,0.0
#pontbedouin,0.047619047619047616,0.0,0.0,0.5714285714285714,0.23809523809523808,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
#benoit #pontbedouin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#benoit #pontbedouin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#benoit #brossard,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
