VALEUR,#palmerin,#le-troupeau,#la-deesse,#choeur-d-aqullons,#choeur-de-salamandres,#le-pasteur,#le-pasteur-furieux,#le-choeur,#le-temps,#venus
Fréquences (scènes),0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2
Fréquences(répliques),0.3888888888888889,0.0,0.08333333333333333,0.013888888888888888,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.125
Confrontation,0.2,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
Déviations,#palmerin,#le-troupeau,#la-deesse,#choeur-d-aqullons,#choeur-de-salamandres,#le-pasteur,#le-pasteur-furieux,#le-choeur,#le-temps,#venus
#palmerin,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,1.2000000000000002,0.6000000000000001,0.6000000000000001
#le-troupeau,0.2666666666666667,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004
#la-deesse,0.2666666666666667,0.20000000000000004,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004
#choeur-d-aqullons,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004
#choeur-d-aqullons,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004
#choeur-d-aqullons,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004
#choeur-d-aqullons,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004
#le-choeur,1.2,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,1.7999999999999998,0.8999999999999999,0.8999999999999999
#le-temps,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,3.2000000000000006,3.2000000000000006
#le-temps,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,3.2000000000000006,3.2000000000000006
Successions,#palmerin,#le-troupeau,#la-deesse,#choeur-d-aqullons,#choeur-de-salamandres,#le-pasteur,#le-pasteur-furieux,#le-choeur,#le-temps,#venus
#palmerin,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#le-troupeau,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-troupeau,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-troupeau,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-salamandres,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pasteur,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#le-pasteur-furieux,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
#le-temps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#venus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
