VALEUR,#rosimond,#isimandre,#ormin,#clindor,#eduige,#lucinde,#florange,#palinice,#orante,#lindoman,#nerine,#poliante,#leriste,#argamor
Fréquences (scènes),0.021739130434782608,0.30434782608695654,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.2391304347826087,0.2391304347826087,0.21739130434782608,0.391304347826087,0.06521739130434782,0.043478260869565216,0.15217391304347827,0.043478260869565216,0.021739130434782608
Fréquences(répliques),0.0378234903782349,0.24950232249502322,0.13138686131386862,0.0404777704047777,0.0457863304578633,0.05242203052422031,0.09289980092899801,0.072992700729927,0.1585932315859323,0.013934970139349702,0.0046449900464499,0.09555408095554081,0.0033178500331785005,0.0006635700066357001
Confrontation,0.0045871559633027525,0.12385321100917432,0.12844036697247707,0.05045871559633028,0.06422018348623854,0.12844036697247707,0.10550458715596331,0.10550458715596331,0.14678899082568808,0.022935779816513763,0.01834862385321101,0.05963302752293578,0.022935779816513763,0.01834862385321101
Déviations,#rosimond,#isimandre,#ormin,#clindor,#eduige,#lucinde,#florange,#palinice,#orante,#lindoman,#nerine,#poliante,#leriste,#argamor
#rosimond,44.02173913043478,1.590062111801242,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.2391304347826087,0.2391304347826087,0.21739130434782608,0.391304347826087,0.06521739130434782,0.043478260869565216,0.15217391304347827,0.043478260869565216,0.021739130434782608
#isimandre,1.590062111801242,22.26086956521739,0.015971606033717865,0.13121118012422353,0.845496894409938,0.5426312817617166,0.12704686617730088,1.3720496894409937,0.04175293305728094,0.008281573498964814,0.6086956521739131,0.007985803016858932,3.180124223602484,1.590062111801242
#ormin,0.30434782608695654,0.015971606033717865,22.26086956521739,2.4347826086956523,0.845496894409938,0.8153585544889891,0.8153585544889891,0.3006211180124226,0.39889579020013816,0.9130434782608695,0.6086956521739131,0.3549245785270629,0.2515527950310558,1.590062111801242
#clindor,0.17391304347826086,0.13121118012422353,2.4347826086956523,31.391304347826086,0.266304347826087,1.9130434782608696,0.43577075098814233,1.7391304347826086,0.40821256038647347,0.43840579710144933,0.34782608695652173,0.5031055900621116,0.34782608695652173,0.17391304347826086
#eduige,0.17391304347826086,0.845496894409938,0.845496894409938,0.266304347826087,31.391304347826086,0.003952569169960469,0.43577075098814233,0.03913043478260871,0.24154589371980667,0.43840579710144933,0.34782608695652173,1.2173913043478262,0.34782608695652173,0.17391304347826086
#lucinde,0.2391304347826087,0.5426312817617166,0.8153585544889891,1.9130434782608696,0.003952569169960469,26.6304347826087,0.05192238591448073,18.26403162055336,0.021519543258673758,0.717391304347826,0.5691699604743082,0.06352343308865044,0.4782608695652174,0.2391304347826087
