VALEUR,#mercure,#apollon,#la-nouveaute,#le-poete,#merveilleux,#la-rime,#le-compositeur,#le-choeur
Fréquences (scènes),1.0,0.125,0.125,0.25,0.375,0.25,0.125,0.125
Fréquences(répliques),0.1891891891891892,0.06142506142506143,0.16707616707616707,0.2334152334152334,0.012285012285012284,0.1597051597051597,0.07616707616707617,0.10073710073710074
Confrontation,0.39285714285714285,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.03571428571428571,0.07142857142857142
Déviations,#mercure,#apollon,#la-nouveaute,#le-poete,#merveilleux,#la-rime,#le-compositeur,#le-choeur
#mercure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.0,6.125,0.125,0.25,0.375,0.25,0.125,0.125
#la-nouveaute,0.0,0.125,6.125,0.25,0.375,0.25,0.125,0.125
#le-poete,0.0,0.25,0.25,4.5,0.75,0.5,0.25,0.25
#merveilleux,0.0,0.375,0.375,0.75,3.125,2.0833333333333335,0.375,1.0416666666666667
#la-rime,0.0,0.25,0.25,0.5,2.0833333333333335,4.5,0.25,0.25
#le-compositeur,0.0,0.125,0.125,0.25,0.375,0.25,6.125,0.125
#le-choeur,0.0,0.125,0.125,0.25,1.0416666666666667,0.25,0.125,6.125
Successions,#mercure,#apollon,#la-nouveaute,#le-poete,#merveilleux,#la-rime,#le-compositeur,#le-choeur
#mercure,0.04225352112676056,0.15492957746478872,0.15492957746478872,0.2112676056338028,0.07042253521126761,0.1267605633802817,0.23943661971830985,0.0
#apollon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-poete,0.9375,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
#merveilleux,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#la-rime,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
#apollon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
