VALEUR,#la-renommee #suite,#la-renommee,#le-choeur,#deux-tritons,#neptune,#la-renommee #neptune,#choeurs,#calliope,#calliope #thalie #apollon,#melpomene,#thalie,#apollon,#apollon #neptune #la-renommee,#hierax,#pirante,#io,#hierax #io,#micene,#mercure,#choeur-des-divinites,#isis,#jupiter,#iris,#mercure #iris,#junon,#iris #mercure,#hebe,#deux-nymphes,#argus,#hierax #argus,#syrinx #choeurs,#choeur-des-nymphes,#mercure #choeurs-de-nymphes #bergers #satyres #sylvains,#syrinx,#deux-bergers,#pan,#choeur-de-silvains #satyres #bergers,#double-choeurs,#troupe-de-bergers,#troupe-de-sylvains-et-de-satyres,#pan #deux-bergers,#choeur-des-peuples,#la-furie,#io #la-furie,#choeur-des-chabyles,#premier-conducteur-des-chabyles,#second-conducteur-chabyles,#les-deux-conducteurs,#les-deux-conducteurs #choeur-des-chalybes,#les-deux-conducteurs #le-choeur-des-chalybes,#conducteurs #choeurs-chalybes,#choeur-chalybes,#choeur-de-la-suite-des-parques,#la-guerre,#la-famine,#l-incendie,#l-inondation,#ensemble,#les-maladies-violentes,#les-maladies-languissantes,#tous-ensemble,#choeur #suite-des-parques,#les-parques,#parques #furie #choeur,#jupiter #junon,#choeur #divinites,#choeur #peuples #egypte
Fréquences (scènes),0.02857142857142857,0.05714285714285714,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.4,0.02857142857142857,0.02857142857142857,0.2,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
Fréquences(répliques),0.003992015968063872,0.013972055888223553,0.015968063872255488,0.005988023952095809,0.00499001996007984,0.003992015968063872,0.01996007984031936,0.007984031936127744,0.0029940119760479044,0.000998003992015968,0.001996007984031936,0.007984031936127744,0.001996007984031936,0.11077844311377245,0.017964071856287425,0.1407185628742515,0.005988023952095809,0.011976047904191617,0.07584830339321358,0.0029940119760479044,0.007984031936127744,0.1027944111776447,0.01996007984031936,0.007984031936127744,0.07784431137724551,0.000998003992015968,0.015968063872255488,0.010978043912175649,0.046906187624750496,0.006986027944111776,0.005988023952095809,0.007984031936127744,0.003992015968063872,0.038922155688622756,0.027944111776447105,0.04790419161676647,0.006986027944111776,0.001996007984031936,0.000998003992015968,0.001996007984031936,0.003992015968063872,0.015968063872255488,0.017964071856287425,0.001996007984031936,0.000998003992015968,0.000998003992015968,0.000998003992015968,0.001996007984031936,0.003992015968063872,0.000998003992015968,0.001996007984031936,0.001996007984031936,0.003992015968063872,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000998003992015968,0.001996007984031936,0.001996007984031936,0.000998003992015968,0.000998003992015968,0.008982035928143712,0.001996007984031936,0.00998003992015968,0.001996007984031936,0.001996007984031936
Confrontation,0.00411522633744856,0.018518518518518517,0.043209876543209874,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.04526748971193416,0.01440329218106996,0.01440329218106996,0.01440329218106996,0.01440329218106996,0.01440329218106996,0.01440329218106996,0.018518518518518517,0.00205761316872428,0.05555555555555555,0.00411522633744856,0.00205761316872428,0.047325102880658436,0.00411522633744856,0.00411522633744856,0.02263374485596708,0.006172839506172839,0.00411522633744856,0.018518518518518517,0.00411522633744856,0.00823045267489712,0.006172839506172839,0.0102880658436214,0.01646090534979424,0.026748971193415638,0.026748971193415638,0.00411522633744856,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.02263374485596708,0.006172839506172839,0.0205761316872428,0.006172839506172839,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.00823045267489712,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.00205761316872428,0.006172839506172839,0.006172839506172839,0.0102880658436214,0.0102880658436214,0.0102880658436214
Déviations,#la-renommee #suite,#la-renommee,#le-choeur,#deux-tritons,#neptune,#la-renommee #neptune,#choeurs,#calliope,#calliope #thalie #apollon,#melpomene,#thalie,#apollon,#apollon #neptune #la-renommee,#hierax,#pirante,#io,#hierax #io,#micene,#mercure,#choeur-des-divinites,#isis,#jupiter,#iris,#mercure #iris,#junon,#iris #mercure,#hebe,#deux-nymphes,#argus,#hierax #argus,#syrinx #choeurs,#choeur-des-nymphes,#mercure #choeurs-de-nymphes #bergers #satyres #sylvains,#syrinx,#deux-bergers,#pan,#choeur-de-silvains #satyres #bergers,#double-choeurs,#troupe-de-bergers,#troupe-de-sylvains-et-de-satyres,#pan #deux-bergers,#choeur-des-peuples,#la-furie,#io #la-furie,#choeur-des-chabyles,#premier-conducteur-des-chabyles,#second-conducteur-chabyles,#les-deux-conducteurs,#les-deux-conducteurs #choeur-des-chalybes,#les-deux-conducteurs #le-choeur-des-chalybes,#conducteurs #choeurs-chalybes,#choeur-chalybes,#choeur-de-la-suite-des-parques,#la-guerre,#la-famine,#l-incendie,#l-inondation,#ensemble,#les-maladies-violentes,#les-maladies-languissantes,#tous-ensemble,#choeur #suite-des-parques,#les-parques,#parques #furie #choeur,#jupiter #junon,#choeur #divinites,#choeur #peuples #egypte
#la-renommee #suite,33.02857142857143,15.557142857142857,6.864285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.4000000000000001,0.02857142857142857,0.02857142857142857,0.20000000000000004,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
#la-renommee,15.557142857142857,31.114285714285714,13.728571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.2857142857142857,15.557142857142857,15.557142857142857,15.557142857142857,15.557142857142857,15.557142857142857,15.557142857142857,0.2857142857142857,0.05714285714285714,0.8000000000000002,0.05714285714285714,0.05714285714285714,0.4000000000000001,0.05714285714285714,0.05714285714285714,0.34285714285714286,0.11428571428571428,0.05714285714285714,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.17142857142857143,0.17142857142857143,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
#le-choeur,6.864285714285714,13.728571428571428,27.457142857142856,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.3214285714285715,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,0.5714285714285714,0.11428571428571428,1.6000000000000003,0.11428571428571428,0.11428571428571428,0.8000000000000002,0.11428571428571428,0.11428571428571428,0.6857142857142857,0.22857142857142856,0.11428571428571428,0.45714285714285713,0.11428571428571428,2.6035714285714286,6.864285714285714,0.34285714285714286,0.34285714285714286,0.22857142857142856,0.22857142857142856,0.11428571428571428,0.22857142857142856,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.22857142857142856,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,6.864285714285714,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428
#deux-tritons,0.02857142857142857,0.05714285714285714,0.11428571428571428,33.02857142857143,33.02857142857143,33.02857142857143,5.142857142857144,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.4000000000000001,0.02857142857142857,0.02857142857142857,0.20000000000000004,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
#deux-tritons,0.02857142857142857,0.05714285714285714,0.11428571428571428,33.02857142857143,33.02857142857143,33.02857142857143,5.142857142857144,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.4000000000000001,0.02857142857142857,0.02857142857142857,0.20000000000000004,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
#deux-tritons,0.02857142857142857,0.05714285714285714,0.11428571428571428,33.02857142857143,33.02857142857143,33.02857142857143,5.142857142857144,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.4000000000000001,0.02857142857142857,0.02857142857142857,0.20000000000000004,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
