VALEUR,#antiochus,#salmonee,#thares,#misael,#barses,#antigone,#cephise,#arsace,#hidaspe
Fréquences (scènes),0.5172413793103449,0.41379310344827586,0.06896551724137931,0.2413793103448276,0.06896551724137931,0.3448275862068966,0.034482758620689655,0.10344827586206896,0.034482758620689655
Fréquences(répliques),0.1846049046321526,0.25885558583106266,0.018392370572207085,0.23841961852861035,0.004087193460490463,0.22275204359673023,0.005449591280653951,0.0388283378746594,0.02861035422343324
Confrontation,0.25925925925925924,0.2222222222222222,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.18518518518518517,0.018518518518518517,0.07407407407407407,0.018518518518518517
Déviations,#antiochus,#salmonee,#thares,#misael,#barses,#antigone,#cephise,#arsace,#hidaspe
#antiochus,6.75862068965517,0.234674329501916,1.0344827586206897,0.7254515599343192,1.0344827586206897,0.912413793103449,0.5172413793103449,1.3517241379310339,0.4505747126436781
#salmonee,0.234674329501916,9.96551724137931,1.6609195402298855,0.277504105090312,0.03591954022988506,2.3795977011494256,0.41379310344827586,0.046934865900383156,0.41379310344827586
#thares,1.0344827586206897,1.6609195402298855,25.137931034482758,0.4827586206896552,0.13793103448275862,0.6896551724137931,0.06896551724137931,0.20689655172413793,0.06896551724137931
#misael,0.7254515599343188,0.277504105090312,0.48275862068965514,16.68965517241379,0.48275862068965514,1.0423645320197046,0.24137931034482757,0.7241379310344829,0.24137931034482757
#barses,1.0344827586206897,0.03591954022988506,0.13793103448275862,0.4827586206896552,25.137931034482758,0.13965517241379305,0.06896551724137931,0.20689655172413793,0.06896551724137931
#antigone,0.9124137931034483,2.3795977011494256,0.6896551724137931,1.0423645320197046,0.13965517241379305,12.44827586206896,1.2448275862068965,1.0344827586206897,0.3448275862068966
#cephise,0.5172413793103449,0.41379310344827586,0.06896551724137931,0.2413793103448276,0.06896551724137931,1.2448275862068965,27.034482758620694,0.10344827586206896,0.034482758620689655
#arsace,1.3517241379310339,0.046934865900383156,0.20689655172413793,0.7241379310344829,0.20689655172413793,1.0344827586206897,0.10344827586206896,23.310344827586206,0.10344827586206896
#hidaspe,0.4505747126436781,0.41379310344827586,0.06896551724137931,0.2413793103448276,0.06896551724137931,0.3448275862068966,0.034482758620689655,0.10344827586206896,27.034482758620694
Successions,#antiochus,#salmonee,#thares,#misael,#barses,#antigone,#cephise,#arsace,#hidaspe
#antiochus,0.07692307692307693,0.38461538461538464,0.0,0.1282051282051282,0.0,0.23076923076923078,0.02564102564102564,0.07692307692307693,0.07692307692307693
#salmonee,0.3902439024390244,0.0,0.12195121951219512,0.3170731707317073,0.07317073170731707,0.0975609756097561,0.0,0.0,0.0
#thares,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#misael,0.1951219512195122,0.3170731707317073,0.0,0.04878048780487805,0.0,0.43902439024390244,0.0,0.0,0.0
#barses,0.0,0.4,0.0,0.2,0.0,0.4,0.0,0.0,0.0
#antigone,0.15555555555555556,0.13333333333333333,0.0,0.4444444444444444,0.044444444444444446,0.06666666666666667,0.15555555555555556,0.0,0.0
#cephise,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#arsace,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#hidaspe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
