VALEUR,#zenobie,#berenice,#perside,#helvidius,#phraarte,#rhadamiste,#tiridate,#helvitius,#leontin,#corbulon,#un-garde
Fréquences (scènes),0.8823529411764706,0.11764705882352941,0.7647058823529411,0.4117647058823529,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705
Fréquences(répliques),0.3620795107033639,0.020795107033639144,0.15045871559633028,0.12966360856269113,0.1577981651376147,0.044648318042813454,0.024464831804281346,0.0006116207951070336,0.0006116207951070336,0.09663608562691131,0.012232415902140673
Confrontation,0.20202020202020202,0.010101010101010102,0.19696969696969696,0.13131313131313133,0.1919191919191919,0.06060606060606061,0.06060606060606061,0.03535353535353535,0.03535353535353535,0.05555555555555555,0.020202020202020204
Déviations,#zenobie,#berenice,#perside,#helvidius,#phraarte,#rhadamiste,#tiridate,#helvitius,#leontin,#corbulon,#un-garde
#zenobie,0.23529411764705904,0.03137254901960786,0.01930618401206623,0.005042016806722654,0.01930618401206623,0.03137254901960786,0.03137254901960786,0.01568627450980393,0.01568627450980393,0.04705882352941166,0.01568627450980393
#berenice,0.03137254901960786,13.235294117647058,1.5294117647058825,0.8235294117647058,1.5294117647058825,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.11764705882352941
#perside,0.019306184012066373,1.5294117647058825,0.9411764705882352,0.5067873303167423,0.11277410372432993,0.1447963800904978,0.1447963800904978,0.0723981900452489,0.0723981900452489,0.2171945701357464,0.0723981900452489
#helvidius,0.005042016806722654,0.8235294117647058,0.5067873303167423,5.882352941176469,0.0782159017453136,1.6806722689075633,1.6806722689075633,0.8403361344537816,0.8403361344537816,0.04481792717086836,0.4117647058823529
#phraarte,0.019306184012066373,1.5294117647058825,0.11277410372432993,0.0782159017453136,0.9411764705882352,0.1447963800904978,0.1447963800904978,0.0723981900452489,0.0723981900452489,0.2171945701357464,0.0723981900452489
#rhadamiste,0.03137254901960786,0.23529411764705882,0.1447963800904978,1.6806722689075633,0.1447963800904978,13.235294117647058,13.235294117647058,6.617647058823529,6.617647058823529,0.35294117647058826,0.11764705882352941
#rhadamiste,0.03137254901960786,0.23529411764705882,0.1447963800904978,1.6806722689075633,0.1447963800904978,13.235294117647058,13.235294117647058,6.617647058823529,6.617647058823529,0.35294117647058826,0.11764705882352941
#helvitius,0.01568627450980393,0.11764705882352941,0.0723981900452489,0.8403361344537816,0.0723981900452489,6.617647058823529,6.617647058823529,15.058823529411764,15.058823529411764,0.17647058823529413,0.058823529411764705
#helvitius,0.01568627450980393,0.11764705882352941,0.0723981900452489,0.8403361344537816,0.0723981900452489,6.617647058823529,6.617647058823529,15.058823529411764,15.058823529411764,0.17647058823529413,0.058823529411764705
#corbulon,0.047058823529411785,0.3529411764705882,0.2171945701357467,0.04481792717086836,0.2171945701357467,0.3529411764705882,0.3529411764705882,0.1764705882352941,0.1764705882352941,11.529411764705882,3.843137254901961
#un-garde,0.01568627450980393,0.11764705882352941,0.0723981900452489,0.4117647058823529,0.0723981900452489,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,3.8431372549019605,15.058823529411764
Successions,#zenobie,#berenice,#perside,#helvidius,#phraarte,#rhadamiste,#tiridate,#helvitius,#leontin,#corbulon,#un-garde
#zenobie,0.06153846153846154,0.12307692307692308,0.13846153846153847,0.15384615384615385,0.2153846153846154,0.1076923076923077,0.1076923076923077,0.0,0.015384615384615385,0.07692307692307693,0.0
#berenice,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#perside,0.20454545454545456,0.0,0.0,0.20454545454545456,0.5454545454545454,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0
#helvidius,0.40625,0.0,0.15625,0.0,0.1875,0.03125,0.03125,0.0,0.0,0.1875,0.0
#phraarte,0.3617021276595745,0.0,0.46808510638297873,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0425531914893617
#rhadamiste,0.6,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#tiridate,0.5,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#helvitius,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#helvitius,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#corbulon,0.2222222222222222,0.0,0.2222222222222222,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
#un-garde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
