VALEUR,#finette,#damis,#eraste,#sophie,#belise,#l-olive,#lisimon,#damis #sophie
Fréquences (scènes),0.375,0.5625,0.75,0.375,0.4375,0.125,0.1875,0.0625
Fréquences(répliques),0.13051305130513052,0.2007200720072007,0.32313231323132313,0.09900990099009901,0.10711071107110712,0.0036003600360036,0.135013501350135,0.0009000900090009
Confrontation,0.125,0.2,0.21666666666666667,0.125,0.15833333333333333,0.05,0.075,0.05
Déviations,#finette,#damis,#eraste,#sophie,#belise,#l-olive,#lisimon,#damis #sophie
#finette,6.25,0.11574074074074074,0.5,0.25,0.05357142857142857,0.75,0.013888888888888888,1.0416666666666667
#damis,0.11574074074074074,3.0625,0.009259259259259259,0.11574074074074074,0.000992063492063492,0.6805555555555556,0.05787037037037037,0.3402777777777778
#eraste,0.5,0.009259259259259259,1.0,0.05555555555555555,0.10714285714285714,0.16666666666666666,0.25,0.08333333333333333
#sophie,0.25,0.11574074074074074,0.05555555555555555,6.25,0.1488095238095238,0.75,0.013888888888888888,1.0416666666666667
#belise,0.05357142857142857,0.000992063492063492,0.10714285714285714,0.1488095238095238,5.0625,1.4464285714285714,0.0744047619047619,0.7232142857142857
#l-olive,0.75,0.6805555555555556,0.16666666666666666,0.75,1.4464285714285714,12.25,0.375,0.125
#lisimon,0.013888888888888888,0.05787037037037037,0.25,0.013888888888888888,0.0744047619047619,0.375,10.5625,3.5208333333333335
#damis #sophie,1.0416666666666667,0.3402777777777778,0.08333333333333333,1.0416666666666667,0.7232142857142857,0.125,3.5208333333333335,14.0625
Successions,#finette,#damis,#eraste,#sophie,#belise,#l-olive,#lisimon,#damis #sophie
#finette,0.0,0.6530612244897959,0.08163265306122448,0.04081632653061224,0.22448979591836735,0.0,0.0,0.0
#damis,0.375,0.0,0.36363636363636365,0.1590909090909091,0.022727272727272728,0.0,0.07954545454545454,0.0
#eraste,0.022556390977443608,0.2631578947368421,0.03759398496240601,0.18045112781954886,0.20300751879699247,0.015037593984962405,0.2781954887218045,0.0
#sophie,0.046511627906976744,0.27906976744186046,0.6046511627906976,0.0,0.06976744186046512,0.0,0.0,0.0
#belise,0.26666666666666666,0.022222222222222223,0.6222222222222222,0.044444444444444446,0.022222222222222223,0.0,0.0,0.022222222222222223
#l-olive,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#lisimon,0.0,0.15555555555555556,0.8222222222222222,0.0,0.022222222222222223,0.0,0.0,0.0
#damis #sophie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
