VALEUR,#elise,#lucie,#don-pedre,#octave,#theodore,#don-philippe,#don-fernand,#don-sanche,#don-lope,#cynthie
Fréquences (scènes),0.3076923076923077,0.2692307692307692,0.5,0.15384615384615385,0.3076923076923077,0.2692307692307692,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.07692307692307693
Fréquences(répliques),0.14959785522788205,0.051474530831099194,0.2005361930294906,0.029490616621983913,0.09490616621983915,0.1061662198391421,0.04986595174262735,0.15656836461126006,0.15871313672922252,0.002680965147453083
Confrontation,0.1125,0.09375,0.1625,0.0375,0.1125,0.11875,0.0875,0.075,0.16875,0.03125
Déviations,#elise,#lucie,#don-pedre,#octave,#theodore,#don-philippe,#don-fernand,#don-sanche,#don-lope,#cynthie
#elise,12.46153846153846,3.7609890109890114,0.0,0.04326923076923079,0.8677884615384617,0.010989010989010974,0.04326923076923079,1.8461538461538463,0.025641025641025605,0.6153846153846154
#lucie,3.760989010989009,13.884615384615383,1.7857142857142858,0.0054945054945055175,2.153846153846154,0.4152276295133438,0.0054945054945055175,1.6153846153846154,1.5402930402930401,0.5384615384615385
#don-pedre,0.0,1.7857142857142858,6.5,0.5,0.0,0.07142857142857142,0.0,1.3333333333333333,2.6666666666666665,0.0
#octave,0.04326923076923079,0.005494505494505487,0.5,18.615384615384613,1.2307692307692308,0.005494505494505487,0.6153846153846154,0.9230769230769231,1.8461538461538463,0.3076923076923077
#theodore,0.8677884615384617,2.1538461538461537,0.0,1.2307692307692308,12.46153846153846,0.3324175824175825,0.04326923076923079,0.012820512820512803,0.46314102564102544,3.115384615384615
#don-philippe,0.010989010989011035,0.4152276295133438,0.07142857142857142,0.0054945054945055175,0.3324175824175821,13.884615384615383,3.4340659340659325,0.23443223443223446,0.9688644688644688,0.5384615384615385
#don-fernand,0.04326923076923079,0.005494505494505487,0.0,0.6153846153846154,0.04326923076923079,3.4340659340659343,18.615384615384613,1.2564102564102562,2.5128205128205123,0.3076923076923077
#don-sanche,1.8461538461538463,1.6153846153846154,1.3333333333333333,0.9230769230769231,0.012820512820512803,0.23443223443223446,1.2564102564102562,15.384615384615381,1.797008547008547,0.6282051282051281
#don-lope,0.025641025641025605,1.5402930402930401,2.6666666666666665,1.8461538461538463,0.46314102564102544,0.9688644688644688,2.5128205128205123,1.797008547008547,7.538461538461539,0.006410256410256401
#cynthie,0.6153846153846154,0.5384615384615384,0.0,0.3076923076923077,3.115384615384615,0.5384615384615384,0.3076923076923077,0.6282051282051281,0.006410256410256401,22.153846153846157
Successions,#elise,#lucie,#don-pedre,#octave,#theodore,#don-philippe,#don-fernand,#don-sanche,#don-lope,#cynthie
#elise,0.0,0.17857142857142858,0.4642857142857143,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.2857142857142857,0.0
#lucie,0.4117647058823529,0.0,0.47058823529411764,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
#don-pedre,0.2222222222222222,0.2222222222222222,0.018518518518518517,0.2037037037037037,0.18518518518518517,0.07407407407407407,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0
#octave,0.0,0.0,0.9230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#theodore,0.03333333333333333,0.0,0.43333333333333335,0.0,0.0,0.1,0.0,0.03333333333333333,0.3,0.1
#don-philippe,0.07407407407407407,0.0,0.18518518518518517,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.0
#don-fernand,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.3,0.3,0.0
#don-sanche,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.07692307692307693,0.07692307692307693,0.0,0.6923076923076923,0.0
#don-lope,0.12962962962962962,0.0,0.018518518518518517,0.0,0.09259259259259259,0.16666666666666666,0.05555555555555555,0.5370370370370371,0.0,0.0
#cynthie,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
