VALEUR,#le-roi,#acaste,#mirame,#adraste,#azamor,#alcine,#almire,#arimant,#le-grand-prevot,#l-ambassadeur,#soldat
Fréquences (scènes),0.4,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.4,0.16666666666666666,0.43333333333333335,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.1444043321299639,0.04744713769984528,0.35224342444559054,0.0036101083032490976,0.2001031459515214,0.012893243940175348,0.09076843733883445,0.11758638473439917,0.0015471892728210418,0.02372356884992264,0.005673027333677153
Confrontation,0.16,0.09333333333333334,0.23333333333333334,0.02666666666666667,0.15333333333333332,0.07333333333333333,0.14666666666666667,0.04666666666666667,0.03333333333333333,0.013333333333333334,0.02
Déviations,#le-roi,#acaste,#mirame,#adraste,#azamor,#alcine,#almire,#arimant,#le-grand-prevot,#l-ambassadeur,#soldat
#le-roi,10.799999999999995,0.1999999999999999,0.5,1.7999999999999998,1.0083333333333326,0.0,3.3923076923076922,1.2000000000000002,0.8000000000000002,0.8999999999999999,0.8999999999999999
#acaste,0.1999999999999999,16.133333333333336,0.3333333333333332,0.4083333333333334,0.012500000000000022,1.3333333333333333,3.466666666666667,0.049999999999999975,0.4083333333333334,0.26666666666666666,0.26666666666666666
#mirame,0.5,0.3333333333333332,3.3333333333333344,0.0833333333333333,2.0,0.5333333333333331,1.282051282051281,0.5,0.3333333333333334,0.6666666666666666,0.1666666666666667
#adraste,1.7999999999999998,0.4083333333333334,0.0833333333333333,26.133333333333336,0.8000000000000002,0.3333333333333333,0.8666666666666667,0.20000000000000004,0.13333333333333333,0.06666666666666667,0.06666666666666667
#azamor,1.0083333333333326,0.012500000000000022,2.0,0.8000000000000002,10.799999999999995,2.0,0.9307692307692309,1.2000000000000002,0.8000000000000002,0.8999999999999999,0.8999999999999999
#alcine,0.0,1.3333333333333333,0.5333333333333331,0.3333333333333333,2.0,20.83333333333334,0.32051282051282026,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666
#almire,3.3923076923076922,3.466666666666667,1.2820512820512826,0.8666666666666667,0.9307692307692309,0.32051282051282065,9.633333333333331,0.37692307692307686,0.020512820512820502,0.43333333333333335,0.43333333333333335
#arimant,1.2000000000000002,0.049999999999999975,0.5,0.20000000000000004,1.2000000000000002,0.5,0.37692307692307686,24.3,3.2000000000000006,0.10000000000000002,0.10000000000000002
#le-grand-prevot,0.8000000000000002,0.4083333333333334,0.3333333333333334,0.13333333333333333,0.8000000000000002,0.3333333333333333,0.020512820512820502,3.2000000000000006,26.133333333333336,0.06666666666666667,0.06666666666666667
#l-ambassadeur,0.8999999999999999,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.8999999999999999,0.16666666666666666,0.43333333333333335,0.10000000000000002,0.06666666666666667,28.03333333333333,0.03333333333333333
#soldat,0.8999999999999999,0.26666666666666666,0.1666666666666667,0.06666666666666667,0.8999999999999999,0.16666666666666666,0.43333333333333335,0.10000000000000002,0.06666666666666667,0.03333333333333333,28.03333333333333
Successions,#le-roi,#acaste,#mirame,#adraste,#azamor,#alcine,#almire,#arimant,#le-grand-prevot,#l-ambassadeur,#soldat
#le-roi,0.013157894736842105,0.14473684210526316,0.5263157894736842,0.039473684210526314,0.18421052631578946,0.039473684210526314,0.013157894736842105,0.0,0.0,0.02631578947368421,0.013157894736842105
#acaste,0.36666666666666664,0.0,0.3,0.0,0.3,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
#mirame,0.21081081081081082,0.04864864864864865,0.010810810810810811,0.0,0.0918918918918919,0.016216216216216217,0.31891891891891894,0.2972972972972973,0.0,0.0,0.005405405405405406
#adraste,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azamor,0.234375,0.125,0.28125,0.0,0.0,0.078125,0.1875,0.015625,0.0,0.046875,0.03125
#alcine,0.3333333333333333,0.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
#almire,0.025974025974025976,0.0,0.7402597402597403,0.0,0.16883116883116883,0.012987012987012988,0.0,0.05194805194805195,0.0,0.0,0.0
#arimant,0.0,0.016129032258064516,0.8709677419354839,0.0,0.0,0.0,0.06451612903225806,0.0,0.04838709677419355,0.0,0.0
#le-grand-prevot,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#l-ambassadeur,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
#soldat,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
