VALEUR,#louisette,#jean,#moliere,#madeleine,#le-bailli,#le-paysan,#mathurin,#françoise,#le-comte
Fréquences (scènes),0.7272727272727273,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182
Fréquences(répliques),0.16,0.094,0.368,0.07,0.106,0.016,0.034,0.02,0.132
Confrontation,0.16666666666666666,0.15833333333333333,0.175,0.15,0.075,0.008333333333333333,0.1,0.1,0.06666666666666667
Déviations,#louisette,#jean,#moliere,#madeleine,#le-bailli,#le-paysan,#mathurin,#françoise,#le-comte
#louisette,0.818181818181818,0.5113636363636365,0.0016233766233766204,0.409090909090909,0.640151515151515,0.7272727272727273,0.2045454545454545,0.2045454545454545,0.14204545454545456
#jean,0.5113636363636361,3.2727272727272734,0.21038961038961046,2.6181818181818177,0.09696969696969691,0.4545454545454546,1.3090909090909089,1.3090909090909089,0.009090909090909073
#moliere,0.0016233766233766204,0.21038961038961046,1.4545454545454553,0.8311688311688312,0.004329004329004343,0.6363636363636364,0.4155844155844156,0.4155844155844156,0.4155844155844156
#madeleine,0.409090909090909,2.6181818181818177,0.8311688311688312,4.454545454545454,0.007575757575757562,0.36363636363636365,2.227272727272727,2.227272727272727,0.10227272727272725
#le-bailli,0.640151515151515,0.09696969696969691,0.004329004329004321,0.007575757575757562,5.8181818181818175,1.9393939393939397,0.3787878787878789,0.3787878787878789,0.3787878787878789
#le-paysan,0.7272727272727273,0.45454545454545453,0.6363636363636364,0.36363636363636365,1.9393939393939397,9.09090909090909,0.18181818181818182,0.18181818181818182,0.18181818181818182
#mathurin,0.2045454545454545,1.3090909090909089,0.4155844155844156,2.227272727272727,0.3787878787878789,0.18181818181818182,7.363636363636362,7.363636363636362,1.1136363636363635
#mathurin,0.2045454545454545,1.3090909090909089,0.4155844155844156,2.227272727272727,0.3787878787878789,0.18181818181818182,7.363636363636362,7.363636363636362,1.1136363636363635
#le-comte,0.14204545454545456,0.009090909090909097,0.4155844155844156,0.10227272727272725,0.3787878787878789,0.18181818181818182,1.1136363636363635,1.1136363636363635,7.363636363636362
Successions,#louisette,#jean,#moliere,#madeleine,#le-bailli,#le-paysan,#mathurin,#françoise,#le-comte
#louisette,0.0,0.6785714285714286,0.17857142857142858,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142
#jean,0.7272727272727273,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456
#moliere,0.1836734693877551,0.0,0.0,0.22448979591836735,0.22448979591836735,0.02040816326530612,0.061224489795918366,0.02040816326530612,0.2653061224489796
#madeleine,0.06666666666666667,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
#le-bailli,0.0,0.0,0.6,0.05,0.05,0.2,0.0,0.0,0.1
#le-paysan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#mathurin,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091
#françoise,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
#le-comte,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.047619047619047616,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
