VALEUR,#alcidon,#philiste,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#polymas,#doraste,#lycas,#listor
Fréquences (scènes),0.3170731707317073,0.4146341463414634,0.1951219512195122,0.21951219512195122,0.21951219512195122,0.07317073170731707,0.2682926829268293,0.36585365853658536,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025
Fréquences(répliques),0.18235584031542632,0.24593395761458847,0.09955643173977329,0.0941350418925579,0.08871365204534254,0.02168555938886151,0.10645638245441104,0.1448989650073928,0.0034499753573188764,0.002957121734844751,0.009364218827008379,0.0004928536224741252
Confrontation,0.1118421052631579,0.19078947368421054,0.07894736842105263,0.1118421052631579,0.10526315789473684,0.019736842105263157,0.13157894736842105,0.15789473684210525,0.03289473684210526,0.03289473684210526,0.006578947368421052,0.019736842105263157
Déviations,#alcidon,#philiste,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#polymas,#doraste,#lycas,#listor
#alcidon,19.121951219512198,0.35856969429422775,0.0846622889305816,2.8536585365853657,0.2553679382947675,0.9512195121951219,0.6346580249019277,0.32532833020637913,0.6341463414634146,0.6341463414634146,0.3170731707317073,0.3170731707317073
#philiste,0.3585696942942282,14.048780487804878,0.5229555236728839,0.01928901641957593,0.14347202295552375,0.04782400765184122,0.4540237380983432,0.2391200382592062,0.03515064562410327,0.03515064562410327,0.8263988522238161,0.8263988522238161
#la-nourrice,0.0846622889305816,0.5229555236728837,26.5609756097561,1.7560975609756098,1.7560975609756098,0.5853658536585366,0.3395232815964522,0.29349593495934956,0.9527439024390244,0.9527439024390244,0.1951219512195122,0.1951219512195122
#chrysante,2.8536585365853657,0.019289016419575995,1.7560975609756098,24.975609756097562,8.197831978319783,2.732610659439928,0.0711998029071201,0.026016260162601595,0.43902439024390244,0.43902439024390244,0.21951219512195122,0.21951219512195122
#doris,0.2553679382947675,0.14347202295552358,1.7560975609756098,8.197831978319783,24.975609756097562,0.6585365853658536,0.0711998029071201,0.026016260162601595,0.43902439024390244,0.43902439024390244,0.21951219512195122,0.21951219512195122
#geron,0.9512195121951219,0.04782400765184122,0.5853658536585367,2.732610659439927,0.6585365853658537,35.21951219512195,0.804878048780488,1.0975609756097562,0.14634146341463417,0.14634146341463417,0.07317073170731708,0.07317073170731708
#clarice,0.6346580249019274,0.45402373809834384,0.3395232815964522,0.07119980290711996,0.07119980290711996,0.8048780487804877,21.951219512195124,0.23651145602365112,0.5365853658536586,0.5365853658536586,0.2682926829268293,0.2682926829268293
#celidan,0.32532833020637913,0.23912003825920586,0.29349593495934956,0.026016260162601595,0.026016260162601595,1.097560975609756,0.23651145602365112,16.48780487804878,0.7317073170731707,0.7317073170731707,0.36585365853658536,0.36585365853658536
#polymas,0.6341463414634146,0.03515064562410332,0.9527439024390244,0.43902439024390244,0.43902439024390244,0.14634146341463414,0.5365853658536586,0.7317073170731707,37.09756097560975,37.09756097560975,0.04878048780487805,18.548780487804876
#polymas,0.6341463414634146,0.03515064562410332,0.9527439024390244,0.43902439024390244,0.43902439024390244,0.14634146341463414,0.5365853658536586,0.7317073170731707,37.09756097560975,37.09756097560975,0.04878048780487805,18.548780487804876
#lycas,0.3170731707317073,0.8263988522238167,0.1951219512195122,0.21951219512195122,0.21951219512195122,0.07317073170731707,0.2682926829268293,0.36585365853658536,0.04878048780487805,0.04878048780487805,39.02439024390243,0.024390243902439025
#listor,0.3170731707317073,0.8263988522238167,0.1951219512195122,0.21951219512195122,0.21951219512195122,0.07317073170731707,0.2682926829268293,0.36585365853658536,18.548780487804876,18.548780487804876,0.024390243902439025,39.02439024390243
Successions,#alcidon,#philiste,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#polymas,#doraste,#lycas,#listor
#alcidon,0.01098901098901099,0.24175824175824176,0.27472527472527475,0.0,0.14285714285714285,0.0,0.02197802197802198,0.3076923076923077,0.0,0.0,0.0,0.0
#philiste,0.2127659574468085,0.010638297872340425,0.0851063829787234,0.18085106382978725,0.02127659574468085,0.02127659574468085,0.30851063829787234,0.0851063829787234,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.010638297872340425
#la-nourrice,0.3424657534246575,0.1232876712328767,0.0,0.0,0.0,0.0,0.1232876712328767,0.3561643835616438,0.0410958904109589,0.0136986301369863,0.0,0.0
#chrysante,0.05084745762711865,0.3050847457627119,0.01694915254237288,0.03389830508474576,0.3220338983050847,0.15254237288135594,0.03389830508474576,0.0847457627118644,0.0,0.0,0.0,0.0
#doris,0.3333333333333333,0.05128205128205128,0.0,0.5128205128205128,0.02564102564102564,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#geron,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clarice,0.02040816326530612,0.5714285714285714,0.20408163265306123,0.08163265306122448,0.02040816326530612,0.0,0.02040816326530612,0.08163265306122448,0.0,0.0,0.0,0.0
#celidan,0.37662337662337664,0.07792207792207792,0.3246753246753247,0.06493506493506493,0.03896103896103896,0.0,0.07792207792207792,0.03896103896103896,0.0,0.0,0.0,0.0
#polymas,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
#doraste,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#listor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
