VALEUR,#saint-amant,#faret,#godeau,#colletet,#serisay,#porcheres,#colomby,#chapelain,#boisrobert,#silhon,#mademoiselle-de-gournai,#monsieur-le-chancellier,#desmarets,#gombaud,#la-troupe,#l-estoile,#gomberville,#baudoin,#habert
Fréquences (scènes),0.2,0.2,0.4,0.3,0.6,0.2,0.1,0.5,0.4,0.3,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.04020979020979021,0.05944055944055944,0.1346153846153846,0.10139860139860139,0.16783216783216784,0.038461538461538464,0.019230769230769232,0.1346153846153846,0.04020979020979021,0.050699300699300696,0.045454545454545456,0.026223776223776224,0.043706293706293704,0.024475524475524476,0.026223776223776224,0.017482517482517484,0.013986013986013986,0.005244755244755245,0.01048951048951049
Confrontation,0.020689655172413793,0.020689655172413793,0.07586206896551724,0.05517241379310345,0.1103448275862069,0.02413793103448276,0.0034482758620689655,0.09310344827586207,0.08620689655172414,0.06551724137931035,0.010344827586206896,0.08275862068965517,0.06551724137931035,0.06206896551724138,0.04482758620689655,0.04482758620689655,0.04482758620689655,0.04482758620689655,0.04482758620689655
Déviations,#saint-amant,#faret,#godeau,#colletet,#serisay,#porcheres,#colomby,#chapelain,#boisrobert,#silhon,#mademoiselle-de-gournai,#monsieur-le-chancellier,#desmarets,#gombaud,#la-troupe,#l-estoile,#gomberville,#baudoin,#habert
#saint-amant,6.400000000000001,6.400000000000001,0.8000000000000002,0.6,0.03333333333333332,0.4000000000000001,0.20000000000000004,0.0,0.8000000000000002,0.6,0.20000000000000004,0.2666666666666667,0.4000000000000001,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#saint-amant,6.400000000000001,6.400000000000001,0.8000000000000002,0.6,0.03333333333333332,0.4000000000000001,0.20000000000000004,0.0,0.8000000000000002,0.6,0.20000000000000004,0.2666666666666667,0.4000000000000001,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#godeau,0.8000000000000002,0.8000000000000002,3.5999999999999996,2.7,0.15000000000000005,0.049999999999999975,0.4000000000000001,0.0,0.09999999999999995,0.03333333333333332,0.4000000000000001,0.5333333333333334,1.7999999999999998,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#colletet,0.6000000000000001,0.6000000000000001,2.699999999999999,4.9,0.022222222222222265,0.6000000000000001,0.30000000000000004,0.16666666666666666,0.03333333333333339,0.011111111111111132,0.30000000000000004,0.011111111111111132,0.2666666666666665,0.2666666666666665,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329
#serisay,0.03333333333333339,0.03333333333333339,0.1499999999999998,0.022222222222222265,1.6000000000000005,0.03333333333333339,0.6000000000000001,0.3333333333333333,1.066666666666666,0.8000000000000003,0.2666666666666665,0.8000000000000003,0.533333333333333,0.533333333333333,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#porcheres,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.6,0.03333333333333332,6.400000000000001,3.2000000000000006,0.0,0.049999999999999975,0.6,0.20000000000000004,0.2666666666666667,0.8999999999999999,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#colomby,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.3,0.6,3.2000000000000006,8.1,0.5,0.4000000000000001,0.3,0.10000000000000002,0.3,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#chapelain,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,2.5,0.5,0.16666666666666666,0.5,1.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5
#boisrobert,0.8000000000000002,0.8000000000000002,0.09999999999999995,0.03333333333333332,1.0666666666666669,0.049999999999999975,0.4000000000000001,0.5,3.5999999999999996,2.7,0.8999999999999999,0.5333333333333334,1.7999999999999998,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#silhon,0.6000000000000001,0.6000000000000001,0.03333333333333339,0.011111111111111132,0.8000000000000003,0.6000000000000001,0.30000000000000004,0.16666666666666666,2.699999999999999,4.9,1.6333333333333329,0.011111111111111132,0.2666666666666665,0.2666666666666665,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329
#mademoiselle-de-gournai,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.3,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,8.1,0.3,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#monsieur-le-chancellier,0.2666666666666665,0.2666666666666665,0.533333333333333,0.011111111111111132,0.8000000000000003,0.2666666666666665,0.30000000000000004,1.5,0.533333333333333,0.011111111111111132,0.30000000000000004,4.9,3.2666666666666657,3.2666666666666657,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329
#desmarets,0.4000000000000001,0.4000000000000001,1.7999999999999998,0.2666666666666667,0.5333333333333334,0.8999999999999999,0.20000000000000004,1.0,1.7999999999999998,0.2666666666666667,0.20000000000000004,3.266666666666666,6.400000000000001,0.8999999999999999,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#gombaud,0.8999999999999999,0.8999999999999999,0.049999999999999975,0.2666666666666667,0.5333333333333334,0.4000000000000001,0.20000000000000004,1.0,0.049999999999999975,0.2666666666666667,0.20000000000000004,3.266666666666666,0.8999999999999999,6.400000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#la-troupe,0.20000000000000004,0.20000000000000004,0.8999999999999999,1.633333333333333,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,0.10000000000000002,1.633333333333333,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,8.1
