VALEUR,#eglator,#phedime,#enarus,#aretaphile,#oxiane,#norate,#eurymene,#un-senateur
Fréquences (scènes),0.25806451612903225,0.06451612903225806,0.45161290322580644,0.6129032258064516,0.3225806451612903,0.3870967741935484,0.16129032258064516,0.03225806451612903
Fréquences(répliques),0.19724437998549674,0.05366207396664249,0.22987672226250908,0.27773749093546046,0.07179115300942712,0.14358230601885424,0.02030456852791878,0.005801305293691081
Confrontation,0.10526315789473684,0.02631578947368421,0.19298245614035087,0.24561403508771928,0.15789473684210525,0.16666666666666666,0.08771929824561403,0.017543859649122806
Déviations,#eglator,#phedime,#enarus,#aretaphile,#oxiane,#norate,#eurymene,#un-senateur
#eglator,17.06451612903226,4.266129032258065,0.041474654377880206,3.1071731748726656,2.5806451612903225,0.0030241935483870915,0.06532258064516128,2.1330645161290325
#phedime,4.266129032258065,27.12903225806452,0.010368663594470051,1.2258064516129032,0.6451612903225806,0.7741935483870968,0.3225806451612903,0.06451612903225806
#enarus,0.041474654377880206,0.010368663594470051,9.322580645161292,0.039291777831675895,0.5089861751152072,1.0800691244239629,0.24377880184331815,0.45161290322580644
#aretaphile,3.1071731748726656,1.2258064516129032,0.039291777831675895,4.645161290322582,2.444821731748727,0.01711941143180529,0.36977928692699485,0.6129032258064516
#oxiane,2.5806451612903225,0.6451612903225806,0.5089861751152072,2.444821731748727,14.225806451612906,0.1959677419354839,0.09290322580645166,0.3225806451612903
#norate,0.0030241935483870915,0.7741935483870968,1.0800691244239629,0.017119411431805374,0.1959677419354839,11.645161290322584,0.0021505376344085982,0.9704301075268817
#eurymene,0.06532258064516128,0.3225806451612903,0.24377880184331815,0.36977928692699485,0.09290322580645166,0.0021505376344085982,21.806451612903224,0.16129032258064516
#un-senateur,2.1330645161290325,0.06451612903225806,0.45161290322580644,0.6129032258064516,0.3225806451612903,0.9704301075268817,0.16129032258064516,29.03225806451613
Successions,#eglator,#phedime,#enarus,#aretaphile,#oxiane,#norate,#eurymene,#un-senateur
#eglator,0.04081632653061224,0.1836734693877551,0.4489795918367347,0.08163265306122448,0.0,0.20408163265306123,0.02040816326530612,0.02040816326530612
#phedime,0.7692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
#enarus,0.3108108108108108,0.05405405405405406,0.013513513513513514,0.36486486486486486,0.08108108108108109,0.14864864864864866,0.02702702702702703,0.0
#aretaphile,0.03529411764705882,0.0,0.3411764705882353,0.047058823529411764,0.3176470588235294,0.24705882352941178,0.011764705882352941,0.0
#oxiane,0.0,0.0,0.16216216216216217,0.7567567567567568,0.0,0.05405405405405406,0.02702702702702703,0.0
#norate,0.20454545454545456,0.0,0.22727272727272727,0.4318181818181818,0.06818181818181818,0.0,0.06818181818181818,0.0
#eurymene,0.125,0.0,0.25,0.375,0.125,0.0,0.0,0.125
#un-senateur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
