VALEUR,#epicarie,#patrice,#roguespine,#ribercour,#pancrace,#rodogine,#theocrite,#ergaste,#aristime,#anaxarite,#la-suivante
Fréquences (scènes),0.125,0.25,0.4375,0.4375,0.3125,0.125,0.3125,0.0625,0.125,0.125,0.0625
Fréquences(répliques),0.06293706293706294,0.040050858232676415,0.3420216147488875,0.28544183089637637,0.06484424666242848,0.036872218690400506,0.1354100445009536,0.019071837253655435,0.006357279084551812,0.004450095359186269,0.0025429116338207248
Confrontation,0.0851063829787234,0.11702127659574468,0.13829787234042554,0.1702127659574468,0.14893617021276595,0.02127659574468085,0.0425531914893617,0.010638297872340425,0.09574468085106383,0.09574468085106383,0.07446808510638298
Déviations,#epicarie,#patrice,#roguespine,#ribercour,#pancrace,#rodogine,#theocrite,#ergaste,#aristime,#anaxarite,#la-suivante
#epicarie,12.25,4.5,0.017857142857142856,0.017857142857142856,0.225,0.25,0.625,0.125,2.25,2.25,6.125
#patrice,4.5,9.0,0.32142857142857145,0.03571428571428571,0.05,0.5,1.25,0.25,4.5,4.5,2.25
#roguespine,0.017857142857142856,0.32142857142857145,5.0625,0.2869897959183674,0.30178571428571427,0.017857142857142856,2.1875,0.4375,0.017857142857142856,0.017857142857142856,0.7232142857142857
#ribercour,0.017857142857142856,0.03571428571428571,0.2869897959183674,5.0625,3.6160714285714284,0.875,0.6446428571428572,0.4375,0.017857142857142856,0.017857142857142856,0.7232142857142857
#pancrace,0.225,0.05,0.30178571428571427,3.6160714285714284,7.5625,0.625,0.2025,0.3125,0.225,0.225,1.5125
#rodogine,0.25,0.5,0.017857142857142856,0.875,0.625,12.25,0.225,0.125,0.25,0.25,0.125
#theocrite,0.625,1.25,2.1875,0.6446428571428572,0.2025,0.225,7.5625,1.5125,0.625,0.625,0.3125
#ergaste,0.125,0.25,0.4375,0.4375,0.3125,0.125,1.5125,14.0625,0.125,0.125,0.0625
#aristime,2.25,4.5,0.017857142857142856,0.017857142857142856,0.225,0.25,0.625,0.125,12.25,12.25,6.125
#aristime,2.25,4.5,0.017857142857142856,0.017857142857142856,0.225,0.25,0.625,0.125,12.25,12.25,6.125
#la-suivante,6.125,2.25,0.7232142857142857,0.7232142857142857,1.5125,0.125,0.3125,0.0625,6.125,6.125,14.0625
Successions,#epicarie,#patrice,#roguespine,#ribercour,#pancrace,#rodogine,#theocrite,#ergaste,#aristime,#anaxarite,#la-suivante
#epicarie,0.0,0.1875,0.1875,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0
#patrice,0.36363636363636365,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0
#roguespine,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.6976744186046512,0.046511627906976744,0.09302325581395349,0.0,0.0,0.0,0.0,0.046511627906976744
#ribercour,0.16666666666666666,0.09259259259259259,0.48148148148148145,0.037037037037037035,0.2037037037037037,0.0,0.018518518518518517,0.0,0.0,0.0,0.0
#pancrace,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rodogine,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#theocrite,0.0,0.0,0.0,0.0,0.05,0.2,0.1,0.65,0.0,0.0,0.0
#ergaste,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#aristime,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#anaxarite,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#la-suivante,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
