VALEUR,#clodesile,#arsamon,#theodat,#theudion,#leudere,#amalfrede,#ulcide,#euric,#amalasonte,#celinde
Fréquences (scènes),0.2708333333333333,0.10416666666666667,0.375,0.125,0.041666666666666664,0.4791666666666667,0.08333333333333333,0.0625,0.5416666666666666,0.1875
Fréquences(répliques),0.14397321428571427,0.022321428571428572,0.23158482142857142,0.027901785714285716,0.0027901785714285715,0.25558035714285715,0.015066964285714286,0.013950892857142858,0.2728794642857143,0.013950892857142858
Confrontation,0.1130952380952381,0.05357142857142857,0.16071428571428573,0.05357142857142857,0.017857142857142856,0.20238095238095238,0.041666666666666664,0.041666666666666664,0.23214285714285715,0.08333333333333333
Déviations,#clodesile,#arsamon,#theodat,#theudion,#leudere,#amalfrede,#ulcide,#euric,#amalasonte,#celinde
#clodesile,25.520833333333343,5.16955128205128,0.7211538461538461,1.625,0.5416666666666666,1.6739827201783726,1.0833333333333333,1.7355769230769231,0.1540927021696251,0.8477564102564102
#arsamon,5.169551282051283,38.520833333333336,0.675,0.625,0.20833333333333331,0.8132246376811595,0.41666666666666663,0.3125,1.0775641025641023,0.9375
#theodat,0.7211538461538461,0.675,18.75,0.027777777777777776,0.08333333333333333,0.04528985507246377,1.5,0.6805555555555556,0.7756410256410257,1.6712962962962963
#theudion,1.625,0.625,0.027777777777777776,36.75,0.25,1.2228260869565217,0.5,0.375,0.9423076923076923,0.013888888888888888
#leudere,0.5416666666666666,0.20833333333333334,0.08333333333333333,0.25,44.08333333333334,0.0018115942028985475,4.166666666666668,0.125,1.0833333333333333,0.375
#amalfrede,1.673982720178372,0.8132246376811595,0.04528985507246377,1.2228260869565217,0.0018115942028985573,13.020833333333332,2.264492753623189,0.1331521739130435,0.1707079152731324,0.022644927536231884
#ulcide,1.0833333333333333,0.4166666666666667,1.5,0.5,4.166666666666668,2.2644927536231876,40.33333333333333,0.25,0.6282051282051281,0.08333333333333333
#euric,1.7355769230769231,0.3125,0.6805555555555556,0.375,0.125,0.1331521739130435,0.25,42.1875,0.08653846153846154,0.5625
#amalasonte,0.1540927021696251,1.0775641025641027,0.7756410256410257,0.9423076923076923,1.0833333333333333,0.1707079152731328,0.6282051282051281,0.08653846153846154,10.083333333333337,0.25961538461538464
#celinde,0.8477564102564102,0.9375,1.6712962962962963,0.013888888888888888,0.375,0.022644927536231884,0.08333333333333333,0.5625,0.25961538461538464,31.6875
Successions,#clodesile,#arsamon,#theodat,#theudion,#leudere,#amalfrede,#ulcide,#euric,#amalasonte,#celinde
#clodesile,0.0,0.14285714285714285,0.125,0.0,0.0,0.35714285714285715,0.0,0.017857142857142856,0.30357142857142855,0.05357142857142857
#arsamon,0.5833333333333334,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
#theodat,0.08641975308641975,0.037037037037037035,0.0,0.12345679012345678,0.012345679012345678,0.3333333333333333,0.012345679012345678,0.024691358024691357,0.35802469135802467,0.012345679012345678
#theudion,0.043478260869565216,0.0,0.34782608695652173,0.0,0.0,0.13043478260869565,0.0,0.0,0.4782608695652174,0.0
#leudere,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#amalfrede,0.17796610169491525,0.00847457627118644,0.2457627118644068,0.01694915254237288,0.00847457627118644,0.01694915254237288,0.0847457627118644,0.0,0.423728813559322,0.01694915254237288
#ulcide,0.08333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
#euric,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0
#amalasonte,0.12096774193548387,0.0,0.23387096774193547,0.08064516129032258,0.0,0.3951612903225806,0.008064516129032258,0.016129032258064516,0.07258064516129033,0.07258064516129033
#celinde,0.1875,0.0,0.0625,0.0625,0.0,0.25,0.0,0.0,0.375,0.0625
