VALEUR,#leandre,#lucidor,#une-dame,#une-autre-dame,#le-portier,#la-comedienne,#le-galant,#l-epinai,#deux-filoux,#le-filou
Fréquences (scènes),0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2
Fréquences(répliques),0.029288702928870293,0.15481171548117154,0.07531380753138076,0.012552301255230125,0.20920502092050208,0.34309623430962344,0.09623430962343096,0.04602510460251046,0.0041841004184100415,0.029288702928870293
Confrontation,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.125,0.125,0.125
Déviations,#leandre,#lucidor,#une-dame,#une-autre-dame,#le-portier,#la-comedienne,#le-galant,#l-epinai,#deux-filoux,#le-filou
#leandre,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#leandre,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#une-dame,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#une-dame,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#le-portier,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,1.7999999999999998,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.8999999999999999
#la-comedienne,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#la-comedienne,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#la-comedienne,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#deux-filoux,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#deux-filoux,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
Successions,#leandre,#lucidor,#une-dame,#une-autre-dame,#le-portier,#la-comedienne,#le-galant,#l-epinai,#deux-filoux,#le-filou
#leandre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucidor,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-dame,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#une-autre-dame,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-portier,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.7
#la-comedienne,0.0,0.0,0.0,0.0,0.125,0.0,0.75,0.125,0.0,0.0
#le-galant,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.6153846153846154,0.0,0.0
#l-epinai,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0
#deux-filoux,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#deux-filoux,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
