VALEUR,#ulysse,#circe,#le-docteur,#philipin,#cephise,#dipus
Fréquences (scènes),1.0,0.25,0.125,0.125,0.125,0.125
Fréquences(répliques),0.45528455284552843,0.09146341463414634,0.13414634146341464,0.13211382113821138,0.09146341463414634,0.09552845528455285
Confrontation,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Déviations,#ulysse,#circe,#le-docteur,#philipin,#cephise,#dipus
#ulysse,0.0,0.0,0.0,0.0,0.0,0.0
#circe,0.0,4.5,0.25,0.25,0.25,0.25
#le-docteur,0.0,0.25,6.125,0.125,0.125,0.125
#philipin,0.0,0.25,0.125,6.125,0.125,0.125
#cephise,0.0,0.25,0.125,0.125,6.125,0.125
#dipus,0.0,0.25,0.125,0.125,0.125,6.125
Successions,#ulysse,#circe,#le-docteur,#philipin,#cephise,#dipus
#ulysse,0.014285714285714285,0.18571428571428572,0.18571428571428572,0.2571428571428571,0.18571428571428572,0.17142857142857143
#circe,1.0,0.0,0.0,0.0,0.0,0.0
#le-docteur,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0
#circe,1.0,0.0,0.0,0.0,0.0,0.0
#circe,1.0,0.0,0.0,0.0,0.0,0.0
#circe,1.0,0.0,0.0,0.0,0.0,0.0
