VALEUR,#antonine,#eudoxe,#tibere,#bessas,#l-esclave,#le-soldat,#belisaire,#justinien,#le-roi-des-bulgares,#un-bulgare
Fréquences (scènes),0.1875,0.34375,0.4375,0.15625,0.09375,0.125,0.46875,0.375,0.125,0.09375
Fréquences(répliques),0.14383561643835616,0.12808219178082192,0.14315068493150684,0.056164383561643834,0.01986301369863014,0.03904109589041096,0.2965753424657534,0.10753424657534247,0.05821917808219178,0.007534246575342466
Confrontation,0.09154929577464789,0.15492957746478872,0.21830985915492956,0.035211267605633804,0.02112676056338028,0.04225352112676056,0.176056338028169,0.1619718309859155,0.04225352112676056,0.056338028169014086
Déviations,#antonine,#eudoxe,#tibere,#bessas,#l-esclave,#le-soldat,#belisaire,#justinien,#le-roi-des-bulgares,#un-bulgare
#antonine,21.125,7.517045454545454,0.7202380952380952,0.9375,0.5625,0.75,0.23472222222222222,0.6944444444444444,0.75,0.5625
#eudoxe,7.517045454545454,13.78125,0.2930194805194805,1.71875,1.03125,0.10227272727272728,0.004734848484848485,1.0946969696969697,0.10227272727272728,0.000946969696969697
#tibere,0.7202380952380952,0.2930194805194805,10.125,0.6446428571428572,1.3125,0.32142857142857145,0.048214285714285716,2.6785714285714284,0.32142857142857145,2.169642857142857
#bessas,0.9375,1.71875,0.6446428571428572,22.78125,5.002083333333333,0.625,2.34375,0.008333333333333333,0.625,0.46875
#l-esclave,0.5625,1.03125,1.3125,5.002083333333333,26.28125,0.375,0.11736111111111111,1.125,0.375,0.28125
#le-soldat,0.75,0.10227272727272728,0.32142857142857145,0.625,0.375,24.5,0.008333333333333333,0.16666666666666666,0.5,0.375
#belisaire,0.23472222222222222,0.004734848484848485,0.048214285714285716,2.34375,0.11736111111111111,0.008333333333333333,9.03125,0.025,0.008333333333333333,0.11736111111111111
#justinien,0.6944444444444444,1.0946969696969697,2.6785714285714284,0.008333333333333333,1.125,0.16666666666666666,0.025,12.5,1.5,0.6805555555555556
#le-roi-des-bulgares,0.75,0.10227272727272728,0.32142857142857145,0.625,0.375,0.5,0.008333333333333333,1.5,24.5,1.0416666666666667
#un-bulgare,0.5625,0.000946969696969697,2.169642857142857,0.46875,0.28125,0.375,0.11736111111111111,0.6805555555555556,1.0416666666666667,26.28125
Successions,#antonine,#eudoxe,#tibere,#bessas,#l-esclave,#le-soldat,#belisaire,#justinien,#le-roi-des-bulgares,#un-bulgare
#antonine,0.0,0.5789473684210527,0.15789473684210525,0.0,0.0,0.0,0.21052631578947367,0.02631578947368421,0.02631578947368421,0.0
#eudoxe,0.41818181818181815,0.0,0.2,0.01818181818181818,0.0,0.0,0.2727272727272727,0.0,0.05454545454545454,0.03636363636363636
#tibere,0.16393442622950818,0.14754098360655737,0.0,0.01639344262295082,0.01639344262295082,0.0,0.2786885245901639,0.32786885245901637,0.03278688524590164,0.01639344262295082
#bessas,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.2,0.0,0.0
#l-esclave,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.75,0.08333333333333333,0.0,0.0
#belisaire,0.06896551724137931,0.20689655172413793,0.21839080459770116,0.0,0.011494252873563218,0.10344827586206896,0.011494252873563218,0.25287356321839083,0.12643678160919541,0.0
#justinien,0.0,0.043478260869565216,0.43478260869565216,0.021739130434782608,0.0,0.043478260869565216,0.45652173913043476,0.0,0.0,0.0
#le-roi-des-bulgares,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.05555555555555555,0.6666666666666666,0.0,0.0,0.1111111111111111
#un-bulgare,0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0
