VALEUR,#amenophis,#phanes,#jocabel,#iseride,#aaron,#osarphis,#tharbis,#ismene,#asaph
Fréquences (scènes),0.24242424242424243,0.21212121212121213,0.3333333333333333,0.06060606060606061,0.15151515151515152,0.6363636363636364,0.18181818181818182,0.030303030303030304,0.18181818181818182
Fréquences(répliques),0.10100376411543287,0.10978670012547051,0.1944792973651192,0.013174404015056462,0.07841907151819323,0.3205771643663739,0.13362609786700125,0.006900878293601004,0.04203262233375157
Confrontation,0.1125,0.1125,0.1625,0.0375,0.0875,0.3,0.1,0.0125,0.075
Déviations,#amenophis,#phanes,#jocabel,#iseride,#aaron,#osarphis,#tharbis,#ismene,#asaph
#amenophis,18.939393939393938,6.429112554112553,2.6666666666666665,0.48484848484848486,1.2121212121212122,1.8766233766233764,0.2045454545454545,0.24242424242424243,1.4545454545454546
#phanes,6.429112554112553,20.484848484848488,0.7619047619047616,0.4242424242424243,1.0606060606060606,1.3525046382189236,0.05844155844155843,0.21212121212121215,1.2727272727272727
#jocabel,2.666666666666667,0.761904761904762,14.66666666666667,2.666666666666666,3.2666666666666657,0.14285714285714285,2.0,0.33333333333333337,2.0
#iseride,0.48484848484848486,0.4242424242424243,2.6666666666666674,29.12121212121212,0.30303030303030304,0.05844155844155843,0.36363636363636365,0.06060606060606061,0.36363636363636365
#aaron,1.2121212121212122,1.0606060606060606,3.2666666666666675,0.30303030303030304,23.757575757575754,0.01038961038961037,0.9090909090909092,0.15151515151515152,0.9090909090909092
#osarphis,1.8766233766233764,1.3525046382189245,0.14285714285714285,0.05844155844155843,0.01038961038961042,4.363636363636364,0.008658008658008642,0.6363636363636364,1.2467532467532465
#tharbis,0.2045454545454545,0.05844155844155843,2.0,0.36363636363636365,0.9090909090909092,0.008658008658008642,22.090909090909093,3.681818181818181,1.0909090909090908
#ismene,0.24242424242424243,0.21212121212121215,0.3333333333333333,0.06060606060606061,0.15151515151515152,0.6363636363636364,3.681818181818181,31.03030303030303,0.18181818181818182
#asaph,1.4545454545454546,1.2727272727272727,2.0,0.36363636363636365,0.9090909090909092,1.2467532467532465,1.0909090909090908,0.18181818181818182,22.090909090909093
Successions,#amenophis,#phanes,#jocabel,#iseride,#aaron,#osarphis,#tharbis,#ismene,#asaph
#amenophis,0.0,0.52,0.04,0.0,0.0,0.32,0.12,0.0,0.0
#phanes,0.4782608695652174,0.08695652173913043,0.043478260869565216,0.0,0.0,0.2608695652173913,0.08695652173913043,0.0,0.043478260869565216
#jocabel,0.0,0.038461538461538464,0.0,0.038461538461538464,0.21153846153846154,0.7115384615384616,0.0,0.0,0.0
#iseride,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#aaron,0.0,0.0,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,0.0,0.0
#osarphis,0.1111111111111111,0.06172839506172839,0.43209876543209874,0.012345679012345678,0.07407407407407407,0.04938271604938271,0.16049382716049382,0.0,0.09876543209876543
#tharbis,0.2,0.05,0.0,0.0,0.0,0.6,0.0,0.1,0.05
#ismene,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#asaph,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0
