VALEUR,#guignol,#le-concierge,#maitre-furet,#le-concierge #maitre-furet,#le-proprietaire,#le-gendarme,#guignol #le-proprietaire,#le-commissaire
Fréquences (scènes),0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.16666666666666666,0.3333333333333333
Fréquences(répliques),0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Confrontation,0.25,0.075,0.075,0.075,0.175,0.175,0.075,0.1
Déviations,#guignol,#le-concierge,#maitre-furet,#le-concierge #maitre-furet,#le-proprietaire,#le-gendarme,#guignol #le-proprietaire,#le-commissaire
#guignol,0.16666666666666655,0.03333333333333337,0.03333333333333337,0.03333333333333337,0.1,0.1,0.03333333333333337,0.26666666666666655
#le-concierge,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.5,0.5,0.16666666666666666,0.3333333333333333
#le-concierge,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.5,0.5,0.16666666666666666,0.3333333333333333
#le-concierge,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.5,0.5,0.16666666666666666,0.3333333333333333
#le-proprietaire,0.1,0.5,0.5,0.5,1.5,0.16666666666666666,0.5,0.0
#le-gendarme,0.1,0.5,0.5,0.5,0.16666666666666666,1.5,0.5,1.0
#guignol #le-proprietaire,0.03333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,4.166666666666668,0.3333333333333333
#le-commissaire,0.2666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,2.6666666666666674
Successions,#guignol,#le-concierge,#maitre-furet,#le-concierge #maitre-furet,#le-proprietaire,#le-gendarme,#guignol #le-proprietaire,#le-commissaire
#guignol,0.04225352112676056,0.2112676056338028,0.08450704225352113,0.014084507042253521,0.3380281690140845,0.15492957746478872,0.0,0.15492957746478872
#le-concierge,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
#maitre-furet,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#le-concierge #maitre-furet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-proprietaire,0.5714285714285714,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.2653061224489796
#le-gendarme,0.21875,0.0,0.0,0.0,0.25,0.0,0.03125,0.5
#guignol #le-proprietaire,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-commissaire,0.2682926829268293,0.0,0.0,0.0,0.4146341463414634,0.2926829268292683,0.0,0.024390243902439025
