VALEUR,#philipin,#isabelle,#elise,#alonce,#philidie,#dom-lope,#l-hotesse,#federic,#dom-fernand
Fréquences (scènes),0.20588235294117646,0.5,0.058823529411764705,0.14705882352941177,0.5294117647058824,0.029411764705882353,0.38235294117647056,0.3235294117647059,0.38235294117647056
Fréquences(répliques),0.08241150442477876,0.23506637168141592,0.016039823008849558,0.07300884955752213,0.19303097345132744,0.011615044247787611,0.14657079646017698,0.09734513274336283,0.14491150442477876
Confrontation,0.11170212765957446,0.18085106382978725,0.026595744680851064,0.10106382978723404,0.18617021276595744,0.005319148936170213,0.13297872340425532,0.11170212765957446,0.14361702127659576
Déviations,#philipin,#isabelle,#elise,#alonce,#philidie,#dom-lope,#l-hotesse,#federic,#dom-fernand
#philipin,21.441176470588232,0.6428571428571429,6.126050420168068,15.315126050420167,0.023342670401493907,0.20588235294117646,0.17097608274078854,0.7062643239113827,0.17097608274078854
#isabelle,0.6428571428571429,8.5,1.0,0.9,0.1111111111111111,0.5,0.9615384615384616,2.227272727272727,0.9615384615384616
#elise,6.126050420168068,1.0,30.11764705882353,1.6941176470588233,1.0588235294117647,0.058823529411764705,0.7647058823529412,0.6470588235294118,0.7647058823529412
#alonce,15.31512605042017,0.9,1.6941176470588233,24.735294117647058,0.6915032679738563,0.14705882352941177,0.004072398190045261,0.2358288770053476,0.004072398190045261
#philidie,0.02334267040149398,0.1111111111111111,1.0588235294117647,0.6915032679738563,7.529411764705883,0.41830065359477125,0.11312217194570125,0.11645870469399898,0.0020110608345902626
#dom-lope,0.20588235294117646,0.5,0.058823529411764705,0.14705882352941177,0.41830065359477125,32.029411764705884,0.3823529411764706,0.3235294117647059,0.3823529411764706
#l-hotesse,0.17097608274078854,0.9615384615384616,0.7647058823529412,0.0040723981900452405,0.11312217194570146,0.3823529411764706,12.970588235294118,3.422665569724393,0.7812391228680823
#federic,0.7062643239113827,2.227272727272727,0.6470588235294118,0.2358288770053476,0.11645870469399876,0.3235294117647059,3.422665569724395,15.558823529411764,0.010078157136980596
#dom-fernand,0.17097608274078854,0.9615384615384616,0.7647058823529412,0.0040723981900452405,0.002011060834590232,0.3823529411764706,0.7812391228680823,0.010078157136980681,12.970588235294118
Successions,#philipin,#isabelle,#elise,#alonce,#philidie,#dom-lope,#l-hotesse,#federic,#dom-fernand
#philipin,0.0,0.4857142857142857,0.22857142857142856,0.17142857142857143,0.05714285714285714,0.0,0.0,0.02857142857142857,0.02857142857142857
#isabelle,0.12962962962962962,0.0,0.037037037037037035,0.12962962962962962,0.2222222222222222,0.0,0.1111111111111111,0.027777777777777776,0.3425925925925926
#elise,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#alonce,0.1935483870967742,0.41935483870967744,0.03225806451612903,0.0,0.22580645161290322,0.0,0.03225806451612903,0.0,0.0967741935483871
#philidie,0.0380952380952381,0.23809523809523808,0.0,0.06666666666666667,0.009523809523809525,0.0380952380952381,0.23809523809523808,0.18095238095238095,0.19047619047619047
#dom-lope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#l-hotesse,0.0,0.12359550561797752,0.0,0.02247191011235955,0.2808988764044944,0.011235955056179775,0.0,0.5056179775280899,0.056179775280898875
#federic,0.012345679012345678,0.037037037037037035,0.0,0.0,0.2345679012345679,0.0,0.5679012345679012,0.012345679012345678,0.13580246913580246
#dom-fernand,0.0,0.47435897435897434,0.0,0.01282051282051282,0.28205128205128205,0.0,0.0641025641025641,0.15384615384615385,0.01282051282051282
