VALEUR,#l-aurore,#choeur-des-sylvains,#vertumne,#le-choeur,#le-tibre,#nerine,#circe,#choeurs-des-peuples,#picus,#picus #circe #nerine,#saturne,#choeur-de-l-age-de-fer,#choeur-des-peuples,#canente,#circe #canente,#un-dieu-de-la-troupe,#un-ruisseau,#choeur,#le-tibre #circe,#choeur-des-ministres,#choeur-d-amours-et-de-graces,#choeur-des-graces,#circe #le-tibre #canente,#la-nuit,#circe #la-nuit,#l-amour,#les-furies,#picus #canente,#l-hymen,#le-tibre #picus,#le-tibre #picus #canente,#tous
Fréquences (scènes),0.04,0.04,0.04,0.28,0.2,0.16,0.8,0.04,0.28,0.04,0.04,0.0,0.0,0.4,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
Fréquences(répliques),0.022280471821756225,0.005242463958060288,0.020969855832241154,0.057667103538663174,0.09567496723460026,0.03145478374836173,0.3237221494102228,0.005242463958060288,0.1363040629095675,0.00655307994757536,0.019659239842726082,0.01310615989515072,0.005242463958060288,0.11795543905635648,0.005242463958060288,0.007863695937090432,0.010484927916120577,0.005242463958060288,0.009174311926605505,0.01310615989515072,0.005242463958060288,0.010484927916120577,0.00655307994757536,0.011795543905635648,0.009174311926605505,0.005242463958060288,0.011795543905635648,0.010484927916120577,0.007863695937090432,0.005242463958060288,0.002621231979030144,0.001310615989515072
Confrontation,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.11811023622047244,0.051181102362204724,0.01968503937007874,0.18110236220472442,0.01968503937007874,0.07086614173228346,0.01968503937007874,0.01968503937007874,0.0,0.0,0.11023622047244094,0.007874015748031496,0.007874015748031496,0.011811023622047244,0.011811023622047244,0.023622047244094488,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.011811023622047244,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.003937007874015748,0.04330708661417323,0.031496062992125984,0.031496062992125984,0.031496062992125984,0.031496062992125984
Déviations,#l-aurore,#choeur-des-sylvains,#vertumne,#le-choeur,#le-tibre,#nerine,#circe,#choeurs-des-peuples,#picus,#picus #circe #nerine,#saturne,#choeur-de-l-age-de-fer,#choeur-des-peuples,#canente,#circe #canente,#un-dieu-de-la-troupe,#un-ruisseau,#choeur,#le-tibre #circe,#choeur-des-ministres,#choeur-d-amours-et-de-graces,#choeur-des-graces,#circe #le-tibre #canente,#la-nuit,#circe #la-nuit,#l-amour,#les-furies,#picus #canente,#l-hymen,#le-tibre #picus,#le-tibre #picus #canente,#tous
#l-aurore,23.04,23.04,23.04,1.8514285714285712,3.2000000000000006,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#l-aurore,23.04,23.04,23.04,1.8514285714285712,3.2000000000000006,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#l-aurore,23.04,23.04,23.04,1.8514285714285712,3.2000000000000006,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#le-choeur,1.8514285714285712,1.8514285714285712,1.8514285714285712,12.959999999999992,0.11428571428571446,1.12,0.06428571428571457,1.8514285714285712,0.000816326530612228,1.8514285714285712,1.8514285714285712,0.0,0.0,0.014285714285714181,0.28,0.28,0.28,0.28,0.34571428571428564,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28,3.7028571428571424,1.8514285714285712,1.8514285714285712,1.8514285714285712,1.8514285714285712
#le-tibre,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.11428571428571435,16.0,0.049999999999999975,0.0,0.20000000000000004,1.4000000000000001,0.20000000000000004,0.20000000000000004,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#nerine,0.16,0.16,0.16,1.12,0.049999999999999975,17.639999999999997,0.1999999999999999,0.16,1.12,0.16,0.16,0.0,0.0,1.6000000000000003,0.16,0.16,0.16,0.16,0.32,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.32,0.16,0.16,0.16,0.16
