VALEUR,#zabas,#odenie,#timagene,#zenobie,#un-garde,#rutile,#martian,#dioree,#aurelian,#ilione
Fréquences (scènes),0.4074074074074074,0.7037037037037037,0.4074074074074074,0.5925925925925926,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.037037037037037035,0.3333333333333333,0.1111111111111111
Fréquences(répliques),0.14582062233068943,0.13849908480780965,0.07443563148261134,0.38682123245881633,0.004270896888346553,0.059182428309945086,0.010372178157413058,0.0006101281269066504,0.16046369737644905,0.019524100061012812
Confrontation,0.13551401869158877,0.21495327102803738,0.1542056074766355,0.1822429906542056,0.03271028037383177,0.08878504672897196,0.0514018691588785,0.004672897196261682,0.10747663551401869,0.028037383177570093
Déviations,#zabas,#odenie,#timagene,#zenobie,#un-garde,#rutile,#martian,#dioree,#aurelian,#ilione
#zabas,9.481481481481485,0.20485557327662599,1.4153657790021434,0.04124579124579119,0.04040404040404036,0.4865319865319864,0.04040404040404036,0.4074074074074074,0.12121212121212116,1.222222222222222
#odenie,0.20485557327662599,2.3703703703703707,0.008683324472798177,0.14083820662768037,0.3742690058479532,0.47173489278752445,0.005847953216374274,0.12475633528265107,0.0701754385964913,0.005847953216374274
#timagene,1.4153657790021434,0.008683324472798177,9.481481481481485,0.9446548821548825,1.222222222222222,0.020622895622895595,2.5858585858585865,0.4074074074074074,0.12121212121212116,1.222222222222222
#zenobie,0.04124579124579119,0.14083820662768037,0.9446548821548825,4.481481481481483,0.3402777777777777,0.014178240740740772,0.8402777777777779,0.5925925925925926,1.020833333333333,0.027777777777777804
#un-garde,0.04040404040404036,0.3742690058479532,1.222222222222222,0.3402777777777777,21.333333333333332,0.8888888888888888,0.3333333333333333,0.1111111111111111,1.0,0.3333333333333333
#rutile,0.4865319865319864,0.47173489278752445,0.020622895622895595,0.014178240740740772,0.8888888888888888,13.370370370370372,0.013888888888888902,0.2962962962962963,0.041666666666666706,0.013888888888888902
#martian,0.04040404040404036,0.005847953216374274,2.5858585858585865,0.8402777777777779,0.3333333333333333,0.013888888888888902,21.333333333333332,0.1111111111111111,0.0,0.3333333333333333
#dioree,0.4074074074074074,0.12475633528265107,0.4074074074074074,0.5925925925925926,0.1111111111111111,0.2962962962962963,0.1111111111111111,25.03703703703704,0.3333333333333333,0.1111111111111111
#aurelian,0.12121212121212116,0.0701754385964911,0.12121212121212116,1.020833333333333,1.0,0.041666666666666706,0.0,0.3333333333333333,12.0,0.0
#ilione,1.222222222222222,0.005847953216374274,1.222222222222222,0.027777777777777804,0.3333333333333333,0.013888888888888902,0.3333333333333333,0.1111111111111111,0.0,21.333333333333332
Successions,#zabas,#odenie,#timagene,#zenobie,#un-garde,#rutile,#martian,#dioree,#aurelian,#ilione
#zabas,0.0,0.375,0.19642857142857142,0.30357142857142855,0.0,0.03571428571428571,0.0,0.0,0.08928571428571429,0.0
#odenie,0.17582417582417584,0.0,0.0989010989010989,0.2087912087912088,0.0,0.07692307692307693,0.0,0.01098901098901099,0.4065934065934066,0.02197802197802198
#timagene,0.3783783783783784,0.13513513513513514,0.0,0.16216216216216217,0.0,0.08108108108108109,0.0,0.0,0.24324324324324326,0.0
#zenobie,0.1792452830188679,0.16037735849056603,0.0660377358490566,0.03773584905660377,0.009433962264150943,0.16981132075471697,0.0660377358490566,0.0,0.2830188679245283,0.02830188679245283
#un-garde,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
#rutile,0.045454545454545456,0.18181818181818182,0.06818181818181818,0.4772727272727273,0.0,0.0,0.022727272727272728,0.0,0.18181818181818182,0.022727272727272728
#martian,0.0,0.0,0.1,0.5,0.0,0.2,0.0,0.0,0.2,0.0
#dioree,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aurelian,0.05714285714285714,0.3619047619047619,0.05714285714285714,0.2857142857142857,0.01904761904761905,0.11428571428571428,0.01904761904761905,0.0,0.02857142857142857,0.05714285714285714
#ilione,0.0,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
