VALEUR,#venceslas,#alexandre,#ladislas,#le-prince,#le-roi,#le-duc,#octave,#theodore,#cassandre,#leonor
Fréquences (scènes),0.02857142857142857,0.14285714285714285,0.02857142857142857,0.5142857142857142,0.5142857142857142,0.37142857142857144,0.17142857142857143,0.37142857142857144,0.22857142857142856,0.11428571428571428
Fréquences(répliques),0.04039357845675816,0.06525116519937856,0.04971517348524081,0.2703262558259969,0.19368203003625065,0.11237700673226307,0.015018125323666495,0.10253754531330916,0.13878819264629724,0.011910926980838944
Confrontation,0.024390243902439025,0.06097560975609756,0.024390243902439025,0.2073170731707317,0.2073170731707317,0.13414634146341464,0.07926829268292683,0.12195121951219512,0.10365853658536585,0.036585365853658534
Déviations,#venceslas,#alexandre,#ladislas,#le-prince,#le-roi,#le-duc,#octave,#theodore,#cassandre,#leonor
#venceslas,33.02857142857143,5.142857142857144,33.02857142857143,0.4587301587301589,0.4587301587301589,0.37142857142857144,0.17142857142857143,0.37142857142857144,0.22857142857142856,0.11428571428571428
#alexandre,5.142857142857144,25.714285714285715,5.142857142857144,0.12698412698412687,0.12698412698412687,0.010989010989010978,0.8571428571428572,0.3956043956043957,0.017857142857142842,0.5714285714285714
#venceslas,33.02857142857143,5.142857142857144,33.02857142857143,0.4587301587301589,0.4587301587301589,0.37142857142857144,0.17142857142857143,0.37142857142857144,0.22857142857142856,0.11428571428571428
#le-prince,0.4587301587301589,0.12698412698412687,0.4587301587301589,8.25714285714286,0.32813051146384514,0.07032967032967037,1.1875661375661373,1.078876678876679,0.0031746031746031525,2.057142857142857
#le-roi,0.4587301587301589,0.12698412698412687,0.4587301587301589,0.32813051146384514,8.25714285714286,0.2583638583638583,0.0023809523809523885,2.031868131868132,0.0031746031746031525,0.5432539682539681
#le-duc,0.37142857142857144,0.010989010989011016,0.37142857142857144,0.0703296703296702,0.25836385836385867,13.828571428571424,0.6772893772893773,1.6569737954353345,0.0002747252747252728,1.4857142857142858
#octave,0.17142857142857143,0.8571428571428571,0.17142857142857143,1.1875661375661382,0.0023809523809523643,0.6772893772893773,24.028571428571432,0.02344322344322346,0.10059523809523811,0.14404761904761904
#theodore,0.37142857142857144,0.3956043956043955,0.37142857142857144,1.0788766788766786,2.0318681318681313,1.6569737954353345,0.02344322344322346,13.828571428571424,0.35604395604395594,4.254945054945054
#cassandre,0.22857142857142856,0.017857142857142842,0.22857142857142856,0.0031746031746031525,0.0031746031746031525,0.0002747252747252728,0.10059523809523811,0.35604395604395594,20.82857142857143,0.9142857142857143
#leonor,0.11428571428571428,0.5714285714285714,0.11428571428571428,2.057142857142857,0.5432539682539681,1.4857142857142858,0.14404761904761904,4.254945054945054,0.9142857142857143,27.457142857142856
Successions,#venceslas,#alexandre,#ladislas,#le-prince,#le-roi,#le-duc,#octave,#theodore,#cassandre,#leonor
#venceslas,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alexandre,0.043478260869565216,0.0,0.0,0.08695652173913043,0.17391304347826086,0.391304347826087,0.0,0.21739130434782608,0.08695652173913043,0.0
#ladislas,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
#le-prince,0.013333333333333334,0.0,0.0,0.0,0.48,0.16,0.06666666666666667,0.14666666666666667,0.13333333333333333,0.0
#le-roi,0.0,0.08,0.04,0.4533333333333333,0.05333333333333334,0.18666666666666668,0.04,0.013333333333333334,0.13333333333333333,0.0
#le-duc,0.0,0.22916666666666666,0.0,0.2708333333333333,0.2708333333333333,0.0,0.0,0.22916666666666666,0.0,0.0
#octave,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.3,0.0,0.0
#theodore,0.0,0.0851063829787234,0.0,0.2978723404255319,0.06382978723404255,0.2127659574468085,0.0425531914893617,0.0,0.2127659574468085,0.0851063829787234
#cassandre,0.0,0.03125,0.0,0.28125,0.21875,0.0625,0.0,0.40625,0.0,0.0
#leonor,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0
