VALEUR,#egeste,#ydasan,#ydace,#pretresse,#polycrate,#argide,#elpenor,#agathocle,#officier
Fréquences (scènes),0.2222222222222222,0.5,0.4444444444444444,0.5,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.2777777777777778,0.05555555555555555
Fréquences(répliques),0.094,0.184,0.151,0.166,0.046,0.157,0.042,0.159,0.001
Confrontation,0.10204081632653061,0.20408163265306123,0.16326530612244897,0.15306122448979592,0.05102040816326531,0.16326530612244897,0.04081632653061224,0.10204081632653061,0.02040816326530612
Déviations,#egeste,#ydasan,#ydace,#pretresse,#polycrate,#argide,#elpenor,#agathocle,#officier
#egeste,10.88888888888889,2.0,0.3402777777777777,0.5,0.6944444444444445,0.12698412698412698,0.6666666666666666,0.01111111111111112,0.2222222222222222
#ydasan,2.0,4.5,0.0,0.5,0.0,0.07142857142857142,1.5,0.1,0.5
#ydace,0.3402777777777777,0.0,5.555555555555556,1.0,0.8888888888888888,0.0039682539682539715,1.3333333333333333,0.02222222222222224,0.4444444444444444
#pretresse,0.5,0.5,1.0,4.5,1.0,1.7857142857142858,1.5,0.9,0.5
#polycrate,0.6944444444444445,0.0,0.8888888888888888,1.0,14.222222222222221,1.920634920634921,1.3333333333333337,0.5555555555555556,0.1111111111111111
#argide,0.12698412698412712,0.07142857142857142,0.00396825396825394,1.7857142857142858,1.9206349206349211,6.722222222222222,0.5952380952380955,0.0015873015873015758,0.9603174603174606
#elpenor,0.6666666666666666,1.5,1.3333333333333333,1.5,1.3333333333333337,0.5952380952380951,12.5,0.03333333333333332,0.16666666666666666
#agathocle,0.01111111111111112,0.1,0.02222222222222224,0.9,0.5555555555555556,0.0015873015873015888,0.03333333333333337,9.38888888888889,1.8777777777777775
#officier,0.2222222222222222,0.5,0.4444444444444444,0.5,0.1111111111111111,0.9603174603174605,0.16666666666666666,1.8777777777777775,16.055555555555557
Successions,#egeste,#ydasan,#ydace,#pretresse,#polycrate,#argide,#elpenor,#agathocle,#officier
#egeste,0.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#ydasan,0.3333333333333333,0.05555555555555555,0.19444444444444445,0.2777777777777778,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0
#ydace,0.0,0.2413793103448276,0.0,0.5517241379310345,0.0,0.13793103448275862,0.0,0.06896551724137931,0.0
#pretresse,0.03571428571428571,0.32142857142857145,0.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
#polycrate,0.0,0.21428571428571427,0.0,0.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.0
#argide,0.0,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.37037037037037035,0.037037037037037035,0.1111111111111111,0.2222222222222222,0.0
#elpenor,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0
#agathocle,0.0625,0.0625,0.125,0.0,0.0,0.375,0.25,0.0625,0.0625
#officier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
