VALEUR,#monsieur-de-mont-meny,#la-ville,#la-folie,#monsieur-poisson,#madame-dangeville,#monsieur-de-la-thorilliere,#mademoiselle-grandval,#monsieur-fierville,#monsieur-fleury,#le-petit-garçon,#la-petite-fille,#lucas,#lisette,#dorante,#monsieur-mondor,#madame-mondor,#lucile,#le-marquis,#l-elu,#doris,#menelas,#leda,#un-autre,#mademoiselle-dangeville
Fréquences (scènes),0.08,0.12,0.12,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.44,0.56,0.16,0.2,0.2,0.4,0.12,0.08,0.08,0.2,0.04,0.04,0.04
Fréquences(répliques),0.0,0.0,0.0,0.061371841155234655,0.0,0.0,0.0,0.0,0.0,0.02527075812274368,0.1263537906137184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552346570397112,0.33935018050541516,0.23826714801444043,0.06859205776173286,0.02527075812274368
Confrontation,0.03355704697986577,0.010067114093959731,0.03691275167785235,0.0436241610738255,0.030201342281879196,0.030201342281879196,0.030201342281879196,0.030201342281879196,0.030201342281879196,0.0436241610738255,0.0436241610738255,0.10738255033557047,0.12080536912751678,0.050335570469798654,0.06375838926174497,0.06375838926174497,0.10067114093959731,0.04697986577181208,0.03691275167785235,0.006711409395973154,0.010067114093959731,0.003355704697986577,0.013422818791946308,0.013422818791946308
Déviations,#monsieur-de-mont-meny,#la-ville,#la-folie,#monsieur-poisson,#madame-dangeville,#monsieur-de-la-thorilliere,#mademoiselle-grandval,#monsieur-fierville,#monsieur-fleury,#le-petit-garçon,#la-petite-fille,#lucas,#lisette,#dorante,#monsieur-mondor,#madame-mondor,#lucile,#le-marquis,#l-elu,#doris,#menelas,#leda,#un-autre,#mademoiselle-dangeville
#monsieur-de-mont-meny,21.16,2.4066666666666667,2.4066666666666667,4.409999999999999,10.58,10.58,10.58,10.58,10.58,4.409999999999999,4.409999999999999,0.88,1.12,0.32,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.24,0.16,0.16,0.4000000000000001,0.08,0.08,0.08
#la-ville,2.4066666666666667,19.360000000000003,7.471111111111113,0.24,0.12,0.12,0.12,0.12,0.12,0.24,0.24,1.32,1.6800000000000002,0.48,0.6000000000000001,0.6000000000000001,1.2000000000000002,0.36,0.24,0.24,0.6000000000000001,0.12,0.12,0.12
#la-folie,2.4066666666666667,7.471111111111113,19.360000000000003,2.4066666666666667,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333,2.4066666666666667,2.4066666666666667,1.32,1.6800000000000002,0.48,0.6000000000000001,0.6000000000000001,1.2000000000000002,0.36,0.24,0.24,0.6000000000000001,0.12,0.12,0.12
#monsieur-poisson,4.409999999999999,0.24,2.4066666666666667,21.16,10.58,10.58,10.58,10.58,10.58,21.16,21.16,0.88,1.12,0.32,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.24,0.16,0.16,0.4000000000000001,0.08,10.58,10.58
#madame-dangeville,10.58,0.12,6.453333333333333,10.58,23.04,23.04,23.04,23.04,23.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,0.04,0.04
#madame-dangeville,10.58,0.12,6.453333333333333,10.58,23.04,23.04,23.04,23.04,23.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,0.04,0.04
#madame-dangeville,10.58,0.12,6.453333333333333,10.58,23.04,23.04,23.04,23.04,23.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,0.04,0.04
