VALEUR,#dorante,#cliton,#clarice,#isabelle,#philiste,#alcippe,#geronte,#sabine,#lycas,#lucrece
Fréquences (scènes),0.6944444444444444,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.027777777777777776,0.1388888888888889
Fréquences(répliques),0.3739174732552216,0.14416709118695872,0.13550687722873153,0.033622007131940905,0.048395313295975545,0.07437595517065716,0.11105450840550178,0.04686704024452369,0.0005094243504839531,0.031584309730005096
Confrontation,0.24468085106382978,0.22340425531914893,0.12234042553191489,0.047872340425531915,0.03723404255319149,0.0797872340425532,0.06914893617021277,0.0851063829787234,0.005319148936170213,0.0851063829787234
Déviations,#dorante,#cliton,#clarice,#isabelle,#philiste,#alcippe,#geronte,#sabine,#lycas,#lucrece
#dorante,3.3611111111111116,2.1432323232323225,0.5444444444444445,0.2177777777777777,0.2177777777777777,0.1525396825396827,0.1525396825396827,0.1525396825396827,0.13444444444444448,0.06422222222222225
#cliton,2.143232323232324,5.444444444444442,0.7292929292929295,0.08080808080808072,0.8535353535353534,0.3816738816738816,0.3816738816738816,0.12193362193362196,0.611111111111111,0.001010101010101019
#clarice,0.5444444444444445,0.7292929292929295,18.77777777777778,7.51111111111111,1.1111111111111112,0.0015873015873015888,0.0015873015873015888,0.0015873015873015888,0.2777777777777778,4.908888888888889
#isabelle,0.2177777777777777,0.08080808080808087,7.51111111111111,28.444444444444443,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.3555555555555555
#philiste,0.2177777777777777,0.8535353535353536,1.1111111111111112,0.4444444444444444,28.444444444444443,6.34920634920635,0.06349206349206349,0.7777777777777778,0.1111111111111111,0.5555555555555556
#alcippe,0.15253968253968242,0.38167388167388205,0.0015873015873015758,0.7777777777777776,6.349206349206351,23.361111111111114,0.09580498866213154,0.09580498866213154,0.1944444444444444,0.0007936507936507879
#geronte,0.15253968253968242,0.38167388167388205,0.0015873015873015758,0.7777777777777776,0.06349206349206356,0.09580498866213154,23.361111111111114,0.09580498866213154,0.1944444444444444,0.0007936507936507879
#sabine,0.15253968253968242,0.12193362193362164,0.0015873015873015758,0.7777777777777776,0.7777777777777776,0.09580498866213154,0.09580498866213154,23.361111111111114,0.1944444444444444,4.2293650793650786
#lycas,0.13444444444444448,0.6111111111111112,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.19444444444444445,0.19444444444444445,34.02777777777778,0.1388888888888889
#lucrece,0.06422222222222225,0.001010101010101019,4.908888888888889,0.3555555555555555,0.5555555555555556,0.0007936507936507944,0.0007936507936507944,4.2293650793650786,0.1388888888888889,26.694444444444443
Successions,#dorante,#cliton,#clarice,#isabelle,#philiste,#alcippe,#geronte,#sabine,#lycas,#lucrece
#dorante,0.009523809523809525,0.3142857142857143,0.19523809523809524,0.0,0.023809523809523808,0.10952380952380952,0.20476190476190476,0.10476190476190476,0.004761904761904762,0.03333333333333333
#cliton,0.7272727272727273,0.0,0.03409090909090909,0.0,0.0,0.03409090909090909,0.03409090909090909,0.17045454545454544,0.0,0.0
#clarice,0.4077669902912621,0.009708737864077669,0.0,0.14563106796116504,0.0,0.23300970873786409,0.009708737864077669,0.019417475728155338,0.0,0.17475728155339806
#isabelle,0.0625,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philiste,0.24,0.04,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0
#alcippe,0.3968253968253968,0.031746031746031744,0.36507936507936506,0.0,0.1746031746031746,0.0,0.031746031746031744,0.0,0.0,0.0
#geronte,0.6779661016949152,0.05084745762711865,0.01694915254237288,0.0,0.15254237288135594,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288
#sabine,0.48,0.28,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.18
#lycas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucrece,0.17142857142857143,0.0,0.5142857142857142,0.02857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
