VALEUR,#le-genie,#la-folie,#le-bon-sens,#la-critique,#la-precieuse,#l-admirateur,#le-bourgeois,#tous,#le-critique,#le-petit-maitre,#l-homme-sense,#thalie,#nerine,#frontin,#leonore,#orphise,#damon,#geronte
Fréquences (scènes),0.32432432432432434,0.21621621621621623,0.24324324324324326,0.02702702702702703,0.05405405405405406,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.43243243243243246,0.08108108108108109,0.32432432432432434,0.24324324324324326,0.1891891891891892,0.1891891891891892
Fréquences(répliques),0.045571245186136075,0.05648267008985879,0.05006418485237484,0.006418485237483954,0.024390243902439025,0.012195121951219513,0.010269576379974325,0.0006418485237483953,0.021181001283697046,0.03337612323491656,0.021181001283697046,0.00834403080872914,0.13157894736842105,0.03273427471116817,0.21116816431322208,0.12708600770218229,0.11938382541720154,0.08793324775353016
Confrontation,0.12831858407079647,0.11946902654867257,0.12389380530973451,0.030973451327433628,0.048672566371681415,0.061946902654867256,0.030973451327433628,0.030973451327433628,0.01327433628318584,0.01327433628318584,0.01327433628318584,0.004424778761061947,0.08849557522123894,0.01327433628318584,0.09292035398230089,0.07079646017699115,0.061946902654867256,0.05309734513274336
Déviations,#le-genie,#la-folie,#le-bon-sens,#la-critique,#la-precieuse,#l-admirateur,#le-bourgeois,#tous,#le-critique,#le-petit-maitre,#l-homme-sense,#thalie,#nerine,#frontin,#leonore,#orphise,#damon,#geronte
#le-genie,16.891891891891895,11.261261261261259,12.668918918918916,1.4076576576576574,2.8153153153153148,4.222972972972974,1.4076576576576574,1.4076576576576574,1.4076576576576574,1.4076576576576574,1.4076576576576574,1.4076576576576574,5.1891891891891895,0.972972972972973,3.891891891891892,2.918918918918919,2.27027027027027,2.27027027027027
#la-folie,11.261261261261259,22.72972972972973,18.834834834834833,2.8412162162162162,5.6824324324324325,8.52364864864865,2.8412162162162162,2.8412162162162162,2.8412162162162162,2.8412162162162162,2.8412162162162162,0.21621621621621623,3.4594594594594597,0.6486486486486487,2.5945945945945947,1.945945945945946,1.5135135135135134,1.5135135135135134
#le-bon-sens,12.668918918918916,18.834834834834833,21.189189189189186,2.354354354354354,4.708708708708708,7.063063063063062,2.354354354354354,2.354354354354354,2.354354354354354,2.354354354354354,2.354354354354354,0.24324324324324326,3.891891891891892,0.7297297297297297,2.918918918918919,2.1891891891891895,1.7027027027027029,1.7027027027027029
#la-critique,1.4076576576576574,2.8412162162162162,2.354354354354354,35.02702702702703,16.554054054054053,10.414414414414413,35.02702702702703,35.02702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.43243243243243246,0.08108108108108109,0.32432432432432434,0.24324324324324326,0.18918918918918917,0.18918918918918917
#la-precieuse,2.8153153153153148,5.6824324324324325,4.708708708708708,16.554054054054053,33.108108108108105,20.828828828828826,16.554054054054053,16.554054054054053,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.8648648648648649,0.16216216216216217,0.6486486486486487,0.4864864864864865,0.37837837837837834,0.37837837837837834
#l-admirateur,4.222972972972974,8.52364864864865,7.063063063063062,10.414414414414413,20.828828828828826,31.24324324324324,10.414414414414413,10.414414414414413,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.08108108108108109,1.2972972972972974,0.24324324324324326,0.972972972972973,0.7297297297297297,0.5675675675675675,0.5675675675675675
