VALEUR,#roger,#bradamnte,#bradamante,#melisse,#le-druide,#floridan,#zerbin,#gabrine,#le-choeur,#brandimart
Fréquences (scènes),1.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.39800995024875624,0.0,0.03980099502487562,0.03980099502487562,0.11442786069651742,0.12935323383084577,0.07960199004975124,0.08955223880597014,0.06965174129353234,0.03980099502487562
Confrontation,0.19318181818181818,0.022727272727272728,0.10227272727272728,0.11363636363636363,0.1590909090909091,0.10227272727272728,0.03409090909090909,0.11363636363636363,0.07954545454545454,0.07954545454545454
Déviations,#roger,#bradamnte,#bradamante,#melisse,#le-druide,#floridan,#zerbin,#gabrine,#le-choeur,#brandimart
#roger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bradamnte,0.0,5.142857142857144,1.7857142857142858,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
#bradamante,0.0,1.7857142857142858,3.5714285714285716,0.023809523809523826,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.3214285714285715,1.7857142857142858,1.7857142857142858
#melisse,0.0,0.42857142857142855,0.023809523809523826,2.2857142857142865,0.04761904761904765,0.023809523809523826,0.42857142857142855,0.023809523809523826,0.7619047619047619,0.7619047619047619
#le-druide,0.0,0.5714285714285714,0.017857142857142842,0.04761904761904765,1.285714285714286,0.642857142857143,0.3214285714285715,0.642857142857143,0.3214285714285715,0.3214285714285715
#floridan,0.0,0.2857142857142857,0.3214285714285715,0.023809523809523826,0.642857142857143,3.5714285714285716,0.2857142857142857,0.3214285714285715,1.7857142857142858,1.7857142857142858
#zerbin,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.3214285714285715,0.2857142857142857,5.142857142857144,1.7857142857142858,0.14285714285714285,0.14285714285714285
#gabrine,0.0,0.2857142857142857,0.3214285714285715,0.023809523809523826,0.642857142857143,0.3214285714285715,1.7857142857142858,3.5714285714285716,1.7857142857142858,1.7857142857142858
#le-choeur,0.0,0.14285714285714285,1.7857142857142858,0.7619047619047619,0.3214285714285715,1.7857142857142858,0.14285714285714285,1.7857142857142858,5.142857142857144,5.142857142857144
#le-choeur,0.0,0.14285714285714285,1.7857142857142858,0.7619047619047619,0.3214285714285715,1.7857142857142858,0.14285714285714285,1.7857142857142858,5.142857142857144,5.142857142857144
Successions,#roger,#bradamnte,#bradamante,#melisse,#le-druide,#floridan,#zerbin,#gabrine,#le-choeur,#brandimart
#roger,0.06382978723404255,0.02127659574468085,0.23404255319148937,0.3191489361702128,0.06382978723404255,0.10638297872340426,0.10638297872340426,0.06382978723404255,0.02127659574468085,0.0
#bradamnte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bradamante,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
#melisse,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
#bradamnte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#floridan,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
#zerbin,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
#gabrine,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
#le-choeur,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
#brandimart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
