VALEUR,#trophime,#argante,#armide,#gerberne,#premier-larron,#second-larron,#dipne,#ambrokele,#gelase,#nearque,#antelme,#indulphe,#lugtace,#le-roi,#mogale
Fréquences (scènes),0.39285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.2857142857142857,0.25
Fréquences(répliques),0.08949933540097474,0.09703145768719539,0.047408063801506424,0.06468763845813026,0.017722640673460344,0.004430660168365086,0.179441736818786,0.048294195835179445,0.034116083296411165,0.08196721311475409,0.024368630926007974,0.07000443066016837,0.0358883473637572,0.1284891448825875,0.076650420912716
Confrontation,0.13068181818181818,0.06818181818181818,0.0625,0.0625,0.028409090909090908,0.028409090909090908,0.06818181818181818,0.045454545454545456,0.03977272727272727,0.0625,0.05113636363636364,0.08522727272727272,0.07386363636363637,0.09090909090909091,0.10227272727272728
Déviations,#trophime,#argante,#armide,#gerberne,#premier-larron,#second-larron,#dipne,#ambrokele,#gelase,#nearque,#antelme,#indulphe,#lugtace,#le-roi,#mogale
#trophime,10.321428571428573,3.753246753246754,1.2987012987012987,0.20779220779220778,0.9383116883116885,0.9383116883116885,4.321428571428571,1.5714285714285714,1.1785714285714286,0.5461038961038959,3.753246753246754,0.5461038961038959,0.11688311688311691,3.142857142857143,1.1136363636363635
#argante,3.753246753246754,20.571428571428577,3.5714285714285716,0.3214285714285715,5.142857142857144,5.142857142857144,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.11428571428571427,0.3214285714285715,1.1428571428571428,0.0
#armide,1.2987012987012987,3.5714285714285716,20.571428571428577,3.5714285714285716,5.142857142857144,5.142857142857144,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.11428571428571427,0.3214285714285715,0.7142857142857143,0.5714285714285714,1.1428571428571428,1.0
#gerberne,0.20779220779220778,0.3214285714285715,3.5714285714285716,20.571428571428577,5.142857142857144,5.142857142857144,0.11688311688311691,0.3214285714285715,0.7619047619047619,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.017857142857142842,1.0
#premier-larron,0.9383116883116885,5.142857142857144,5.142857142857144,5.142857142857144,26.03571428571429,26.03571428571429,0.39285714285714285,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.2857142857142857,0.25
#premier-larron,0.9383116883116885,5.142857142857144,5.142857142857144,5.142857142857144,26.03571428571429,26.03571428571429,0.39285714285714285,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.2857142857142857,0.25
